#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/02/2019 11:14:32
#Subject: t2311
#Sex: M
#Age: 24
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_16.wav	tempo_seq_rand_16.wav	1200	400	2	661.831999999995
1	2	2	tempo_seq_rand_09.wav	tempo_seq_A_05.wav	1200	400	2	253.178
1	3	1	tempo_seq_A_12.wav	tempo_seq_rand_28.wav	1200	400	2	396.597999999998
1	4	2	tempo_seq_rand_21.wav	tempo_seq_A_09.wav	1200	400	2	328.019
1	5	2	tempo_seq_rand_42.wav	tempo_seq_A_07.wav	1200	400	2	779.403999999995
1	6	1	tempo_seq_A_19.wav	tempo_seq_rand_11.wav	1200	400	2	302.838999999993
1	7	2	tempo_seq_rand_08.wav	tempo_seq_A_08.wav	1200	400	3	262.199999999997
1	8	1	tempo_seq_A_09.wav	tempo_seq_rand_33.wav	1200	400	3	221.664999999994
1	9	2	tempo_seq_rand_03.wav	tempo_seq_A_20.wav	1200	400	3	301.076000000001
1	10	2	tempo_seq_rand_19.wav	tempo_seq_A_14.wav	1200	400	3	261.156999999992
1	11	1	tempo_seq_A_15.wav	tempo_seq_rand_17.wav	1200	400	3	684.583000000013
1	12	1	tempo_seq_A_01.wav	tempo_seq_rand_34.wav	1200	400	3	227.959000000003
2	13	2	tempo_seq_rand_23.wav	tempo_seq_A_04.wav	1200	400	2	1022.302
2	14	1	tempo_seq_A_05.wav	tempo_seq_rand_39.wav	1200	400	2	297.651000000013
2	15	2	tempo_seq_rand_22.wav	tempo_seq_A_19.wav	1200	400	3	329.065999999992
2	16	1	tempo_seq_A_22.wav	tempo_seq_rand_10.wav	1200	400	2	340.543999999994
2	17	1	tempo_seq_A_13.wav	tempo_seq_rand_25.wav	1200	400	3	1015.90899999999
2	18	2	tempo_seq_rand_45.wav	tempo_seq_A_01.wav	1200	400	2	635.413
2	19	1	tempo_seq_A_07.wav	tempo_seq_rand_02.wav	1200	400	2	1394.807
2	20	2	tempo_seq_rand_05.wav	tempo_seq_A_15.wav	1200	400	2	342.415999999997
2	21	2	tempo_seq_rand_37.wav	tempo_seq_A_21.wav	1200	400	3	265.499000000011
2	22	1	tempo_seq_A_18.wav	tempo_seq_rand_35.wav	1200	400	3	1570.122
2	23	1	tempo_seq_A_04.wav	tempo_seq_rand_15.wav	1200	400	2	1588.315
2	24	2	tempo_seq_rand_06.wav	tempo_seq_A_02.wav	1200	400	3	911.55700000003
3	25	2	tempo_seq_rand_04.wav	tempo_seq_A_16.wav	1200	400	3	390.243000000017
3	26	1	tempo_seq_A_10.wav	tempo_seq_rand_07.wav	1200	400	3	305.677000000025
3	27	2	tempo_seq_rand_27.wav	tempo_seq_A_22.wav	1200	400	3	577.100999999966
3	28	1	tempo_seq_A_03.wav	tempo_seq_rand_18.wav	1200	400	2	748.516000000003
3	29	2	tempo_seq_rand_44.wav	tempo_seq_A_10.wav	1200	400	3	1127.91200000001
3	30	1	tempo_seq_A_11.wav	tempo_seq_rand_48.wav	1200	400	2	975.277999999991
3	31	1	tempo_seq_A_02.wav	tempo_seq_rand_20.wav	1200	400	3	770.716000000015
3	32	2	tempo_seq_rand_41.wav	tempo_seq_A_03.wav	1200	400	2	334.114000000001
3	33	2	tempo_seq_rand_01.wav	tempo_seq_A_06.wav	1200	400	2	825.483999999997
3	34	1	tempo_seq_A_06.wav	tempo_seq_rand_12.wav	1200	400	2	484.896999999997
3	35	1	tempo_seq_A_08.wav	tempo_seq_rand_30.wav	1200	400	2	1084.33199999999
3	36	2	tempo_seq_rand_26.wav	tempo_seq_A_17.wav	1200	400	3	723.671000000031
4	37	2	tempo_seq_rand_47.wav	tempo_seq_A_11.wav	1200	400	3	1758.70900000003
4	38	2	tempo_seq_rand_36.wav	tempo_seq_A_23.wav	1200	400	2	305.982000000018
4	39	2	tempo_seq_rand_40.wav	tempo_seq_A_13.wav	1200	400	2	265.487000000023
4	40	1	tempo_seq_A_17.wav	tempo_seq_rand_43.wav	1200	400	3	296.891999999993
4	41	2	tempo_seq_rand_13.wav	tempo_seq_A_24.wav	1200	400	3	280.361999999965
4	42	1	tempo_seq_A_14.wav	tempo_seq_rand_29.wav	1200	400	3	279.732999999949
4	43	2	tempo_seq_rand_31.wav	tempo_seq_A_12.wav	1200	400	3	271.213999999978
4	44	2	tempo_seq_rand_14.wav	tempo_seq_A_18.wav	1200	400	2	1566.57699999999
4	45	1	tempo_seq_A_23.wav	tempo_seq_rand_24.wav	1200	400	3	529.943000000028
4	46	1	tempo_seq_A_21.wav	tempo_seq_rand_46.wav	1200	400	3	349.407000000007
4	47	1	tempo_seq_A_20.wav	tempo_seq_rand_32.wav	1200	400	3	504.744999999995
4	48	1	tempo_seq_A_24.wav	tempo_seq_rand_38.wav	1200	400	3	288.168000000005
