#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/01/2019 13:39:47
#Subject: w2505
#Sex: M
#Age: 24
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_05.wav	tempo_seq_A_17.wav	1200	400	3	2140.413
1	2	2	tempo_seq_rand_21.wav	tempo_seq_A_02.wav	1200	400	3	355.756000000001
1	3	1	tempo_seq_A_24.wav	tempo_seq_rand_48.wav	1200	400	3	1903.278
1	4	2	tempo_seq_rand_30.wav	tempo_seq_A_08.wav	1200	400	3	398.581999999995
1	5	1	tempo_seq_A_02.wav	tempo_seq_rand_26.wav	1200	400	3	418.078000000009
1	6	1	tempo_seq_A_10.wav	tempo_seq_rand_39.wav	1200	400	3	405.477000000014
1	7	2	tempo_seq_rand_40.wav	tempo_seq_A_22.wav	1200	400	2	344.949999999997
1	8	2	tempo_seq_rand_32.wav	tempo_seq_A_24.wav	1200	400	3	676.376000000004
1	9	1	tempo_seq_A_14.wav	tempo_seq_rand_02.wav	1200	400	3	339.894
1	10	1	tempo_seq_A_11.wav	tempo_seq_rand_10.wav	1200	400	2	371.319000000003
1	11	2	tempo_seq_rand_45.wav	tempo_seq_A_05.wav	1200	400	3	398.723999999987
1	12	1	tempo_seq_A_19.wav	tempo_seq_rand_18.wav	1200	400	2	370.214999999997
2	13	2	tempo_seq_rand_11.wav	tempo_seq_A_06.wav	1200	400	2	341.11599999998
2	14	2	tempo_seq_rand_14.wav	tempo_seq_A_23.wav	1200	400	2	308.581000000006
2	15	1	tempo_seq_A_13.wav	tempo_seq_rand_20.wav	1200	400	3	340.130000000005
2	16	2	tempo_seq_rand_31.wav	tempo_seq_A_14.wav	1200	400	3	363.512000000017
2	17	1	tempo_seq_A_16.wav	tempo_seq_rand_28.wav	1200	400	2	582.981
2	18	2	tempo_seq_rand_38.wav	tempo_seq_A_12.wav	1200	400	3	298.396000000008
2	19	1	tempo_seq_A_23.wav	tempo_seq_rand_33.wav	1200	400	3	1801.859
2	20	1	tempo_seq_A_07.wav	tempo_seq_rand_25.wav	1200	400	3	509.260000000009
2	21	1	tempo_seq_A_22.wav	tempo_seq_rand_47.wav	1200	400	2	380.673999999999
2	22	2	tempo_seq_rand_01.wav	tempo_seq_A_11.wav	1200	400	3	328.146999999997
2	23	1	tempo_seq_A_01.wav	tempo_seq_rand_06.wav	1200	400	3	327.670000000013
2	24	2	tempo_seq_rand_27.wav	tempo_seq_A_19.wav	1200	400	2	343.025000000023
3	25	1	tempo_seq_A_18.wav	tempo_seq_rand_37.wav	1200	400	2	490.087
3	26	2	tempo_seq_rand_23.wav	tempo_seq_A_21.wav	1200	400	3	329.480999999971
3	27	1	tempo_seq_A_17.wav	tempo_seq_rand_35.wav	1200	400	3	352.936999999976
3	28	2	tempo_seq_rand_22.wav	tempo_seq_A_13.wav	1200	400	2	548.41399999999
3	29	2	tempo_seq_rand_15.wav	tempo_seq_A_18.wav	1200	400	2	855.814000000013
3	30	2	tempo_seq_rand_46.wav	tempo_seq_A_15.wav	1200	400	3	407.207999999984
3	31	2	tempo_seq_rand_03.wav	tempo_seq_A_09.wav	1200	400	3	338.722000000009
3	32	1	tempo_seq_A_03.wav	tempo_seq_rand_13.wav	1200	400	2	1010.18599999999
3	33	2	tempo_seq_rand_36.wav	tempo_seq_A_16.wav	1200	400	3	589.640000000014
3	34	1	tempo_seq_A_04.wav	tempo_seq_rand_42.wav	1200	400	3	353.005000000005
3	35	1	tempo_seq_A_05.wav	tempo_seq_rand_12.wav	1200	400	3	372.556999999972
3	36	1	tempo_seq_A_15.wav	tempo_seq_rand_19.wav	1200	400	2	599.957999999984
4	37	1	tempo_seq_A_21.wav	tempo_seq_rand_07.wav	1200	400	3	314.640000000014
4	38	1	tempo_seq_A_06.wav	tempo_seq_rand_34.wav	1200	400	3	1074.11200000002
4	39	2	tempo_seq_rand_44.wav	tempo_seq_A_10.wav	1200	400	2	441.521999999997
4	40	2	tempo_seq_rand_08.wav	tempo_seq_A_04.wav	1200	400	3	372.949000000022
4	41	1	tempo_seq_A_09.wav	tempo_seq_rand_04.wav	1200	400	3	352.415999999968
4	42	1	tempo_seq_A_08.wav	tempo_seq_rand_24.wav	1200	400	3	323.885999999999
4	43	2	tempo_seq_rand_09.wav	tempo_seq_A_07.wav	1200	400	2	819.32799999998
4	44	2	tempo_seq_rand_29.wav	tempo_seq_A_20.wav	1200	400	3	358.74099999998
4	45	1	tempo_seq_A_20.wav	tempo_seq_rand_16.wav	1200	400	3	402.210000000021
4	46	2	tempo_seq_rand_17.wav	tempo_seq_A_03.wav	1200	400	2	581.665000000037
4	47	2	tempo_seq_rand_41.wav	tempo_seq_A_01.wav	1200	400	3	361.099000000046
4	48	1	tempo_seq_A_12.wav	tempo_seq_rand_43.wav	1200	400	2	676.580000000075
