#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/01/2019 13:04:48
#Subject: w2505
#Sex: M
#Age: 24
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_15.wav	tempo_seq_A_07.wav	1200	400	3	3331.001
1	2	1	tempo_seq_A_14.wav	tempo_seq_rand_41.wav	1200	400	2	842.293999999994
1	3	2	tempo_seq_rand_31.wav	tempo_seq_A_20.wav	1200	400	3	605.700000000004
1	4	1	tempo_seq_A_06.wav	tempo_seq_rand_47.wav	1200	400	2	1001.17999999999
1	5	1	tempo_seq_A_18.wav	tempo_seq_rand_48.wav	1200	400	3	404.558999999994
1	6	2	tempo_seq_rand_39.wav	tempo_seq_A_09.wav	1200	400	3	344.016999999993
1	7	1	tempo_seq_A_02.wav	tempo_seq_rand_17.wav	1200	400	2	943.474000000002
1	8	2	tempo_seq_rand_29.wav	tempo_seq_A_21.wav	1200	400	3	390.887000000002
1	9	2	tempo_seq_rand_44.wav	tempo_seq_A_14.wav	1200	400	3	314.338000000003
1	10	1	tempo_seq_A_04.wav	tempo_seq_rand_23.wav	1200	400	2	449.774000000005
1	11	1	tempo_seq_A_01.wav	tempo_seq_rand_25.wav	1200	400	3	321.236000000004
1	12	2	tempo_seq_rand_24.wav	tempo_seq_A_22.wav	1200	400	3	504.733999999997
2	13	2	tempo_seq_rand_46.wav	tempo_seq_A_05.wav	1200	400	3	307.178000000014
2	14	1	tempo_seq_A_05.wav	tempo_seq_rand_27.wav	1200	400	2	298.717999999993
2	15	1	tempo_seq_A_08.wav	tempo_seq_rand_09.wav	1200	400	2	1010.12399999998
2	16	2	tempo_seq_rand_10.wav	tempo_seq_A_04.wav	1200	400	3	1029.56299999999
2	17	2	tempo_seq_rand_42.wav	tempo_seq_A_03.wav	1200	400	3	904.972999999998
2	18	1	tempo_seq_A_12.wav	tempo_seq_rand_38.wav	1200	400	2	1144.44199999998
2	19	1	tempo_seq_A_13.wav	tempo_seq_rand_05.wav	1200	400	3	319.792000000016
2	20	2	tempo_seq_rand_40.wav	tempo_seq_A_02.wav	1200	400	3	807.252000000008
2	21	1	tempo_seq_A_15.wav	tempo_seq_rand_45.wav	1200	400	3	538.651000000013
2	22	2	tempo_seq_rand_14.wav	tempo_seq_A_17.wav	1200	400	2	1090.17600000001
2	23	1	tempo_seq_A_17.wav	tempo_seq_rand_34.wav	1200	400	2	721.521999999997
2	24	2	tempo_seq_rand_16.wav	tempo_seq_A_19.wav	1200	400	3	304.928000000014
3	25	2	tempo_seq_rand_26.wav	tempo_seq_A_23.wav	1200	400	3	359.801000000036
3	26	1	tempo_seq_A_20.wav	tempo_seq_rand_04.wav	1200	400	3	291.293999999994
3	27	1	tempo_seq_A_16.wav	tempo_seq_rand_20.wav	1200	400	2	2114.79500000004
3	28	1	tempo_seq_A_07.wav	tempo_seq_rand_12.wav	1200	400	2	898.122000000032
3	29	2	tempo_seq_rand_37.wav	tempo_seq_A_10.wav	1200	400	3	930.165999999968
3	30	2	tempo_seq_rand_19.wav	tempo_seq_A_01.wav	1200	400	3	329.58600000001
3	31	1	tempo_seq_A_11.wav	tempo_seq_rand_30.wav	1200	400	3	385.065999999992
3	32	1	tempo_seq_A_24.wav	tempo_seq_rand_07.wav	1200	400	3	316.530000000028
3	33	2	tempo_seq_rand_21.wav	tempo_seq_A_24.wav	1200	400	2	443.956000000006
3	34	2	tempo_seq_rand_33.wav	tempo_seq_A_11.wav	1200	400	3	367.409999999974
3	35	1	tempo_seq_A_21.wav	tempo_seq_rand_08.wav	1200	400	2	346.885999999999
3	36	2	tempo_seq_rand_32.wav	tempo_seq_A_16.wav	1200	400	3	326.304999999993
4	37	2	tempo_seq_rand_18.wav	tempo_seq_A_06.wav	1200	400	3	425.015000000014
4	38	1	tempo_seq_A_19.wav	tempo_seq_rand_43.wav	1200	400	2	364.514999999956
4	39	1	tempo_seq_A_22.wav	tempo_seq_rand_01.wav	1200	400	3	544.011999999988
4	40	2	tempo_seq_rand_28.wav	tempo_seq_A_12.wav	1200	400	2	311.371999999974
4	41	2	tempo_seq_rand_36.wav	tempo_seq_A_08.wav	1200	400	2	374.849999999977
4	42	1	tempo_seq_A_03.wav	tempo_seq_rand_02.wav	1200	400	3	266.804000000004
4	43	1	tempo_seq_A_09.wav	tempo_seq_rand_03.wav	1200	400	2	1186.39600000001
4	44	1	tempo_seq_A_10.wav	tempo_seq_rand_22.wav	1200	400	3	822.084000000032
4	45	2	tempo_seq_rand_35.wav	tempo_seq_A_18.wav	1200	400	3	977.891000000003
4	46	2	tempo_seq_rand_11.wav	tempo_seq_A_13.wav	1200	400	2	491.941999999981
4	47	2	tempo_seq_rand_13.wav	tempo_seq_A_15.wav	1200	400	3	291.449000000022
4	48	1	tempo_seq_A_23.wav	tempo_seq_rand_06.wav	1200	400	2	274.85699999996
