Scenario - _RPSL_incidental
Logfile written - 10/07/2019 16:33:46
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

w2806	1	Picture	instruct	333	0	1	407358	1	0	next	other	0
w2806	1	Response	1	407307	406974	0
w2806	2	Sound	ki	442690	34999	1			35000		other	0
w2806	3	Audio Cue	mi	445561	200	1			0		other	0
w2806	3	Sound	cue_linfade_exp_seq_A_02.wav	445561	200	1			0		hit	32
w2806	3	Audio Cue	po	448060	2700	1			0		other	0
w2806	3	Audio Cue	la	450560	5200	1			0		other	0
w2806	3	Audio Cue	nu	453060	7700	1			0		other	0
w2806	3	Audio Cue	ga	455560	10200	1			0		other	0
w2806	3	Audio Cue	di	458061	12701	1			0		other	0
w2806	3	Audio Cue	mi	460560	15200	1			0		other	0
w2806	3	Audio Cue	po	463061	17701	1			0		other	0
w2806	3	Audio Cue	la	465560	20200	1			0		other	0
w2806	3	Audio Cue	za	468061	22701	1			0		other	0
w2806	3	Audio Cue	be	470561	25201	1			0		other	0
w2806	3	Audio Cue	tu	473062	27701	1			0		other	0
w2806	3	Audio Cue	mi	475562	30202	1			0		other	0
w2806	3	Audio Cue	po	478061	32701	1			0		other	0
w2806	3	Audio Cue	la	480562	35202	1			0		other	0
w2806	3	Audio Cue	nu	483061	37701	1			0		other	0
w2806	3	Audio Cue	ga	485561	40201	1			0		other	0
w2806	3	Audio Cue	di	488061	42701	1			0		other	0
w2806	3	Audio Cue	za	490561	45201	1			0		other	0
w2806	3	Audio Cue	be	493062	47702	1			0		other	0
w2806	3	Audio Cue	tu	495561	50201	1			0		other	0
w2806	3	Audio Cue	mi	498062	52702	1			0		other	0
w2806	3	Audio Cue	po	500562	55202	1			0		other	0
w2806	3	Audio Cue	la	503062	57702	1			0		other	0
w2806	3	Audio Cue	ro	505562	60202	1			0		other	0
w2806	3	Audio Cue	ki	508063	62703	1			0		other	0
w2806	3	Audio Cue	se	510561	65201	1			0		other	0
w2806	3	Response	1	511467	66107	0
w2806	3	Audio Cue	nu	513062	67702	1			0		other	0
w2806	3	Audio Cue	ga	515563	70203	1			0		other	0
w2806	3	Audio Cue	di	518062	72702	1			0		other	0
w2806	3	Audio Cue	ro	520563	75202	1			0		other	0
w2806	3	Audio Cue	ki	523063	77702	1			0		other	0
w2806	3	Audio Cue	se	525563	80203	1			0		other	0
w2806	3	Response	1	528028	82668	0
w2806	3	Audio Cue	nu	528063	82703	1			0		other	0
w2806	3	Audio Cue	ga	530562	85202	1			0		other	0
w2806	3	Audio Cue	di	533063	87703	1			0		other	0
w2806	3	Audio Cue	ro	535563	90203	1			0		other	0
w2806	3	Audio Cue	ki	538063	92703	1			0		other	0
w2806	3	Audio Cue	se	540563	95203	1			0		other	0
w2806	3	Response	1	541147	95787	0
w2806	3	Audio Cue	za	543063	97703	1			0		other	0
w2806	3	Audio Cue	be	545564	100204	1			0		other	0
w2806	3	Audio Cue	tu	548063	102703	1			0		other	0
w2806	3	Audio Cue	mi	550564	105204	1			0		other	0
w2806	3	Audio Cue	po	553064	107704	1			0		other	0
w2806	3	Audio Cue	la	555564	110203	1			0		other	0
w2806	3	Audio Cue	za	558063	112703	1			0		other	0
w2806	3	Audio Cue	be	560564	115203	1			0		other	0
w2806	3	Audio Cue	tu	563064	117704	1			0		other	0
