#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/07/2019 16:34:52
#Subject: w2806
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_04.wav	tempo_seq_rand_35.wav	1200	400	3	515.936000000002
1	2	2	tempo_seq_rand_38.wav	tempo_seq_A_22.wav	1200	400	2	295.359
1	3	1	tempo_seq_A_18.wav	tempo_seq_rand_17.wav	1200	400	2	292.112000000001
1	4	2	tempo_seq_rand_13.wav	tempo_seq_A_14.wav	1200	400	2	569.567999999999
1	5	2	tempo_seq_rand_40.wav	tempo_seq_A_04.wav	1200	400	3	419.087
1	6	1	tempo_seq_A_16.wav	tempo_seq_rand_20.wav	1200	400	2	370.505000000005
1	7	1	tempo_seq_A_02.wav	tempo_seq_rand_43.wav	1200	400	2	539.949000000008
1	8	2	tempo_seq_rand_03.wav	tempo_seq_A_11.wav	1200	400	3	838.692999999999
1	9	1	tempo_seq_A_13.wav	tempo_seq_rand_23.wav	1200	400	3	510.146000000008
1	10	2	tempo_seq_rand_26.wav	tempo_seq_A_20.wav	1200	400	3	378.240999999995
1	11	1	tempo_seq_A_11.wav	tempo_seq_rand_41.wav	1200	400	3	579.016000000003
1	12	2	tempo_seq_rand_07.wav	tempo_seq_A_19.wav	1200	400	2	628.487000000008
2	13	1	tempo_seq_A_08.wav	tempo_seq_rand_44.wav	1200	400	3	515.663
2	14	1	tempo_seq_A_15.wav	tempo_seq_rand_48.wav	1200	400	3	495.113000000012
2	15	2	tempo_seq_rand_34.wav	tempo_seq_A_21.wav	1200	400	2	291.840999999986
2	16	1	tempo_seq_A_12.wav	tempo_seq_rand_24.wav	1200	400	2	377.314000000013
2	17	2	tempo_seq_rand_01.wav	tempo_seq_A_24.wav	1200	400	2	371.475999999995
2	18	2	tempo_seq_rand_21.wav	tempo_seq_A_07.wav	1200	400	3	516.900999999983
2	19	2	tempo_seq_rand_09.wav	tempo_seq_A_18.wav	1200	400	2	448.356999999989
2	20	2	tempo_seq_rand_37.wav	tempo_seq_A_17.wav	1200	400	2	343.139999999985
2	21	1	tempo_seq_A_21.wav	tempo_seq_rand_27.wav	1200	400	3	690.559999999998
2	22	2	tempo_seq_rand_47.wav	tempo_seq_A_23.wav	1200	400	3	752.061000000016
2	23	1	tempo_seq_A_01.wav	tempo_seq_rand_19.wav	1200	400	2	498.777999999991
2	24	1	tempo_seq_A_17.wav	tempo_seq_rand_22.wav	1200	400	2	406.90400000001
3	25	2	tempo_seq_rand_46.wav	tempo_seq_A_03.wav	1200	400	2	828.231999999989
3	26	1	tempo_seq_A_19.wav	tempo_seq_rand_10.wav	1200	400	3	443.684999999998
3	27	2	tempo_seq_rand_08.wav	tempo_seq_A_15.wav	1200	400	3	522.43200000003
3	28	2	tempo_seq_rand_30.wav	tempo_seq_A_13.wav	1200	400	2	262.54700000002
3	29	2	tempo_seq_rand_29.wav	tempo_seq_A_01.wav	1200	400	2	307.995999999985
3	30	1	tempo_seq_A_10.wav	tempo_seq_rand_32.wav	1200	400	3	376.82799999998
3	31	1	tempo_seq_A_24.wav	tempo_seq_rand_31.wav	1200	400	2	370.298999999999
3	32	2	tempo_seq_rand_42.wav	tempo_seq_A_09.wav	1200	400	2	291.684999999998
3	33	1	tempo_seq_A_03.wav	tempo_seq_rand_02.wav	1200	400	3	609.179000000004
3	34	1	tempo_seq_A_07.wav	tempo_seq_rand_18.wav	1200	400	3	329.251999999979
3	35	2	tempo_seq_rand_04.wav	tempo_seq_A_02.wav	1200	400	2	356.061999999976
3	36	1	tempo_seq_A_14.wav	tempo_seq_rand_11.wav	1200	400	2	662.907000000007
4	37	2	tempo_seq_rand_14.wav	tempo_seq_A_05.wav	1200	400	2	904.831000000006
4	38	2	tempo_seq_rand_05.wav	tempo_seq_A_16.wav	1200	400	3	741.594000000041
4	39	1	tempo_seq_A_05.wav	tempo_seq_rand_45.wav	1200	400	2	337.01800000004
4	40	2	tempo_seq_rand_15.wav	tempo_seq_A_10.wav	1200	400	2	636.455000000016
4	41	1	tempo_seq_A_22.wav	tempo_seq_rand_28.wav	1200	400	2	1115.92300000001
4	42	2	tempo_seq_rand_39.wav	tempo_seq_A_06.wav	1200	400	2	383.369000000006
4	43	1	tempo_seq_A_06.wav	tempo_seq_rand_33.wav	1200	400	2	344.760000000009
4	44	1	tempo_seq_A_09.wav	tempo_seq_rand_16.wav	1200	400	3	642.873000000021
4	45	2	tempo_seq_rand_12.wav	tempo_seq_A_08.wav	1200	400	2	449.661000000022
4	46	1	tempo_seq_A_23.wav	tempo_seq_rand_25.wav	1200	400	3	960.492000000027
4	47	1	tempo_seq_A_20.wav	tempo_seq_rand_06.wav	1200	400	2	610.650000000023
4	48	2	tempo_seq_rand_36.wav	tempo_seq_A_12.wav	1200	400	3	699.313999999955
