#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/07/2019 16:00:23
#Subject: w2806
#Sex: F
#Age: 21
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_43.wav	tempo_seq_A_06.wav	1200	400	2	278.508000000002
1	2	1	tempo_seq_A_22.wav	tempo_seq_rand_34.wav	1200	400	2	300.005000000005
1	3	2	tempo_seq_rand_03.wav	tempo_seq_A_21.wav	1200	400	2	288.771000000001
1	4	2	tempo_seq_rand_41.wav	tempo_seq_A_13.wav	1200	400	2	342.247999999992
1	5	2	tempo_seq_rand_32.wav	tempo_seq_A_16.wav	1200	400	2	401.632000000012
1	6	1	tempo_seq_A_03.wav	tempo_seq_rand_02.wav	1200	400	2	297.879000000001
1	7	1	tempo_seq_A_05.wav	tempo_seq_rand_04.wav	1200	400	3	310.572
1	8	1	tempo_seq_A_08.wav	tempo_seq_rand_07.wav	1200	400	2	274.703999999998
1	9	1	tempo_seq_A_01.wav	tempo_seq_rand_09.wav	1200	400	2	296.122999999992
1	10	2	tempo_seq_rand_35.wav	tempo_seq_A_10.wav	1200	400	3	572.876000000004
1	11	1	tempo_seq_A_09.wav	tempo_seq_rand_23.wav	1200	400	2	278.329999999987
1	12	2	tempo_seq_rand_47.wav	tempo_seq_A_22.wav	1200	400	2	203.845000000001
2	13	2	tempo_seq_rand_10.wav	tempo_seq_A_20.wav	1200	400	2	280.497999999992
2	14	1	tempo_seq_A_12.wav	tempo_seq_rand_46.wav	1200	400	2	261.319000000018
2	15	2	tempo_seq_rand_19.wav	tempo_seq_A_14.wav	1200	400	3	419.421000000002
2	16	2	tempo_seq_rand_24.wav	tempo_seq_A_23.wav	1200	400	3	546.915999999997
2	17	1	tempo_seq_A_02.wav	tempo_seq_rand_14.wav	1200	400	2	405.619999999995
2	18	1	tempo_seq_A_14.wav	tempo_seq_rand_22.wav	1200	400	2	621.790000000008
2	19	1	tempo_seq_A_15.wav	tempo_seq_rand_37.wav	1200	400	2	269.176000000007
2	20	2	tempo_seq_rand_17.wav	tempo_seq_A_17.wav	1200	400	3	530.736000000004
2	21	2	tempo_seq_rand_27.wav	tempo_seq_A_11.wav	1200	400	2	365.523000000016
2	22	2	tempo_seq_rand_15.wav	tempo_seq_A_07.wav	1200	400	2	438.866999999998
2	23	1	tempo_seq_A_06.wav	tempo_seq_rand_28.wav	1200	400	2	286.291999999987
2	24	1	tempo_seq_A_17.wav	tempo_seq_rand_36.wav	1200	400	2	268.382999999973
3	25	1	tempo_seq_A_23.wav	tempo_seq_rand_33.wav	1200	400	2	364.786999999953
3	26	1	tempo_seq_A_19.wav	tempo_seq_rand_44.wav	1200	400	3	446.223999999987
3	27	2	tempo_seq_rand_26.wav	tempo_seq_A_19.wav	1200	400	2	356.965000000026
3	28	2	tempo_seq_rand_31.wav	tempo_seq_A_05.wav	1200	400	2	487.14300000004
3	29	1	tempo_seq_A_24.wav	tempo_seq_rand_30.wav	1200	400	2	475.913
3	30	1	tempo_seq_A_10.wav	tempo_seq_rand_05.wav	1200	400	2	657.373000000021
3	31	2	tempo_seq_rand_38.wav	tempo_seq_A_03.wav	1200	400	2	400.091000000015
3	32	1	tempo_seq_A_20.wav	tempo_seq_rand_08.wav	1200	400	2	464.20299999998
3	33	2	tempo_seq_rand_12.wav	tempo_seq_A_02.wav	1200	400	2	549.684000000008
3	34	1	tempo_seq_A_07.wav	tempo_seq_rand_25.wav	1200	400	2	224.407000000007
3	35	2	tempo_seq_rand_21.wav	tempo_seq_A_18.wav	1200	400	2	399.925000000047
3	36	2	tempo_seq_rand_42.wav	tempo_seq_A_24.wav	1200	400	3	295.978000000003
4	37	1	tempo_seq_A_21.wav	tempo_seq_rand_39.wav	1200	400	2	322.52899999998
4	38	1	tempo_seq_A_16.wav	tempo_seq_rand_01.wav	1200	400	2	389.919999999984
4	39	1	tempo_seq_A_13.wav	tempo_seq_rand_48.wav	1200	400	3	687.367000000027
4	40	2	tempo_seq_rand_20.wav	tempo_seq_A_09.wav	1200	400	2	284.744000000006
4	41	2	tempo_seq_rand_11.wav	tempo_seq_A_12.wav	1200	400	2	690.24099999998
4	42	2	tempo_seq_rand_29.wav	tempo_seq_A_08.wav	1200	400	3	431.721999999951
4	43	2	tempo_seq_rand_16.wav	tempo_seq_A_04.wav	1200	400	3	623.207999999984
4	44	2	tempo_seq_rand_40.wav	tempo_seq_A_01.wav	1200	400	2	246.562000000034
4	45	1	tempo_seq_A_18.wav	tempo_seq_rand_13.wav	1200	400	2	269.360000000044
4	46	2	tempo_seq_rand_18.wav	tempo_seq_A_15.wav	1200	400	3	292.545000000042
4	47	1	tempo_seq_A_04.wav	tempo_seq_rand_45.wav	1200	400	3	400.943999999959
4	48	1	tempo_seq_A_11.wav	tempo_seq_rand_06.wav	1200	400	2	385.714000000036
