Scenario - _RPSL_incidental
Logfile written - 10/12/2019 10:43:37
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

y0305	1	Picture	instruct	499	0	1	962559	1	0	next	other	0
y0305	1	Response	1	961318	960818	0
y0305	2	Sound	nu	998059	35000	1			35000		other	0
y0305	3	Audio Cue	ro	1000882	154	1			0		other	0
y0305	3	Sound	cue_linfade_exp_seq_A_06.wav	1000882	154	1			0		hit	11
y0305	3	Audio Cue	ki	1003382	2654	1			0		other	0
y0305	3	Audio Cue	se	1005882	5154	1			0		other	0
y0305	3	Audio Cue	nu	1008382	7654	1			0		other	0
y0305	3	Audio Cue	ga	1010883	10155	1			0		other	0
y0305	3	Audio Cue	di	1013383	12655	1			0		other	0
y0305	3	Response	1	1014918	14190	0
y0305	3	Audio Cue	za	1015883	15155	1			0		other	0
y0305	3	Response	1	1017637	16909	0
y0305	3	Audio Cue	be	1018381	17654	1			0		other	0
y0305	3	Audio Cue	tu	1020882	20154	1			0		other	0
y0305	3	Audio Cue	mi	1023382	22655	1			0		other	0
y0305	3	Audio Cue	po	1025883	25155	1			0		other	0
y0305	3	Audio Cue	la	1028382	27654	1			0		other	0
y0305	3	Audio Cue	ro	1030883	30155	1			0		other	0
y0305	3	Audio Cue	ki	1033383	32656	1			0		other	0
y0305	3	Audio Cue	se	1035883	35156	1			0		other	0
y0305	3	Audio Cue	za	1038384	37657	1			0		other	0
y0305	3	Audio Cue	be	1040883	40155	1			0		other	0
y0305	3	Audio Cue	tu	1043383	42656	1			0		other	0
y0305	3	Audio Cue	ro	1045883	45156	1			0		other	0
y0305	3	Audio Cue	ki	1048383	47656	1			0		other	0
y0305	3	Audio Cue	se	1050884	50156	1			0		other	0
y0305	3	Audio Cue	nu	1053383	52655	1			0		other	0
y0305	3	Audio Cue	ga	1055884	55157	1			0		other	0
y0305	3	Response	1	1057477	56750	0
y0305	3	Audio Cue	di	1058384	57656	1			0		other	0
y0305	3	Audio Cue	ro	1060884	60156	1			0		other	0
y0305	3	Audio Cue	ki	1063384	62657	1			0		other	0
y0305	3	Audio Cue	se	1065883	65155	1			0		other	0
y0305	3	Audio Cue	nu	1068383	67656	1			0		other	0
y0305	3	Audio Cue	ga	1070884	70156	1			0		other	0
y0305	3	Audio Cue	di	1073384	72657	1			0		other	0
y0305	3	Response	1	1073957	73230	0
y0305	3	Audio Cue	mi	1075884	75157	1			0		other	0
y0305	3	Audio Cue	po	1078385	77657	1			0		other	0
y0305	3	Audio Cue	la	1080884	80156	1			0		other	0
y0305	3	Audio Cue	za	1083384	82656	1			0		other	0
y0305	3	Audio Cue	be	1085884	85157	1			0		other	0
y0305	3	Audio Cue	tu	1088385	87657	1			0		other	0
y0305	3	Audio Cue	mi	1090884	90157	1			0		other	0
y0305	3	Audio Cue	po	1093385	92657	1			0		other	0
y0305	3	Response	1	1094197	93469	0
y0305	3	Audio Cue	la	1095885	95157	1			0		other	0
y0305	3	Audio Cue	nu	1098386	97658	1			0		other	0
y0305	3	Audio Cue	ga	1100884	100157	1			0		other	0
y0305	3	Audio Cue	di	1103385	102657	1			0		other	0
y0305	3	Audio Cue	mi	1105885	105157	1			0		other	0
y0305	3	Audio Cue	po	1108386	107658	1			0		other	0
y0305	3	Audio Cue	la	1110885	110157	1			0		other	0
y0305	3	Audio Cue	ro	1113385	112658	1			0		other	0
y0305	3	Audio Cue	ki	1115886	115158	1			0		other	0
y0305	3	Audio Cue	se	1118385	117657	1			0		other	0
y0305	3	Audio Cue	nu	1120886	120158	1			0		other	0
y0305	3	Audio Cue	ga	1123386	122658	1			0		other	0
y0305	3	Response	1	1124518	123790	0
y0305	3	Audio Cue	di	1125886	125158	1			0		other	0
y0305	3	Audio Cue	ro	1128386	127658	1			0		other	0
y0305	3	Audio Cue	ki	1130886	130159	1			0		other	0
y0305	3	Audio Cue	se	1133386	132658	1			0		other	0
y0305	3	Audio Cue	mi	1135886	135158	1			0		other	0
y0305	3	Audio Cue	po	1138386	137659	1			0		other	0
y0305	3	Audio Cue	la	1140887	140159	1			0		other	0
