#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/12/2019 10:43:56
#Subject: y0305
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_46.wav	tempo_seq_A_02.wav	1200	400	2	251.618000000002
1	2	1	tempo_seq_A_04.wav	tempo_seq_rand_29.wav	1200	400	3	226.433000000005
1	3	1	tempo_seq_A_05.wav	tempo_seq_rand_13.wav	1200	400	3	178.562000000005
1	4	2	tempo_seq_rand_12.wav	tempo_seq_A_01.wav	1200	400	3	132.002999999997
1	5	1	tempo_seq_A_17.wav	tempo_seq_rand_09.wav	1200	400	2	703.441000000006
1	6	1	tempo_seq_A_22.wav	tempo_seq_rand_11.wav	1200	400	3	196.312999999995
1	7	2	tempo_seq_rand_10.wav	tempo_seq_A_18.wav	1200	400	2	172.426000000007
1	8	2	tempo_seq_rand_43.wav	tempo_seq_A_16.wav	1200	400	3	317.821000000025
1	9	2	tempo_seq_rand_37.wav	tempo_seq_A_07.wav	1200	400	3	201.335999999981
1	10	2	tempo_seq_rand_16.wav	tempo_seq_A_20.wav	1200	400	2	194.104999999981
1	11	1	tempo_seq_A_13.wav	tempo_seq_rand_41.wav	1200	400	3	163.592000000004
1	12	1	tempo_seq_A_16.wav	tempo_seq_rand_33.wav	1200	400	3	237.066000000021
2	13	1	tempo_seq_A_06.wav	tempo_seq_rand_31.wav	1200	400	2	215.816000000021
2	14	2	tempo_seq_rand_05.wav	tempo_seq_A_10.wav	1200	400	3	440.296999999991
2	15	2	tempo_seq_rand_20.wav	tempo_seq_A_15.wav	1200	400	3	247.421000000002
2	16	1	tempo_seq_A_07.wav	tempo_seq_rand_44.wav	1200	400	2	230.229999999981
2	17	1	tempo_seq_A_03.wav	tempo_seq_rand_23.wav	1200	400	2	245.643000000011
2	18	2	tempo_seq_rand_01.wav	tempo_seq_A_22.wav	1200	400	2	227.801000000007
2	19	1	tempo_seq_A_12.wav	tempo_seq_rand_35.wav	1200	400	3	227.23000000001
2	20	1	tempo_seq_A_01.wav	tempo_seq_rand_26.wav	1200	400	3	114.736999999994
2	21	2	tempo_seq_rand_08.wav	tempo_seq_A_09.wav	1200	400	3	742.224000000017
2	22	2	tempo_seq_rand_40.wav	tempo_seq_A_24.wav	1200	400	2	192.964000000007
2	23	1	tempo_seq_A_21.wav	tempo_seq_rand_21.wav	1200	400	3	170.455000000016
2	24	2	tempo_seq_rand_32.wav	tempo_seq_A_04.wav	1200	400	2	131.91399999999
3	25	1	tempo_seq_A_10.wav	tempo_seq_rand_27.wav	1200	400	3	154.657999999996
3	26	2	tempo_seq_rand_14.wav	tempo_seq_A_12.wav	1200	400	3	180.748000000021
3	27	1	tempo_seq_A_18.wav	tempo_seq_rand_15.wav	1200	400	2	119.188000000024
3	28	1	tempo_seq_A_02.wav	tempo_seq_rand_06.wav	1200	400	2	385.747999999963
3	29	1	tempo_seq_A_14.wav	tempo_seq_rand_45.wav	1200	400	3	162.49099999998
3	30	1	tempo_seq_A_09.wav	tempo_seq_rand_18.wav	1200	400	3	84.0320000000065
3	31	2	tempo_seq_rand_36.wav	tempo_seq_A_23.wav	1200	400	3	185.494999999995
3	32	2	tempo_seq_rand_17.wav	tempo_seq_A_21.wav	1200	400	2	322.923999999999
3	33	2	tempo_seq_rand_39.wav	tempo_seq_A_08.wav	1200	400	3	1014.32900000003
3	34	2	tempo_seq_rand_47.wav	tempo_seq_A_19.wav	1200	400	3	253.809999999998
3	35	1	tempo_seq_A_08.wav	tempo_seq_rand_22.wav	1200	400	2	236.588999999978
3	36	2	tempo_seq_rand_30.wav	tempo_seq_A_05.wav	1200	400	3	468.08600000001
4	37	1	tempo_seq_A_24.wav	tempo_seq_rand_03.wav	1200	400	3	975.456999999995
4	38	2	tempo_seq_rand_24.wav	tempo_seq_A_14.wav	1200	400	2	330.290000000037
4	39	2	tempo_seq_rand_34.wav	tempo_seq_A_11.wav	1200	400	2	172.33600000001
4	40	1	tempo_seq_A_19.wav	tempo_seq_rand_02.wav	1200	400	3	269.835999999952
4	41	1	tempo_seq_A_20.wav	tempo_seq_rand_28.wav	1200	400	2	227.26999999996
4	42	2	tempo_seq_rand_38.wav	tempo_seq_A_06.wav	1200	400	2	186.733000000007
4	43	2	tempo_seq_rand_25.wav	tempo_seq_A_13.wav	1200	400	2	220.188000000024
4	44	1	tempo_seq_A_11.wav	tempo_seq_rand_19.wav	1200	400	3	179.67300000001
4	45	2	tempo_seq_rand_42.wav	tempo_seq_A_17.wav	1200	400	2	261.177000000025
4	46	1	tempo_seq_A_15.wav	tempo_seq_rand_07.wav	1200	400	3	163.951000000001
4	47	1	tempo_seq_A_23.wav	tempo_seq_rand_04.wav	1200	400	3	662.119000000006
4	48	2	tempo_seq_rand_48.wav	tempo_seq_A_03.wav	1200	400	2	451.536000000022
