#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/12/2019 10:06:04
#Subject: y0305
#Sex: F
#Age: 29
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_40.wav	tempo_seq_A_19.wav	1200	400	3	1581.606
1	2	1	tempo_seq_A_19.wav	tempo_seq_rand_04.wav	1200	400	3	405.624000000011
1	3	2	tempo_seq_rand_46.wav	tempo_seq_A_09.wav	1200	400	2	689.043000000005
1	4	2	tempo_seq_rand_43.wav	tempo_seq_A_15.wav	1200	400	2	267.838000000003
1	5	1	tempo_seq_A_07.wav	tempo_seq_rand_47.wav	1200	400	2	223.243000000002
1	6	2	tempo_seq_rand_41.wav	tempo_seq_A_02.wav	1200	400	3	390.742999999988
1	7	2	tempo_seq_rand_38.wav	tempo_seq_A_10.wav	1200	400	2	1030.178
1	8	1	tempo_seq_A_11.wav	tempo_seq_rand_22.wav	1200	400	2	245.569000000003
1	9	1	tempo_seq_A_16.wav	tempo_seq_rand_32.wav	1200	400	2	1307.12700000001
1	10	1	tempo_seq_A_01.wav	tempo_seq_rand_44.wav	1200	400	2	238.447000000015
1	11	2	tempo_seq_rand_08.wav	tempo_seq_A_20.wav	1200	400	3	293.285999999993
1	12	1	tempo_seq_A_02.wav	tempo_seq_rand_26.wav	1200	400	2	248.654999999999
2	13	2	tempo_seq_rand_18.wav	tempo_seq_A_18.wav	1200	400	2	171.900999999983
2	14	1	tempo_seq_A_22.wav	tempo_seq_rand_25.wav	1200	400	3	189.357000000018
2	15	2	tempo_seq_rand_42.wav	tempo_seq_A_05.wav	1200	400	3	221.465000000026
2	16	1	tempo_seq_A_23.wav	tempo_seq_rand_03.wav	1200	400	2	156.255000000005
2	17	1	tempo_seq_A_09.wav	tempo_seq_rand_20.wav	1200	400	2	246.360000000015
2	18	1	tempo_seq_A_03.wav	tempo_seq_rand_28.wav	1200	400	2	763.811000000016
2	19	2	tempo_seq_rand_39.wav	tempo_seq_A_13.wav	1200	400	2	220.606999999989
2	20	2	tempo_seq_rand_48.wav	tempo_seq_A_24.wav	1200	400	2	308.119999999995
2	21	2	tempo_seq_rand_23.wav	tempo_seq_A_12.wav	1200	400	2	575.443999999989
2	22	1	tempo_seq_A_06.wav	tempo_seq_rand_45.wav	1200	400	3	240.991999999998
2	23	1	tempo_seq_A_15.wav	tempo_seq_rand_12.wav	1200	400	3	182.587
2	24	2	tempo_seq_rand_05.wav	tempo_seq_A_17.wav	1200	400	3	760.695000000007
3	25	2	tempo_seq_rand_36.wav	tempo_seq_A_08.wav	1200	400	2	588.57799999998
3	26	1	tempo_seq_A_21.wav	tempo_seq_rand_10.wav	1200	400	3	293.998000000021
3	27	1	tempo_seq_A_08.wav	tempo_seq_rand_17.wav	1200	400	2	202.092999999993
3	28	2	tempo_seq_rand_11.wav	tempo_seq_A_11.wav	1200	400	3	378.913
3	29	1	tempo_seq_A_05.wav	tempo_seq_rand_07.wav	1200	400	3	316.491000000038
3	30	2	tempo_seq_rand_29.wav	tempo_seq_A_21.wav	1200	400	3	223.84600000002
3	31	2	tempo_seq_rand_19.wav	tempo_seq_A_01.wav	1200	400	2	215.335000000021
3	32	1	tempo_seq_A_10.wav	tempo_seq_rand_21.wav	1200	400	3	158.785000000033
3	33	1	tempo_seq_A_12.wav	tempo_seq_rand_34.wav	1200	400	2	240.293000000005
3	34	2	tempo_seq_rand_33.wav	tempo_seq_A_03.wav	1200	400	3	191
3	35	1	tempo_seq_A_13.wav	tempo_seq_rand_02.wav	1200	400	2	263.218000000052
3	36	2	tempo_seq_rand_09.wav	tempo_seq_A_06.wav	1200	400	3	236.58600000001
4	37	1	tempo_seq_A_20.wav	tempo_seq_rand_13.wav	1200	400	2	411.306000000041
4	38	2	tempo_seq_rand_14.wav	tempo_seq_A_14.wav	1200	400	3	2018.761
4	39	1	tempo_seq_A_18.wav	tempo_seq_rand_06.wav	1200	400	3	250.128000000026
4	40	2	tempo_seq_rand_37.wav	tempo_seq_A_04.wav	1200	400	2	359.573000000033
4	41	1	tempo_seq_A_24.wav	tempo_seq_rand_24.wav	1200	400	3	305.09500000003
4	42	1	tempo_seq_A_04.wav	tempo_seq_rand_31.wav	1200	400	2	156.475999999966
4	43	2	tempo_seq_rand_01.wav	tempo_seq_A_07.wav	1200	400	3	189.986000000034
4	44	2	tempo_seq_rand_27.wav	tempo_seq_A_22.wav	1200	400	2	190.049999999988
4	45	2	tempo_seq_rand_16.wav	tempo_seq_A_23.wav	1200	400	2	542.874000000011
4	46	1	tempo_seq_A_14.wav	tempo_seq_rand_35.wav	1200	400	3	145.642999999982
4	47	2	tempo_seq_rand_15.wav	tempo_seq_A_16.wav	1200	400	3	99.765000000014
4	48	1	tempo_seq_A_17.wav	tempo_seq_rand_30.wav	1200	400	2	271.318000000028
