subject,block,targets,n_responses,accuracy,precision,hits,misses,false_positives
1,1,18,18,0,NaN,0,18,0
1,2,18,18,1,1,18,0,0
1,3,18,26,0.388888888888889,0.466666666666667,7,11,8
1,4,18,20,0.944444444444444,0.894736842105263,17,1,2
1,5,18,21,0.944444444444444,0.85,17,1,3
1,6,18,20,0.833333333333333,0.882352941176471,15,3,2
1,7,18,20,0.666666666666667,0.857142857142857,12,6,2
1,8,18,20,0.777777777777778,0.875,14,4,2
1,9,18,29,0.222222222222222,0.266666666666667,4,14,11
1,10,18,18,0.888888888888889,1,16,2,0
1,11,18,19,1,0.947368421052632,18,0,1
1,12,18,19,0.833333333333333,0.9375,15,3,1
1,13,18,21,0.444444444444444,0.727272727272727,8,10,3
1,14,18,18,1,1,18,0,0
1,15,18,26,0.388888888888889,0.466666666666667,7,11,8
1,16,18,19,0.944444444444444,0.944444444444444,17,1,1
1,17,18,19,0.944444444444444,0.944444444444444,17,1,1
1,18,18,18,0.833333333333333,1,15,3,0
1,19,18,18,0.722222222222222,1,13,5,0
1,20,18,18,1,1,18,0,0
1,21,18,18,0.944444444444444,1,17,1,0
1,22,18,25,0.611111111111111,0.611111111111111,11,7,7
1,23,18,29,0.277777777777778,0.3125,5,13,11
1,24,18,18,0.833333333333333,1,15,3,0
2,1,18,19,0.722222222222222,0.928571428571429,13,5,1
2,2,18,21,0.444444444444444,0.727272727272727,8,10,3
2,3,18,20,0.5,0.818181818181818,9,9,2
2,4,18,18,0.833333333333333,1,15,3,0
2,5,18,19,0.5,0.9,9,9,1
2,6,18,19,0.5,0.9,9,9,1
2,7,18,28,0.611111111111111,0.523809523809524,11,7,10
2,8,18,27,0.833333333333333,0.625,15,3,9
2,9,18,19,0.5,0.9,9,9,1
2,10,18,23,0.555555555555556,0.666666666666667,10,8,5
2,11,18,20,0.722222222222222,0.866666666666667,13,5,2
2,12,18,24,0.166666666666667,0.333333333333333,3,15,6
3,1,18,18,0.944444444444444,1,17,1,0
3,2,18,19,0.833333333333333,0.9375,15,3,1
3,3,18,18,0.944444444444444,1,17,1,0
3,4,18,18,0.833333333333333,1,15,3,0
3,5,18,18,1,1,18,0,0
3,6,18,27,0.444444444444444,0.470588235294118,8,10,9
3,7,18,19,0.944444444444444,0.944444444444444,17,1,1
3,8,18,18,0.944444444444444,1,17,1,0
3,9,18,19,0.944444444444444,0.944444444444444,17,1,1
3,10,18,18,0.888888888888889,1,16,2,0
3,11,18,28,0.333333333333333,0.375,6,12,10
3,12,18,18,0.944444444444444,1,17,1,0
3,13,18,18,0.944444444444444,1,17,1,0
3,14,18,18,0.833333333333333,1,15,3,0
3,15,18,18,0.777777777777778,1,14,4,0
3,16,18,18,1,1,18,0,0
3,17,18,18,0.833333333333333,1,15,3,0
