"subject","subjID","block","code","stream_pos","target_syll","sequence_file","tgt_word","tgt_pos","detect","rt"
1,"m0085",1,1,1,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,2,13,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,3,25,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,4,34,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,5,43,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,6,58,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,7,67,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,8,76,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,9,91,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,10,109,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,11,115,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,12,124,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,13,133,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,14,148,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,15,157,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,16,196,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,17,208,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",1,18,214,"be","cue_linfade_exp_seq_A_03.wav",4,2,0,NA
1,"m0085",2,1,10,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,495.800000000003
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,2,16,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,387.699999999997
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,3,25,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,377.699999999997
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,4,34,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,447.5
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,5,40,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,427.5
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,6,46,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,439.599999999977
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,7,61,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,393.400000000023
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,8,82,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,391.200000000012
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,9,94,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,623.299999999988
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,10,112,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,387.099999999977
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,11,121,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,985.099999999977
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,12,127,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,556.900000000023
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,13,136,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,442.800000000017
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,14,148,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,418.700000000012
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,15,154,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,454.700000000012
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,16,178,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,406.600000000006
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,17,190,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,518.5
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",2,18,211,"la","cue_linfade_exp_seq_A_09.wav",3,3,1,444.5
1,"m0085",2,0,0,"la","cue_linfade_exp_seq_A_09.wav",3,3,NA,NA
1,"m0085",3,1,7,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,2,25,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,3,31,"ro","cue_linfade_exp_seq_A_22.wav",2,1,1,1036
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,NA,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,4,49,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,5,55,"ro","cue_linfade_exp_seq_A_22.wav",2,1,1,987.800000000017
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,NA,NA
1,"m0085",3,6,64,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,7,73,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,8,85,"ro","cue_linfade_exp_seq_A_22.wav",2,1,1,391.5
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,NA,NA
1,"m0085",3,9,91,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,10,112,"ro","cue_linfade_exp_seq_A_22.wav",2,1,1,137.200000000012
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,NA,NA
1,"m0085",3,11,118,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,12,124,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,13,133,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,14,157,"ro","cue_linfade_exp_seq_A_22.wav",2,1,1,879.100000000006
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,NA,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,15,178,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",3,16,190,"ro","cue_linfade_exp_seq_A_22.wav",2,1,1,756.900000000023
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,NA,NA
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,2,NA
1,"m0085",3,17,205,"ro","cue_linfade_exp_seq_A_22.wav",2,1,1,966.800000000017
1,"m0085",3,0,0,"ro","cue_linfade_exp_seq_A_22.wav",2,1,NA,NA
1,"m0085",3,18,211,"ro","cue_linfade_exp_seq_A_22.wav",2,1,0,NA
1,"m0085",4,1,8,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,540.400000000023
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,2,23,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,462.200000000012
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,3,29,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,482.200000000012
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,4,44,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,524.100000000035
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,2,NA
1,"m0085",4,5,53,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,618.100000000035
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,6,65,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,418
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,7,77,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,426
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,8,92,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,475.799999999988
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,9,101,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,473.600000000035
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,10,119,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,501.600000000035
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,2,NA
1,"m0085",4,11,143,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,549.400000000023
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,12,164,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,427.299999999988
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,13,173,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,609.299999999988
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,14,179,"po","cue_linfade_exp_seq_A_04.wav",3,2,0,NA
1,"m0085",4,15,188,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,403.100000000035
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,16,194,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,519.100000000035
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,17,203,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,453
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",4,18,212,"po","cue_linfade_exp_seq_A_04.wav",3,2,1,539
1,"m0085",4,0,0,"po","cue_linfade_exp_seq_A_04.wav",3,2,NA,NA
1,"m0085",5,1,18,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,390.5
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
1,"m0085",5,2,27,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,596.400000000023
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
1,"m0085",5,3,36,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,514.400000000023
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
1,"m0085",5,4,42,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,438.400000000023
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
1,"m0085",5,5,51,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,372.200000000012
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
1,"m0085",5,6,69,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,328.200000000012
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
1,"m0085",5,7,81,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,552.099999999977
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
1,"m0085",5,8,87,"se","cue_linfade_exp_seq_A_08.wav",2,3,1,404
1,"m0085",5,0,0,"se","cue_linfade_exp_seq_A_08.wav",2,3,NA,NA
