"subject","subj_id","prop_word_chosen","pwc_ord1","pwc_ord2","mipola","nugadi","rokise","zabetu"
"1","m0085",0.5,0.375,0.625,3,1,0,4
"2","s7540",0.5625,0.5,0.625,3,3,2,1
"3","r6335",1,1,1,4,4,4,4
"4","b5269",0.875,0.75,1,3,4,3,4
"5","o9926",0.625,0.375,0.875,3,4,1,2
"6","b1965",0.1875,0.25,0.125,0,1,1,1
"7","a0467",0.3125,0.375,0.25,2,1,2,0
"8","m8718",0.8125,0.75,0.875,4,4,1,4
"9","z7714",0.625,0.75,0.5,1,4,4,1
"10","h7583",0.375,0.375,0.375,2,1,1,2
"11","s5965",0.375,0.25,0.5,1,1,2,2
"12","m3012",0.875,1,0.75,3,4,3,4
"13","m6318",0.9375,0.875,1,3,4,4,4
"14","v7564",0.6875,0.625,0.75,4,0,3,4
"15","a5168",0.75,0.75,0.75,4,3,3,2
"16","t9318",0.625,0.625,0.625,3,3,0,4
"17","b7514",0.375,0.375,0.375,2,2,1,1
"18","j4050",0.4375,0.375,0.5,2,2,0,3
"19","d2018",0.5625,0.75,0.375,3,2,1,3
"20","o0345",0.8125,0.875,0.75,3,4,3,3
"21","q0934",0.4375,0.5,0.375,4,1,0,2
"22","b8353",0.5625,0.375,0.75,2,3,2,2
"23","v1790",0.5,0.375,0.625,3,1,1,3
"24","f0329",0.3125,0.375,0.25,1,2,1,1
"25","i3939",0.75,0.875,0.625,3,4,4,1
"26","m1826",0.875,0.875,0.875,3,4,3,4
"27","e9575",0.9375,1,0.875,4,3,4,4
"28","w0072",0.625,0.625,0.625,3,3,1,3
"29","l4377",0.5625,0.5,0.625,2,2,1,4
"30","l3385",0.8125,0.875,0.75,4,4,3,2
"31","l6988",0.625,0.875,0.375,1,3,4,2
"32","h9825",0.6875,0.625,0.75,1,4,3,3
"33","r4893",0.9375,0.875,1,4,4,3,4
"34","n0178",0.625,0.625,0.625,3,3,4,0
"35","p0860",0.5625,0.625,0.5,2,1,3,3
"36","r3677",0.6875,0.75,0.625,2,4,1,4
"37","v7462",0.5625,0.5,0.625,4,1,0,4
"38","l1677",0.375,0.5,0.25,0,3,2,1
