"Subject","Block","Trial","Session","Syll","Cond_Order","Word","Position","Dial","Prev_ISI","Prev_Pos","Curr_ISI","Curr_Pos","ISI_Diff","Pos_Diff","X","Point"
"a2012",1,1,"struct","po","rand-struct","3","2","3",0,0,319,957,0,0,39,"start"
"a2012",1,1,"struct","la","rand-struct","3","3","2",16,48,16,48,0,0,40,"start"
"a2012",1,1,"struct","za","rand-struct","4","1","1",555,1665,555,1665,0,0,40,"start"
"a2012",1,1,"rand","di","rand-struct",NA,"2","1",0,0,279,837,0,0,1,"start"
"a2012",1,1,"rand","la","rand-struct",NA,"3","3",279,837,279,837,0,0,1,"start"
"a2012",1,1,"rand","ro","rand-struct",NA,"1","2",505,1515,505,1515,0,0,1,"start"
"a2012",1,2,"struct","po","rand-struct","3","2","1",0,0,137,411,0,0,41,"start"
"a2012",1,2,"struct","la","rand-struct","3","3","3",448,1344,448,1344,0,0,41,"start"
"a2012",1,2,"struct","nu","rand-struct","1","1","2",594,1782,594,1782,0,0,42,"start"
"a2012",1,2,"rand","ki","rand-struct",NA,"2","1",0,0,19,57,0,0,1,"start"
"a2012",1,2,"rand","la","rand-struct",NA,"3","3",121,363,121,363,0,0,1,"start"
"a2012",1,2,"rand","di","rand-struct",NA,"1","2",150,450,150,450,0,0,1,"start"
"a2012",1,3,"struct","di","rand-struct","1","3","2",0,0,471,1413,0,0,36,"start"
"a2012",1,3,"struct","mi","rand-struct","3","1","3",555,1665,555,1665,0,0,37,"start"
"a2012",1,3,"struct","po","rand-struct","3","2","1",319,957,319,957,0,0,37,"start"
"a2012",1,3,"rand","ga","rand-struct",NA,"3","3",0,0,264,792,0,0,1,"start"
"a2012",1,3,"rand","la","rand-struct",NA,"1","1",88,264,88,264,0,0,1,"start"
"a2012",1,3,"rand","za","rand-struct",NA,"2","2",264,792,264,792,0,0,1,"start"
"a2012",1,4,"struct","mi","rand-struct","3","1","3",0,0,137,411,0,0,38,"start"
"a2012",1,4,"struct","po","rand-struct","3","2","1",471,1413,471,1413,0,0,38,"start"
"a2012",1,4,"struct","la","rand-struct","3","3","2",448,1344,448,1344,0,0,39,"start"
"a2012",1,4,"rand","di","rand-struct",NA,"1","3",0,0,150,450,0,0,1,"start"
"a2012",1,4,"rand","tu","rand-struct",NA,"2","1",190,570,190,570,0,0,1,"start"
"a2012",1,4,"rand","ro","rand-struct",NA,"3","2",190,570,190,570,0,0,1,"start"
"a2012",1,5,"struct","nu","rand-struct","1","1","3",0,0,594,1782,0,0,9,"start"
"a2012",1,5,"struct","ga","rand-struct","1","2","2",307,921,307,921,0,0,10,"start"
"a2012",1,5,"struct","di","rand-struct","1","3","1",448,1344,448,1344,0,0,10,"start"
"a2012",1,5,"rand","la","rand-struct",NA,"1","2",0,0,540,1620,0,0,1,"start"
"a2012",1,5,"rand","za","rand-struct",NA,"2","3",540,1620,540,1620,0,0,1,"start"
"a2012",1,5,"rand","tu","rand-struct",NA,"3","1",264,792,264,792,0,0,1,"start"
"a2012",1,6,"struct","di","rand-struct","1","3","1",0,0,434,1302,0,0,14,"start"
"a2012",1,6,"struct","za","rand-struct","4","1","3",16,48,16,48,0,0,14,"start"
"a2012",1,6,"struct","be","rand-struct","4","2","2",319,957,319,957,0,0,14,"start"
"a2012",1,6,"rand","be","rand-struct",NA,"3","1",0,0,377,1131,0,0,1,"start"
"a2012",1,6,"rand","di","rand-struct",NA,"1","3",505,1515,505,1515,0,0,1,"start"
"a2012",1,6,"rand","po","rand-struct",NA,"2","2",19,57,19,57,0,0,1,"start"
"a2012",1,7,"struct","za","rand-struct","4","1","2",0,0,434,1302,0,0,58,"start"
"a2012",1,7,"struct","be","rand-struct","4","2","1",594,1782,594,1782,0,0,58,"start"
"a2012",1,7,"struct","tu","rand-struct","4","3","3",307,921,307,921,0,0,59,"start"
"a2012",1,7,"rand","nu","rand-struct",NA,"1","1",0,0,121,363,0,0,1,"start"
"a2012",1,7,"rand","se","rand-struct",NA,"2","3",88,264,88,264,0,0,1,"start"
"a2012",1,7,"rand","ki","rand-struct",NA,"3","2",121,363,121,363,0,0,1,"start"
"a2012",1,8,"struct","be","rand-struct","4","2","1",0,0,16,48,0,0,36,"start"
"a2012",1,8,"struct","tu","rand-struct","4","3","2",509,1527,509,1527,0,0,36,"start"
"a2012",1,8,"struct","mi","rand-struct","3","1","3",434,1302,434,1302,0,0,37,"start"
"a2012",1,8,"rand","di","rand-struct",NA,"2","2",0,0,377,1131,0,0,1,"start"
"a2012",1,8,"rand","za","rand-struct",NA,"3","1",540,1620,540,1620,0,0,1,"start"
"a2012",1,8,"rand","ro","rand-struct",NA,"1","3",19,57,19,57,0,0,1,"start"
"a2012",1,9,"struct","be","rand-struct","4","2","3",0,0,509,1527,0,0,28,"start"
"a2012",1,9,"struct","tu","rand-struct","4","3","2",137,411,137,411,0,0,28,"start"
"a2012",1,9,"struct","ro","rand-struct","2","1","1",509,1527,509,1527,0,0,28,"start"
"a2012",1,9,"rand","nu","rand-struct",NA,"2","3",0,0,377,1131,0,0,1,"start"
"a2012",1,9,"rand","mi","rand-struct",NA,"3","2",279,837,279,837,0,0,1,"start"
"a2012",1,9,"rand","ro","rand-struct",NA,"1","1",150,450,150,450,0,0,1,"start"
"a2012",1,10,"struct","mi","rand-struct","3","1","2",0,0,555,1665,0,0,38,"start"
"a2012",1,10,"struct","po","rand-struct","3","2","1",307,921,307,921,0,0,38,"start"
"a2012",1,10,"struct","la","rand-struct","3","3","3",471,1413,471,1413,0,0,38,"start"
"a2012",1,10,"rand","mi","rand-struct",NA,"1","2",0,0,88,264,0,0,1,"start"
"a2012",1,10,"rand","la","rand-struct",NA,"2","1",505,1515,505,1515,0,0,1,"start"
"a2012",1,10,"rand","nu","rand-struct",NA,"3","3",190,570,190,570,0,0,1,"start"
"a2012",2,1,"struct","tu","rand-struct","4","3","1",0,0,525,1575,0,0,14,"start"
"a2012",2,1,"struct","mi","rand-struct","3","1","2",525,1575,525,1575,0,0,15,"start"
"a2012",2,1,"struct","po","rand-struct","3","2","3",180,540,180,540,0,0,15,"start"
"a2012",2,1,"rand","se","rand-struct",NA,"3","3",0,0,414,1242,0,0,1,"start"
"a2012",2,1,"rand","tu","rand-struct",NA,"1","2",292,876,292,876,0,0,1,"start"
"a2012",2,1,"rand","di","rand-struct",NA,"2","1",10,30,10,30,0,0,1,"start"
"a2012",2,2,"struct","ga","rand-struct","1","2","1",0,0,214,642,0,0,11,"start"
"a2012",2,2,"struct","di","rand-struct","1","3","3",29,87,29,87,0,0,12,"start"
"a2012",2,2,"struct","za","rand-struct","4","1","2",214,642,214,642,0,0,12,"start"
"a2012",2,2,"rand","po","rand-struct",NA,"2","1",0,0,250,750,0,0,1,"start"
"a2012",2,2,"rand","ga","rand-struct",NA,"3","3",10,30,10,30,0,0,1,"start"
"a2012",2,2,"rand","ki","rand-struct",NA,"1","2",414,1242,414,1242,0,0,1,"start"
"a2012",2,3,"struct","tu","rand-struct","4","3","1",0,0,29,87,0,0,28,"start"
"a2012",2,3,"struct","ro","rand-struct","2","1","3",214,642,214,642,0,0,29,"start"
"a2012",2,3,"struct","ki","rand-struct","2","2","2",13,39,13,39,0,0,29,"start"
"a2012",2,3,"rand","la","rand-struct",NA,"3","3",0,0,263,789,0,0,1,"start"
"a2012",2,3,"rand","di","rand-struct",NA,"1","1",263,789,263,789,0,0,1,"start"
"a2012",2,3,"rand","nu","rand-struct",NA,"2","2",250,750,250,750,0,0,1,"start"
"a2012",2,4,"struct","ga","rand-struct","1","2","2",0,0,173,519,0,0,15,"start"
"a2012",2,4,"struct","di","rand-struct","1","3","1",173,519,173,519,0,0,15,"start"
"a2012",2,4,"struct","ro","rand-struct","2","1","3",8,24,8,24,0,0,16,"start"
"a2012",2,4,"rand","la","rand-struct",NA,"2","2",0,0,564,1692,0,0,1,"start"
"a2012",2,4,"rand","ki","rand-struct",NA,"3","3",292,876,292,876,0,0,1,"start"
"a2012",2,4,"rand","po","rand-struct",NA,"1","1",292,876,292,876,0,0,1,"start"
"a2012",2,5,"struct","ga","rand-struct","1","2","3",0,0,13,39,0,0,24,"start"
"a2012",2,5,"struct","di","rand-struct","1","3","2",180,540,180,540,0,0,25,"start"
"a2012",2,5,"struct","ro","rand-struct","2","1","1",397,1191,397,1191,0,0,25,"start"
"a2012",2,5,"rand","la","rand-struct",NA,"2","1",0,0,304,912,0,0,1,"start"
"a2012",2,5,"rand","ki","rand-struct",NA,"3","2",10,30,10,30,0,0,1,"start"
"a2012",2,5,"rand","tu","rand-struct",NA,"1","3",250,750,250,750,0,0,1,"start"
"a2012",2,6,"struct","ro","rand-struct","2","1","1",0,0,519,1557,0,0,16,"start"
"a2012",2,6,"struct","ki","rand-struct","2","2","3",173,519,173,519,0,0,16,"start"
"a2012",2,6,"struct","se","rand-struct","2","3","2",519,1557,519,1557,0,0,17,"start"
"a2012",2,6,"rand","tu","rand-struct",NA,"1","1",0,0,161,483,0,0,1,"start"
"a2012",2,6,"rand","di","rand-struct",NA,"2","2",304,912,304,912,0,0,1,"start"
"a2012",2,6,"rand","be","rand-struct",NA,"3","3",250,750,250,750,0,0,1,"start"
"a2012",2,7,"struct","mi","rand-struct","3","1","1",0,0,8,24,0,0,23,"start"
"a2012",2,7,"struct","po","rand-struct","3","2","2",479,1437,479,1437,0,0,23,"start"
"a2012",2,7,"struct","la","rand-struct","3","3","3",479,1437,479,1437,0,0,24,"start"
"a2012",2,7,"rand","ro","rand-struct",NA,"1","3",0,0,161,483,0,0,1,"start"
"a2012",2,7,"rand","nu","rand-struct",NA,"2","1",414,1242,414,1242,0,0,1,"start"
"a2012",2,7,"rand","tu","rand-struct",NA,"3","2",263,789,263,789,0,0,1,"start"
"a2012",2,8,"struct","nu","rand-struct","1","1","2",0,0,397,1191,0,0,34,"start"
"a2012",2,8,"struct","ga","rand-struct","1","2","3",397,1191,397,1191,0,0,34,"start"
"a2012",2,8,"struct","di","rand-struct","1","3","1",180,540,180,540,0,0,35,"start"
"a2012",2,8,"rand","ro","rand-struct",NA,"1","1",0,0,250,750,0,0,1,"start"
"a2012",2,8,"rand","za","rand-struct",NA,"2","3",564,1692,564,1692,0,0,1,"start"
"a2012",2,8,"rand","tu","rand-struct",NA,"3","2",161,483,161,483,0,0,1,"start"
"a2012",2,9,"struct","ga","rand-struct","1","2","2",0,0,29,87,0,0,15,"start"
"a2012",2,9,"struct","di","rand-struct","1","3","3",525,1575,525,1575,0,0,15,"start"
