"subject","delta_rt","sess","trial","tgt_word","N","rt_mean","rt_median","sd","se","ci","delta","cond_order"
"r9747","D1-2","rand",10,1,15,591.32666666666,553.900000000023,115.232823118271,29.7529869915686,63.8138104253078,-69.95,"rand-struct"
"r9747","D2-3","rand",7,1,8,654.637499999997,623.850000000006,107.871867608882,38.1384645427489,90.1831381762955,108.55,"rand-struct"
"r9747","D1-3","rand",3,1,15,545.360000000004,515.300000000017,117.518611291998,30.343174960222,65.079637723845,38.6000000000058,"rand-struct"
"r9747","D1-2","rand",5,2,12,535.858333333323,515.5,73.8649315037983,21.3229690436956,46.9315384342675,-50.1,"rand-struct"
"r9747","D2-3","rand",9,2,13,637.223076923088,565.600000000093,137.659205733104,38.1797942161811,83.18662547227,40.2,"rand-struct"
"r9747","D1-3","rand",8,2,17,561.594117647044,525.399999999907,111.140173151916,26.9554513620463,57.1430041853027,-9.89999999990687,"rand-struct"
"r9747","D1-2","rand",4,3,12,588.841666666662,545.149999999965,161.719192419983,46.6843096384031,102.751472723248,66.7,"rand-struct"
"r9747","D2-3","rand",2,3,12,503.041666666668,478.450000000012,99.8053055461042,28.811310011798,63.4132657787671,-125.15,"rand-struct"
"r9747","D1-3","rand",6,3,16,630.131250000002,603.600000000006,126.25084933708,31.5627123342701,67.2743288615139,-58.4500000000407,"rand-struct"
"r9747","D1-2","rand",12,4,15,594.653333333329,586.699999999953,166.545943325235,43.0019776584694,92.2300692360239,-30.3,"rand-struct"
"r9747","D2-3","rand",11,4,13,602.923076923068,617,148.297264269241,41.1302607949064,89.6151399075012,171.5,"rand-struct"
"r9747","D1-3","rand",1,4,15,456.293333333335,445.5,109.480177375157,28.2676602475879,60.6281013976098,141.199999999953,"rand-struct"
"r9747","D1-2","struct",8,1,12,599.733333333323,600.999999999971,118.357504146873,34.1668684399046,75.2007704030333,73.6,"rand-struct"
"r9747","D2-3","struct",9,1,11,556.445454545467,527.400000000023,133.975799035782,40.3952233081589,90.0061664875704,60.65,"rand-struct"
"r9747","D1-3","struct",1,1,14,467.799999999997,466.75,70.0408891565925,18.7192150206414,40.4404054041811,134.249999999971,"rand-struct"
"r9747","D1-2","struct",11,2,11,618.83636363637,593.199999999953,150.699291788151,45.437546093962,101.241161790874,134.8,"rand-struct"
"r9747","D2-3","struct",3,2,17,502.182352941175,458.399999999994,114.231340025923,27.7051694519251,58.7323355369589,-8.9,"rand-struct"
"r9747","D1-3","struct",2,2,15,474.960000000001,467.300000000017,65.6057684745957,16.9393365811499,36.3312636014094,125.899999999936,"rand-struct"
"r9747","D1-2","struct",5,3,13,606.5923076923,601.699999999953,75.0138149669606,20.805088940888,45.3303947067746,76.85,"rand-struct"
