subject,trial,code,time,target_num,sess,target,tgt_word,tgt_pos
a2012,1,tu,54441.9,1,rand,tu,4,3
a2012,1,1,54860.8,0,rand,tu,4,3
a2012,1,tu,57152,2,rand,tu,4,3
a2012,1,1,57484.7,0,rand,tu,4,3
a2012,1,tu,61212.2,3,rand,tu,4,3
a2012,1,1,61668.7,0,rand,tu,4,3
a2012,1,tu,62842.3,4,rand,tu,4,3
a2012,1,tu,68532.5,5,rand,tu,4,3
a2012,1,1,68908.6,0,rand,tu,4,3
a2012,1,tu,70152.5,6,rand,tu,4,3
a2012,1,1,70716.6,0,rand,tu,4,3
a2012,1,tu,73132.7,7,rand,tu,4,3
a2012,1,1,73684.6,0,rand,tu,4,3
a2012,1,tu,76923.1,8,rand,tu,4,3
a2012,1,1,77212.5,0,rand,tu,4,3
a2012,1,tu,79903,9,rand,tu,4,3
a2012,1,1,80348.5,0,rand,tu,4,3
a2012,1,tu,84513.2,10,rand,tu,4,3
a2012,1,1,84940.4,0,rand,tu,4,3
a2012,1,tu,86673.4,11,rand,tu,4,3
a2012,1,1,87108.4,0,rand,tu,4,3
a2012,1,tu,89113.4,12,rand,tu,4,3
a2012,1,1,89692.3,0,rand,tu,4,3
a2012,1,tu,93723.6,13,rand,tu,4,3
a2012,1,tu,95343.7,14,rand,tu,4,3
a2012,1,tu,99403.9,15,rand,tu,4,3
a2012,1,1,100108.2,0,rand,tu,4,3
a2012,1,tu,102654,16,rand,tu,4,3
a2012,1,1,102980.2,0,rand,tu,4,3
a2012,1,tu,105634.2,17,rand,tu,4,3
a2012,1,1,106124.1,0,rand,tu,4,3
a2012,1,tu,108884.3,18,rand,tu,4,3
a2012,1,1,109332.1,0,rand,tu,4,3
a2012,2,1,119140,0,rand,po,3,2
a2012,2,po,120454.8,1,rand,po,3,2
a2012,2,po,122344.9,2,rand,po,3,2
a2012,2,1,122819.9,0,rand,po,3,2
a2012,2,po,125335,3,rand,po,3,2
a2012,2,1,125755.9,0,rand,po,3,2
a2012,2,po,129125.2,4,rand,po,3,2
a2012,2,1,129619.9,0,rand,po,3,2
a2012,2,po,131825.3,5,rand,po,3,2
a2012,2,1,132251.8,0,rand,po,3,2
a2012,2,1,135819.8,0,rand,po,3,2
a2012,2,po,136155.5,6,rand,po,3,2
a2012,2,po,137515.5,7,rand,po,3,2
a2012,2,po,140765.7,8,rand,po,3,2
a2012,2,1,141323.7,0,rand,po,3,2
a2012,2,po,143745.8,9,rand,po,3,2
a2012,2,1,144227.7,0,rand,po,3,2
a2012,2,po,148076,10,rand,po,3,2
a2012,2,1,148483.6,0,rand,po,3,2
a2012,2,1,150147.6,0,rand,po,3,2
a2012,2,po,150516.1,11,rand,po,3,2
a2012,2,1,151275.6,0,rand,po,3,2
a2012,2,1,153539.6,0,rand,po,3,2
a2012,2,po,154316.3,12,rand,po,3,2
a2012,2,1,154731.6,0,rand,po,3,2
a2012,2,po,156746.4,13,rand,po,3,2
a2012,2,1,162275.5,0,rand,po,3,2
a2012,2,po,162436.6,14,rand,po,3,2
a2012,2,po,166226.8,15,rand,po,3,2
a2012,2,po,168396.9,16,rand,po,3,2
a2012,2,1,168971.4,0,rand,po,3,2
a2012,2,po,169747,17,rand,po,3,2
a2012,2,1,170307.4,0,rand,po,3,2
