"SubjID","Sess","Trial","Target","Total","bw_ramps","ramp_up","ramp_down"
"r9747","rand",1,"tu",18,18,0,0
"r9747","rand",2,"po",18,18,0,0
"r9747","rand",3,"di",18,18,0,0
"r9747","rand",4,"mi",18,18,0,0
"r9747","rand",5,"ro",18,18,0,0
"r9747","rand",6,"la",18,18,0,0
"r9747","rand",7,"ga",18,18,0,0
"r9747","rand",8,"se",19,17,1,1
"r9747","rand",9,"ki",18,17,0,1
"r9747","rand",10,"nu",18,18,0,0
"r9747","rand",11,"be",18,18,0,0
"r9747","rand",12,"za",18,18,0,0
"r9747","struct",1,"di",18,18,0,0
"r9747","struct",2,"se",18,18,0,0
"r9747","struct",3,"ki",18,18,0,0
"r9747","struct",4,"za",18,18,0,0
"r9747","struct",5,"mi",18,18,0,0
"r9747","struct",6,"tu",18,18,0,0
"r9747","struct",7,"la",18,17,0,1
"r9747","struct",8,"nu",18,18,0,0
"r9747","struct",9,"ga",18,18,0,0
"r9747","struct",10,"po",18,18,0,0
"r9747","struct",11,"ro",18,18,0,0
"r9747","struct",12,"be",18,18,0,0
"h9453","rand",1,"za",18,18,0,0
"h9453","rand",2,"mi",18,18,0,0
"h9453","rand",3,"ro",18,18,0,0
"h9453","rand",4,"po",18,18,0,0
"h9453","rand",5,"la",18,18,0,0
"h9453","rand",6,"ki",18,17,0,1
"h9453","rand",7,"nu",18,18,0,0
"h9453","rand",8,"di",18,18,0,0
"h9453","rand",9,"se",19,17,1,1
"h9453","rand",10,"be",18,18,0,0
"h9453","rand",11,"ga",18,18,0,0
"h9453","rand",12,"tu",18,18,0,0
"h9453","struct",1,"ga",18,18,0,0
"h9453","struct",2,"ki",18,18,0,0
"h9453","struct",3,"di",18,18,0,0
"h9453","struct",4,"po",18,18,0,0
"h9453","struct",5,"tu",18,18,0,0
"h9453","struct",6,"be",18,18,0,0
"h9453","struct",7,"nu",18,18,0,0
"h9453","struct",8,"ro",18,18,0,0
"h9453","struct",9,"se",18,18,0,0
"h9453","struct",10,"za",18,18,0,0
"h9453","struct",11,"la",18,17,0,1
"h9453","struct",12,"mi",18,18,0,0
"q7907","struct",1,"di",18,18,0,0
"q7907","struct",2,"ki",18,17,0,1
"q7907","struct",3,"be",18,18,0,0
"q7907","struct",4,"ga",18,18,0,0
"q7907","struct",5,"za",18,18,0,0
"q7907","struct",6,"la",18,18,0,0
"q7907","struct",7,"po",18,17,0,1
"q7907","struct",8,"nu",18,17,0,1
"q7907","struct",9,"se",18,18,0,0
"q7907","struct",10,"ro",18,18,0,0
"q7907","struct",11,"tu",18,18,0,0
"q7907","struct",12,"mi",18,18,0,0
