Scenario - DJ_incidental
Logfile written - 03/13/2020 12:24:57

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

a2012	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	487495	2	0	next	other	0
a2012	1	Response	1	487489	487323	1
a2012	2	Sound	Trial #1 incidental_rand_seq_A_11.txt	497661	10000	1			10000		other	0
a2012	2	Sound	Target: tu	522661	35000	1			35000		other	0
a2012	3	Picture	fixation	525122	0	1	582397	2	0	next	other	0
a2012	4	Sound	ga * 0.31	525476	350	1			350		other	0
a2012	5	Sound	za * 0.22	528220	350	1			350		other	0
a2012	6	Sound	ro * 0.16	530918	350	1			350		other	0
a2012	7	Sound	po * 0.08	533619	350	1			350		other	0
a2012	8	Sound	mi * 0.03	536319	350	1			350		other	0
a2012	9	Sound	la	539019	350	1			350		other	0
a2012	10	Sound	di	541719	350	1			350		other	0
a2012	11	Sound	tu	544419	350	1			350		miss	0
a2012	12	Sound	ki	547119	350	1			350		hit	15
a2012	12	Response	1	548608	1839	1
a2012	13	Sound	nu	549819	350	1			350		miss	0
a2012	14	Sound	se	552519	350	1			350		miss	0
a2012	15	Sound	be	555220	350	1			350		miss	0
a2012	16	Sound	ro	558019	350	1			350		miss	0
a2012	17	Sound	mi	560719	350	1			350		miss	0
a2012	18	Sound	za	563420	350	1			350		miss	0
a2012	19	Sound	ga	566120	350	1			350		miss	0
a2012	20	Sound	po	568820	350	1			350		miss	0
a2012	21	Sound	tu	571520	350	1			350		miss	0
a2012	22	Sound	di	574220	350	1			350		hit	26
a2012	22	Response	1	574847	977	1
a2012	23	Sound	be	576920	350	1			350		miss	0
a2012	24	Sound	la	579720	350	1			350		miss	0
a2012	25	Sound	se	582421	350	1			350		miss	0
a2012	26	Sound	ki	585121	350	1			350		miss	0
a2012	27	Sound	nu	587821	350	1			350		miss	0
a2012	28	Sound	ki	590521	350	1			350		miss	0
a2012	29	Sound	di	593221	350	1			350		miss	0
a2012	30	Sound	za	595921	350	1			350		miss	0
a2012	31	Sound	nu	598621	350	1			350		miss	0
a2012	32	Sound	ga	601321	350	1			350		miss	0
a2012	33	Sound	po	604022	350	1			350		miss	0
a2012	34	Sound	mi	606722	350	1			350		miss	0
a2012	35	Sound	ro	609422	350	1			350		miss	0
a2012	36	Sound	tu	612122	350	1			350		miss	0
a2012	37	Sound	be	614822	350	1			350		hit	42
a2012	37	Response	1	616687	2215	1
a2012	38	Sound	se	617622	350	1			350		miss	0
a2012	39	Sound	la	620322	350	1			350		miss	0
a2012	40	Sound	nu	623023	350	1			350		miss	0
a2012	41	Sound	la	625722	350	1			350		miss	0
a2012	42	Sound	tu	628423	350	1			350		miss	0
a2012	43	Sound	ro	631122	350	1			350		miss	0
a2012	44	Sound	za	633823	350	1			350		miss	0
a2012	45	Sound	mi	636523	350	1			350		miss	0
a2012	46	Sound	be	639225	350	1			350		miss	0
a2012	47	Sound	se	642025	350	1			350		miss	0
a2012	48	Sound	di	644726	350	1			350		miss	0
a2012	49	Sound	po	647423	350	1			350		miss	0
a2012	50	Sound	ga	650125	350	1			350		miss	0
a2012	51	Sound	ki	652824	350	1			350		miss	0
a2012	52	Sound	mi	655526	350	1			350		miss	0
a2012	53	Sound	la	658224	350	1			350		miss	0
a2012	54	Sound	ki	660925	350	1			350		miss	0
a2012	55	Sound	ro	663624	350	1			350		miss	0
a2012	56	Sound	se	666327	350	1			350		miss	0
a2012	57	Sound	ga	669024	350	1			350		miss	0
a2012	58	Sound	di	671726	350	1			350		miss	0
a2012	59	Sound	po	674425	350	1			350		miss	0
a2012	60	Sound	be	677126	350	1			350		miss	0
a2012	61	Sound	za	679925	350	1			350		miss	0
a2012	62	Sound	nu	682627	350	1			350		miss	0
a2012	63	Sound	tu	685325	350	1			350		miss	0
a2012	64	Sound	se	688025	350	1			350		hit	70
a2012	64	Response	1	689086	1411	1
a2012	65	Sound	za	690725	350	1			350		miss	0
a2012	66	Sound	ga	693426	350	1			350		miss	0
a2012	67	Sound	mi	696126	350	1			350		miss	0
a2012	68	Sound	ki	698826	350	1			350		miss	0
a2012	69	Sound	tu	701525	350	1			350		miss	0
a2012	70	Sound	la	704226	350	1			350		miss	0
a2012	71	Sound	be	706926	350	1			350		hit	78
a2012	71	Response	1	707166	590	1
a2012	72	Sound	nu	709726	350	1			350		miss	0
a2012	73	Sound	ro	712427	350	1			350		miss	0
