Scenario - DJ_incidental
Logfile written - 03/09/2020 11:30:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

b0704	1	Picture	Instructions. Volume set to 0.8275* system volume.	166	0	1	70759	2	0	next	other	0
b0704	1	Response	1	70780	70614	1
b0704	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	80925	10000	1			10000		other	0
b0704	2	Sound	Target: se	105925	35000	1			35000		other	0
b0704	3	Picture	fixation	108386	0	1	582392	2	0	next	other	0
b0704	4	Sound	se * 0.31	108740	350	1			350		hit	7
b0704	4	Response	1	110779	2389	1
b0704	5	Sound	ki * 0.22	111454	350	1			350		miss	0
b0704	6	Sound	ga * 0.16	114157	350	1			350		miss	0
b0704	7	Sound	nu * 0.08	116854	350	1			350		hit	11
b0704	7	Response	1	117019	515	1
b0704	8	Sound	ro * 0.03	119556	350	1			350		miss	0
b0704	9	Sound	la	122254	350	1			350		miss	0
b0704	10	Sound	po	124957	350	1			350		miss	0
b0704	11	Sound	se	127655	350	1			350		miss	0
b0704	12	Sound	be	130357	350	1			350		hit	17
b0704	12	Response	1	132538	2531	1
b0704	13	Sound	mi	133155	350	1			350		miss	0
b0704	14	Sound	za	135858	350	1			350		miss	0
b0704	15	Sound	tu	138555	350	1			350		miss	0
b0704	16	Sound	di	141258	350	1			350		miss	0
b0704	17	Sound	po	143955	350	1			350		miss	0
b0704	18	Sound	tu	146657	350	1			350		miss	0
b0704	19	Sound	se	149356	350	1			350		miss	0
b0704	20	Sound	la	152059	350	1			350		hit	26
b0704	20	Response	1	153418	1709	1
b0704	21	Sound	za	154756	350	1			350		miss	0
b0704	22	Sound	ro	157459	350	1			350		miss	0
b0704	23	Sound	di	160156	350	1			350		miss	0
b0704	24	Sound	ga	162858	350	1			350		miss	0
b0704	25	Sound	nu	165556	350	1			350		miss	0
b0704	26	Sound	mi	168259	350	1			350		miss	0
b0704	27	Sound	be	170956	350	1			350		miss	0
b0704	28	Sound	ki	173758	350	1			350		miss	0
b0704	29	Sound	nu	176456	350	1			350		miss	0
b0704	30	Sound	ro	179159	350	1			350		miss	0
