Scenario - DJ_incidental
Logfile written - 03/12/2020 10:43:16

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h0512	1	Picture	instruct	166	0	1	522784	2	0	next	other	0
h0512	1	Response	1	522844	522678	1
h0512	2	Sound	Trial #1 incidental_struct_seq_A_1.txt	532950	10000	1			10000		other	0
h0512	2	Sound	Target: di	557950	35000	1			35000		other	0
h0512	3	Picture	fixation	560411	0	1	582389	2	0	next	other	0
h0512	4	Sound	se * 0.31	560764	350	1			350		other	0
h0512	5	Sound	za * 0.22	563514	350	1			350		other	0
h0512	6	Sound	be * 0.16	566216	350	1			350		other	0
h0512	7	Sound	tu * 0.08	569013	350	1			350		other	0
h0512	8	Sound	mi * 0.03	571713	350	1			350		other	0
h0512	9	Sound	po	574414	350	1			350		other	0
h0512	10	Sound	la	577114	350	1			350		other	0
h0512	11	Sound	nu	579814	350	1			350		other	0
h0512	12	Sound	ga	582514	350	1			350		other	0
h0512	13	Sound	di	585215	350	1			350		miss	0
h0512	14	Sound	mi	587914	350	1			350		hit	17
h0512	14	Response	1	589162	1598	1
h0512	15	Sound	po	590614	350	1			350		miss	0
h0512	16	Sound	la	593315	350	1			350		miss	0
h0512	17	Sound	ro	596014	350	1			350		miss	0
h0512	18	Sound	ki	598715	350	1			350		miss	0
h0512	19	Sound	se	601415	350	1			350		miss	0
h0512	20	Sound	nu	604115	350	1			350		miss	0
h0512	21	Sound	ga	606815	350	1			350		miss	0
h0512	22	Sound	di	609515	350	1			350		miss	0
h0512	23	Sound	mi	612215	350	1			350		hit	27
h0512	23	Response	1	612921	1056	1
h0512	24	Sound	po	614915	350	1			350		miss	0
h0512	25	Sound	la	617615	350	1			350		miss	0
h0512	26	Sound	nu	620315	350	1			350		miss	0
h0512	27	Sound	ga	623015	350	1			350		miss	0
h0512	28	Sound	di	625715	350	1			350		miss	0
h0512	29	Sound	ro	628416	350	1			350		miss	0
h0512	30	Sound	ki	631116	350	1			350		hit	35
h0512	30	Response	1	632201	1435	1
h0512	31	Sound	se	633816	350	1			350		miss	0
h0512	32	Sound	za	636516	350	1			350		miss	0
h0512	33	Sound	be	639216	350	1			350		miss	0
h0512	34	Sound	tu	642016	350	1			350		miss	0
h0512	35	Sound	ro	644716	350	1			350		miss	0
h0512	36	Sound	ki	647416	350	1			350		miss	0
h0512	37	Sound	se	650116	350	1			350		miss	0
h0512	38	Sound	nu	652816	350	1			350		miss	0
h0512	39	Sound	ga	655516	350	1			350		miss	0
h0512	40	Sound	di	658216	350	1			350		miss	0
h0512	41	Sound	za	660916	350	1			350		hit	47
h0512	41	Response	1	661960	1394	1
h0512	42	Sound	be	663617	350	1			350		miss	0
h0512	43	Sound	tu	666417	350	1			350		miss	0
h0512	44	Sound	mi	669117	350	1			350		miss	0
h0512	45	Sound	po	671817	350	1			350		miss	0
h0512	46	Sound	la	674517	350	1			350		miss	0
h0512	47	Sound	ro	677217	350	1			350		miss	0
h0512	48	Sound	ki	679917	350	1			350		miss	0
h0512	49	Sound	se	682617	350	1			350		miss	0
h0512	50	Sound	za	685317	350	1			350		miss	0
h0512	51	Sound	be	688018	350	1			350		miss	0
h0512	52	Sound	tu	690817	350	1			350		miss	0
h0512	53	Sound	nu	693518	350	1			350		miss	0
