Scenario - DJ_incidental
Logfile written - 03/12/2020 11:38:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

m0207	1	Picture	instruct	166	0	1	316334	2	0	next	other	0
m0207	1	Response	1	316422	316256	1
m0207	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	326500	10000	1			10000		other	0
m0207	2	Sound	Target: se	351500	35000	1			35000		other	0
m0207	3	Picture	fixation	353961	0	1	582389	2	0	next	other	0
m0207	4	Sound	se * 0.31	354314	350	1			350		miss	0
m0207	5	Sound	ki * 0.22	356971	350	1			350		miss	0
m0207	6	Sound	ga * 0.16	359671	350	1			350		miss	0
m0207	7	Sound	nu * 0.08	362371	350	1			350		miss	0
m0207	8	Sound	ro * 0.03	365071	350	1			350		miss	0
m0207	9	Sound	la	367771	350	1			350		miss	0
m0207	10	Sound	po	370471	350	1			350		miss	0
m0207	11	Sound	se	373171	350	1			350		miss	0
m0207	12	Sound	be	375871	350	1			350		hit	15
m0207	12	Response	1	377700	2179	1
m0207	13	Sound	mi	378671	350	1			350		miss	0
m0207	14	Sound	za	381371	350	1			350		miss	0
m0207	15	Sound	tu	384072	350	1			350		miss	0
m0207	16	Sound	di	386772	350	1			350		miss	0
m0207	17	Sound	po	389472	350	1			350		miss	0
m0207	18	Sound	tu	392172	350	1			350		miss	0
m0207	19	Sound	se	394873	350	1			350		miss	0
m0207	20	Sound	la	397572	350	1			350		hit	24
m0207	20	Response	1	399060	1838	1
m0207	21	Sound	za	400272	350	1			350		miss	0
m0207	22	Sound	ro	402973	350	1			350		miss	0
m0207	23	Sound	di	405672	350	1			350		miss	0
m0207	24	Sound	ga	408373	350	1			350		miss	0
m0207	25	Sound	nu	411073	350	1			350		miss	0
m0207	26	Sound	mi	413772	350	1			350		miss	0
m0207	27	Sound	be	416472	350	1			350		miss	0
m0207	28	Sound	ki	419273	350	1			350		miss	0
m0207	29	Sound	nu	421973	350	1			350		miss	0
m0207	30	Sound	ro	424673	350	1			350		miss	0
m0207	31	Sound	po	427373	350	1			350		miss	0
m0207	32	Sound	ga	430073	350	1			350		miss	0
m0207	33	Sound	mi	432773	350	1			350		miss	0
m0207	34	Sound	la	435473	350	1			350		miss	0
m0207	35	Sound	be	438173	350	1			350		miss	0
m0207	36	Sound	se	440973	350	1			350		miss	0
m0207	37	Sound	tu	443673	350	1			350		hit	42
m0207	37	Response	1	445459	2136	1
m0207	38	Sound	za	446374	350	1			350		miss	0
m0207	39	Sound	di	449074	350	1			350		miss	0
m0207	40	Sound	ki	451774	350	1			350		miss	0
m0207	41	Sound	se	454474	350	1			350		miss	0
m0207	42	Sound	la	457174	350	1			350		miss	0
m0207	43	Sound	po	459874	350	1			350		hit	49
m0207	43	Response	1	459938	414	1
m0207	44	Sound	be	462574	350	1			350		miss	0
m0207	45	Sound	ro	465374	350	1			350		miss	0
m0207	46	Sound	nu	468074	350	1			350		miss	0
m0207	47	Sound	za	470775	350	1			350		miss	0
m0207	48	Sound	tu	473475	350	1			350		miss	0
m0207	49	Sound	di	476174	350	1			350		miss	0
m0207	50	Sound	ga	478875	350	1			350		miss	0
m0207	51	Sound	ki	481575	350	1			350		miss	0
m0207	52	Sound	mi	484275	350	1			350		miss	0
m0207	53	Sound	be	486975	350	1			350		miss	0
m0207	54	Sound	la	489775	350	1			350		miss	0
m0207	55	Sound	mi	492475	350	1			350		miss	0
m0207	56	Sound	za	495175	350	1			350		miss	0
m0207	57	Sound	nu	497875	350	1			350		miss	0
m0207	58	Sound	ki	500575	350	1			350		miss	0
m0207	59	Sound	po	503275	350	1			350		miss	0
m0207	60	Sound	ro	505976	350	1			350		miss	0
m0207	61	Sound	ga	508676	350	1			350		miss	0
m0207	62	Sound	di	511375	350	1			350		miss	0
m0207	63	Sound	se	514076	350	1			350		miss	0
m0207	64	Sound	tu	516776	350	1			350		hit	71
m0207	64	Response	1	518337	1911	1
m0207	65	Sound	za	519476	350	1			350		miss	0
m0207	66	Sound	se	522176	350	1			350		miss	0
m0207	67	Sound	be	524876	350	1			350		miss	0
m0207	68	Sound	po	527676	350	1			350		miss	0
m0207	69	Sound	di	530376	350	1			350		hit	77
m0207	69	Response	1	530896	870	1
m0207	70	Sound	ga	533076	350	1			350		miss	0
m0207	71	Sound	la	535777	350	1			350		miss	0
m0207	72	Sound	ro	538477	350	1			350		miss	0
m0207	73	Sound	tu	541177	350	1			350		miss	0
m0207	74	Sound	mi	543877	350	1			350		miss	0
m0207	75	Sound	ki	546576	350	1			350		miss	0
m0207	76	Sound	nu	549277	350	1			350		miss	0
m0207	77	Sound	tu	551977	350	1			350		miss	0
m0207	78	Sound	ki	554677	350	1			350		miss	0
