Scenario - DJ_incidental
Logfile written - 03/13/2020 10:04:43

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

m2208	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	80916	2	0	next	other	0
m2208	1	Response	1	80846	80680	1
m2208	2	Sound	Trial #1 incidental_rand_seq_A_8.txt	91082	10000	1			10000		other	0
m2208	2	Response	1	100925	19843	1
m2208	2	Sound	Target: nu	116082	35000	1			35000		other	0
m2208	3	Picture	fixation	118543	0	1	582393	2	0	next	other	0
m2208	4	Sound	ro * 0.31	118897	350	1			350		other	0
m2208	5	Sound	tu * 0.22	121557	350	1			350		other	0
m2208	6	Sound	be * 0.16	124256	350	1			350		other	0
m2208	6	Response	1	124445	539	1
m2208	7	Sound	ga * 0.08	127056	350	1			350		other	0
m2208	8	Sound	mi * 0.03	129758	350	1			350		other	0
m2208	9	Sound	la	132456	350	1			350		other	0
m2208	10	Sound	di	135156	350	1			350		other	0
m2208	11	Sound	za	137856	350	1			350		other	0
m2208	12	Sound	se	140556	350	1			350		other	0
m2208	13	Sound	po	143256	350	1			350		other	0
m2208	14	Sound	nu	145956	350	1			350		miss	0
m2208	15	Sound	ki	148657	350	1			350		hit	20
m2208	15	Response	1	150684	2377	1
m2208	16	Sound	tu	151356	350	1			350		miss	0
m2208	17	Sound	se	154057	350	1			350		miss	0
m2208	18	Sound	ki	156757	350	1			350		miss	0
m2208	19	Sound	ga	159457	350	1			350		miss	0
m2208	20	Sound	nu	162157	350	1			350		miss	0
m2208	21	Sound	za	164857	350	1			350		miss	0
m2208	22	Response	1	167324	117	1
m2208	22	Sound	ro	167557	350	1			350		miss	0
m2208	23	Sound	po	170258	350	1			350		miss	0
m2208	24	Sound	di	172958	350	1			350		miss	0
m2208	25	Sound	mi	175658	350	1			350		miss	0
m2208	26	Sound	la	178358	350	1			350		miss	0
m2208	27	Sound	be	181061	350	1			350		miss	0
m2208	28	Sound	di	183858	350	1			350		miss	0
m2208	29	Sound	po	186559	350	1			350		miss	0
m2208	30	Sound	mi	189258	350	1			350		miss	0
m2208	31	Sound	se	191958	350	1			350		miss	0
m2208	32	Sound	ki	194659	350	1			350		miss	0
m2208	33	Sound	la	197359	350	1			350		miss	0
m2208	34	Sound	ro	200059	350	1			350		miss	0
m2208	35	Sound	be	202762	350	1			350		miss	0
m2208	36	Sound	nu	205559	350	1			350		miss	0
m2208	37	Sound	tu	208260	350	1			350		hit	44
m2208	37	Response	1	210603	2693	1
m2208	38	Sound	za	210959	350	1			350		miss	0
m2208	39	Sound	ga	213659	350	1			350		miss	0
m2208	40	Sound	po	216359	350	1			350		miss	0
m2208	41	Sound	ki	219060	350	1			350		miss	0
m2208	42	Sound	di	221759	350	1			350		miss	0
m2208	43	Sound	se	224460	350	1			350		miss	0
m2208	44	Sound	za	227160	350	1			350		miss	0
m2208	45	Sound	nu	229860	350	1			350		miss	0
m2208	46	Sound	ro	232560	350	1			350		miss	0
m2208	47	Sound	mi	235260	350	1			350		hit	55
m2208	47	Response	1	236763	1853	1
m2208	48	Sound	ga	237960	350	1			350		miss	0
m2208	49	Sound	be	240663	350	1			350		miss	0
m2208	50	Sound	tu	243461	350	1			350		miss	0
m2208	51	Sound	la	246162	350	1			350		miss	0
m2208	52	Sound	di	248861	350	1			350		miss	0
m2208	53	Sound	ki	251561	350	1			350		miss	0
m2208	54	Sound	mi	254261	350	1			350		miss	0
m2208	55	Sound	ga	256961	350	1			350		miss	0
m2208	56	Sound	la	259662	350	1			350		miss	0
m2208	57	Sound	ro	262361	350	1			350		miss	0
m2208	58	Sound	nu	265062	350	1			350		miss	0
m2208	59	Sound	tu	267762	350	1			350		miss	0
m2208	60	Sound	se	270462	350	1			350		hit	69
m2208	60	Response	1	270682	570	1
m2208	61	Sound	za	273162	350	1			350		miss	0
m2208	62	Sound	po	275862	350	1			350		miss	0
m2208	63	Sound	be	278564	350	1			350		miss	0
m2208	64	Sound	se	281362	350	1			350		miss	0
m2208	65	Sound	nu	284063	350	1			350		miss	0
m2208	66	Sound	ki	286762	350	1			350		miss	0
m2208	67	Sound	mi	289463	350	1			350		hit	77
m2208	67	Response	1	291562	2449	1
m2208	68	Sound	tu	292162	350	1			350		miss	0
m2208	69	Sound	ro	294863	350	1			350		miss	0
m2208	70	Sound	za	297563	350	1			350		miss	0
m2208	71	Sound	po	300263	350	1			350		miss	0
m2208	72	Sound	di	302963	350	1			350		miss	0
m2208	73	Sound	be	305665	350	1			350		miss	0
m2208	74	Sound	ga	308463	350	1			350		miss	0
m2208	75	Sound	la	311165	350	1			350		miss	0
m2208	76	Sound	ga	313864	350	1			350		miss	0
m2208	77	Sound	tu	316564	350	1			350		miss	0
m2208	78	Sound	nu	319264	350	1			350		miss	0
m2208	79	Sound	po	321964	350	1			350		hit	90
m2208	79	Response	1	324201	2587	1
m2208	80	Sound	ki	324664	350	1			350		miss	0
m2208	81	Sound	mi	327364	350	1			350		miss	0
m2208	82	Sound	za	330065	350	1			350		miss	0
m2208	83	Sound	se	332765	350	1			350		miss	0
m2208	84	Sound	ro	335465	350	1			350		miss	0
m2208	85	Sound	la	338165	350	1			350		miss	0
m2208	86	Sound	di	340865	350	1			350		miss	0
m2208	87	Sound	be	343566	350	1			350		miss	0
m2208	88	Sound	tu	346365	350	1			350		miss	0
m2208	89	Sound	la	349065	350	1			350		miss	0
m2208	90	Sound	mi	351766	350	1			350		miss	0
m2208	91	Sound	nu	354465	350	1			350		miss	0
m2208	92	Sound	be	357166	350	1			350		hit	104
m2208	92	Response	1	359321	2505	1
m2208	93	Sound	ki	359966	350	1			350		miss	0
m2208	94	Sound	ga	362666	350	1			350		miss	0
m2208	95	Sound	di	365366	350	1			350		miss	0
m2208	96	Sound	se	368066	350	1			350		miss	0
m2208	97	Sound	za	370766	350	1			350		miss	0
m2208	98	Sound	po	373466	350	1			350		miss	0
m2208	99	Sound	ro	376166	350	1			350		miss	0
m2208	100	Sound	ki	378866	350	1			350		miss	0
m2208	101	Sound	po	381567	350	1			350		miss	0
m2208	102	Sound	mi	384267	350	1			350		miss	0
m2208	103	Sound	nu	386967	350	1			350		miss	0
m2208	104	Sound	tu	389667	350	1			350		miss	0
m2208	105	Sound	se	392367	350	1			350		hit	118
m2208	105	Response	1	393320	1303	1
m2208	106	Sound	ro	395067	350	1			350		miss	0
m2208	107	Sound	za	397767	350	1			350		miss	0
m2208	108	Sound	ga	400468	350	1			350		miss	0
m2208	109	Sound	la	403168	350	1			350		miss	0
m2208	110	Sound	di	405868	350	1			350		miss	0
m2208	111	Sound	be	408568	350	1			350		miss	0
m2208	112	Sound	tu	411368	350	1			350		miss	0
m2208	113	Sound	mi	414068	350	1			350		miss	0
m2208	114	Sound	po	416768	350	1			350		miss	0
m2208	115	Sound	se	419468	350	1			350		hit	129
m2208	115	Response	1	420040	922	1
m2208	116	Sound	di	422169	350	1			350		miss	0
m2208	117	Sound	ro	424868	350	1			350		miss	0
m2208	118	Sound	be	427569	350	1			350		miss	0
m2208	119	Sound	nu	430369	350	1			350		miss	0
m2208	120	Sound	la	433069	350	1			350		miss	0
m2208	121	Sound	za	435769	350	1			350		hit	136
m2208	121	Response	1	437399	1980	1
m2208	122	Sound	ki	438469	350	1			350		miss	0
m2208	123	Sound	ga	441169	350	1			350		miss	0
m2208	124	Sound	ki	443869	350	1			350		miss	0
m2208	125	Sound	di	446569	350	1			350		miss	0
m2208	126	Sound	ga	449270	350	1			350		miss	0
m2208	127	Sound	la	451970	350	1			350		miss	0
m2208	128	Sound	be	454670	350	1			350		miss	0
m2208	129	Sound	ro	457470	350	1			350		miss	0
m2208	130	Sound	nu	460172	350	1			350		miss	0
m2208	131	Sound	po	462870	350	1			350		miss	0
m2208	132	Sound	se	465570	350	1			350		hit	148
m2208	132	Response	1	465959	739	1
m2208	133	Sound	mi	468270	350	1			350		miss	0
m2208	134	Sound	tu	470970	350	1			350		miss	0
m2208	135	Sound	za	473671	350	1			350		miss	0
m2208	136	Sound	po	476371	350	1			350		miss	0
m2208	137	Sound	mi	479071	350	1			350		miss	0
m2208	138	Sound	ga	481771	350	1			350		miss	0
m2208	139	Sound	se	484471	350	1			350		miss	0
