Scenario - DJ_incidental
Logfile written - 03/04/2020 18:17:24

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

s1302	1	Picture	instruct	166	0	1	98564	2	0	next	other	0
s1302	1	Response	1	98564	98398	1
s1302	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	108730	10000	1			10000		other	0
s1302	2	Sound	Target: se	133730	35000	1			35000		other	0
s1302	3	Picture	fixation	136191	0	1	582396	2	0	next	other	0
s1302	4	Sound	se * 0.31	136545	350	1			350		miss	0
s1302	5	Sound	ki * 0.22	139254	350	1			350		miss	0
s1302	6	Sound	ga * 0.16	141955	350	1			350		miss	0
s1302	7	Sound	nu * 0.08	144654	350	1			350		miss	0
s1302	8	Sound	ro * 0.03	147355	350	1			350		miss	0
s1302	9	Sound	la	150055	350	1			350		miss	0
s1302	10	Sound	po	152755	350	1			350		miss	0
s1302	11	Sound	se	155455	350	1			350		miss	0
s1302	12	Sound	be	158155	350	1			350		hit	15
s1302	12	Response	1	160163	2358	1
s1302	13	Sound	mi	160956	350	1			350		miss	0
s1302	14	Sound	za	163655	350	1			350		miss	0
s1302	15	Sound	tu	166356	350	1			350		miss	0
s1302	16	Sound	di	169055	350	1			350		miss	0
s1302	17	Sound	po	171756	350	1			350		miss	0
s1302	18	Sound	tu	174456	350	1			350		miss	0
s1302	19	Sound	se	177156	350	1			350		miss	0
s1302	20	Sound	la	179856	350	1			350		hit	24
s1302	20	Response	1	181443	1937	1
s1302	21	Sound	za	182556	350	1			350		miss	0
s1302	22	Sound	ro	185256	350	1			350		miss	0
s1302	23	Sound	di	187957	350	1			350		miss	0
s1302	24	Sound	ga	190656	350	1			350		miss	0
s1302	25	Sound	nu	193359	350	1			350		miss	0
s1302	26	Sound	mi	196057	350	1			350		miss	0
s1302	27	Sound	be	198759	350	1			350		miss	0
s1302	28	Sound	ki	201559	350	1			350		miss	0
s1302	29	Sound	nu	204257	350	1			350		miss	0
s1302	30	Sound	ro	206958	350	1			350		miss	0
s1302	31	Sound	po	209657	350	1			350		miss	0
s1302	32	Sound	ga	212358	350	1			350		miss	0
s1302	33	Sound	mi	215058	350	1			350		miss	0
s1302	34	Sound	la	217758	350	1			350		miss	0
s1302	35	Sound	be	220458	350	1			350		miss	0
s1302	36	Sound	se	223258	350	1			350		miss	0
s1302	37	Sound	tu	225958	350	1			350		hit	42
s1302	37	Response	1	227442	1834	1
s1302	38	Sound	za	228658	350	1			350		miss	0
s1302	39	Sound	di	231358	350	1			350		miss	0
s1302	40	Sound	ki	234059	350	1			350		miss	0
s1302	41	Sound	se	236759	350	1			350		miss	0
s1302	42	Sound	la	239459	350	1			350		hit	48
s1302	42	Response	1	241762	2653	1
s1302	43	Sound	po	242159	350	1			350		miss	0
s1302	44	Sound	be	244859	350	1			350		miss	0
s1302	45	Sound	ro	247659	350	1			350		miss	0
s1302	46	Sound	nu	250359	350	1			350		miss	0
s1302	47	Sound	za	253059	350	1			350		miss	0
s1302	48	Sound	tu	255759	350	1			350		miss	0
s1302	49	Sound	di	258460	350	1			350		miss	0
s1302	50	Sound	ga	261160	350	1			350		miss	0
s1302	51	Sound	ki	263860	350	1			350		miss	0
s1302	52	Sound	mi	266560	350	1			350		miss	0
s1302	53	Sound	be	269261	350	1			350		miss	0
s1302	54	Sound	la	272060	350	1			350		miss	0
s1302	55	Sound	mi	274760	350	1			350		miss	0
s1302	56	Sound	za	277460	350	1			350		miss	0
s1302	57	Sound	nu	280160	350	1			350		miss	0
s1302	58	Response	1	282721	210	1
s1302	58	Sound	ki	282861	350	1			350		miss	0
