Scenario - DJ_incidental
Logfile written - 03/04/2020 17:40:33

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

s1504	1	Picture	instruct	166	0	1	421085	2	0	next	other	0
s1504	1	Response	1	420874	420708	1
s1504	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	431251	10000	1			10000		other	0
s1504	2	Sound	Target: se	456251	35000	1			35000		other	0
s1504	3	Picture	fixation	458577	0	1	590052	2	0	next	other	0
s1504	4	Sound	se * 0.31	458933	350	1			350		miss	0
s1504	5	Sound	ki * 0.22	461799	350	1			350		miss	0
s1504	6	Sound	ga * 0.16	464681	350	1			350		miss	0
s1504	7	Sound	nu * 0.08	472770	350	2			350		miss	0
s1504	8	Sound	ro * 0.03	475743	350	1			350		miss	0
s1504	9	Sound	la	478668	350	1			350		miss	0
s1504	10	Sound	po	481618	350	1			350		miss	0
s1504	11	Sound	se	484311	350	2			350		miss	0
s1504	12	Sound	be	487073	350	1			350		hit	15
s1504	12	Response	1	489272	2549	1
s1504	13	Sound	mi	490031	350	1			350		miss	0
s1504	14	Sound	za	492904	350	1			350		miss	0
s1504	15	Sound	tu	495869	350	1			350		miss	0
s1504	16	Sound	di	499107	350	1			350		miss	0
s1504	17	Sound	po	501814	350	1			350		miss	0
s1504	18	Sound	tu	504512	350	1			350		miss	0
s1504	19	Sound	se	507214	350	1			350		miss	0
s1504	20	Sound	la	509912	350	1			350		hit	24
s1504	20	Response	1	510791	1229	1
s1504	21	Sound	za	512612	350	1			350		miss	0
s1504	22	Sound	ro	515312	350	1			350		miss	0
s1504	23	Sound	di	518013	350	1			350		miss	0
s1504	24	Sound	ga	520712	350	1			350		miss	0
s1504	25	Sound	nu	523414	350	1			350		miss	0
s1504	26	Sound	mi	526113	350	1			350		miss	0
s1504	27	Sound	be	528813	350	1			350		miss	0
s1504	28	Sound	ki	531614	350	1			350		miss	0
s1504	29	Response	1	534311	348	1
s1504	29	Sound	nu	534313	350	1			350		miss	0
s1504	30	Sound	ro	537014	350	1			350		miss	0
s1504	31	Sound	po	539713	350	1			350		miss	0
s1504	32	Sound	ga	542413	350	1			350		miss	0
s1504	33	Sound	mi	545114	350	1			350		miss	0
s1504	34	Sound	la	547814	350	1			350		miss	0
s1504	35	Sound	be	550513	350	1			350		miss	0
s1504	36	Sound	se	553323	350	1			350		miss	0
s1504	37	Sound	tu	556013	350	1			350		hit	43
s1504	37	Response	1	557270	1607	1
s1504	38	Sound	za	558715	350	1			350		miss	0
s1504	39	Sound	di	561414	350	1			350		miss	0
s1504	40	Sound	ki	564122	350	1			350		miss	0
s1504	41	Sound	se	566815	350	1			350		miss	0
s1504	42	Sound	la	569515	350	1			350		miss	0
s1504	43	Sound	po	572214	350	1			350		hit	50
s1504	43	Response	1	572790	926	1
s1504	44	Sound	be	574915	350	1			350		miss	0
s1504	45	Sound	ro	577719	350	1			350		miss	0
s1504	46	Sound	nu	580426	350	1			350		miss	0
s1504	47	Sound	za	583114	350	1			350		miss	0
s1504	48	Sound	tu	585815	350	1			350		miss	0
s1504	49	Sound	di	588515	350	1			350		miss	0
s1504	50	Sound	ga	591223	350	1			350		miss	0
