Scenario - DJ_incidental
Logfile written - 03/09/2020 11:02:05

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

s2502	1	Picture	Instructions. Volume set to 0.835* system volume.	166	0	1	141852	2	0	next	other	0
s2502	1	Response	1	141928	141762	1
s2502	2	Sound	Trial #1 incidental_struct_seq_A_1.txt	152018	10000	1			10000		other	0
s2502	2	Sound	Target: di	177018	35000	1			35000		other	0
s2502	3	Picture	fixation	179479	0	1	582392	2	0	next	other	0
s2502	4	Sound	se * 0.31	179834	350	1			350		other	0
s2502	4	Response	1	182087	2603	1
s2502	5	Sound	za * 0.22	182559	350	1			350		other	0
s2502	6	Sound	be * 0.16	185261	350	1			350		other	0
s2502	7	Sound	tu * 0.08	188059	350	1			350		other	0
s2502	8	Sound	mi * 0.03	190760	350	1			350		other	0
s2502	9	Sound	po	193459	350	1			350		other	0
s2502	10	Sound	la	196160	350	1			350		other	0
s2502	11	Sound	nu	198859	350	1			350		other	0
s2502	12	Sound	ga	201561	350	1			350		other	0
s2502	13	Sound	di	204259	350	1			350		miss	0
s2502	14	Sound	mi	206961	350	1			350		hit	18
s2502	14	Response	1	209287	2676	1
s2502	15	Sound	po	209660	350	1			350		miss	0
s2502	16	Sound	la	212360	350	1			350		miss	0
s2502	17	Sound	ro	215059	350	1			350		miss	0
s2502	18	Sound	ki	217761	350	1			350		miss	0
s2502	19	Sound	se	220460	350	1			350		miss	0
s2502	20	Sound	nu	223161	350	1			350		miss	0
s2502	21	Sound	ga	225860	350	1			350		miss	0
s2502	22	Sound	di	228562	350	1			350		miss	0
s2502	23	Sound	mi	231260	350	1			350		hit	28
s2502	23	Response	1	232246	1336	1
s2502	24	Sound	po	233963	350	1			350		miss	0
s2502	25	Sound	la	236661	350	1			350		miss	0
s2502	26	Sound	nu	239363	350	1			350		miss	0
s2502	27	Sound	ga	242060	350	1			350		miss	0
s2502	28	Sound	di	244763	350	1			350		miss	0
s2502	29	Sound	ro	247461	350	1			350		hit	35
s2502	29	Response	1	248726	1615	1
s2502	30	Sound	ki	250164	350	1			350		miss	0
s2502	31	Sound	se	252861	350	1			350		miss	0
s2502	32	Sound	za	255563	350	1			350		miss	0
s2502	33	Sound	be	258261	350	2			350		miss	0
s2502	34	Sound	tu	261062	350	1			350		miss	0
s2502	35	Sound	ro	263761	350	1			350		miss	0
s2502	36	Sound	ki	266462	350	1			350		miss	0
s2502	37	Sound	se	269162	350	1			350		hit	44
s2502	37	Response	1	270566	1754	1
s2502	38	Sound	nu	271862	350	1			350		miss	0
s2502	39	Sound	ga	274562	350	1			350		miss	0
s2502	40	Sound	di	277262	350	1			350		miss	0
s2502	41	Sound	za	279962	350	1			350		hit	49
s2502	41	Response	1	280325	713	1
s2502	42	Sound	be	282662	350	1			350		miss	0
s2502	43	Sound	tu	285463	350	1			350		miss	0
s2502	44	Sound	mi	288162	350	1			350		miss	0
s2502	45	Sound	po	290863	350	1			350		miss	0
s2502	46	Sound	la	293562	350	1			350		miss	0
s2502	47	Sound	ro	296263	350	1			350		miss	0
s2502	48	Sound	ki	298963	350	1			350		miss	0
s2502	49	Sound	se	301663	350	1			350		miss	0
s2502	50	Sound	za	304363	350	1			350		miss	0
s2502	51	Sound	be	307063	350	1			350		miss	0
s2502	52	Sound	tu	309864	350	1			350		miss	0
s2502	53	Sound	nu	312563	350	1			350		miss	0
s2502	54	Sound	ga	315264	350	1			350		miss	0
s2502	55	Sound	di	317963	350	1			350		miss	0
s2502	56	Sound	za	320664	350	1			350		hit	65
s2502	56	Response	1	321684	1370	1
s2502	57	Sound	be	323364	350	1			350		miss	0
s2502	58	Sound	tu	326164	350	1			350		miss	0
s2502	59	Sound	ro	328864	350	1			350		miss	0
s2502	60	Sound	ki	331564	350	1			350		miss	0
s2502	61	Sound	se	334265	350	1			350		miss	0
s2502	62	Sound	mi	336965	350	1			350		miss	0
s2502	63	Sound	po	339664	350	1			350		miss	0
s2502	64	Sound	la	342365	350	1			350		miss	0
s2502	65	Sound	nu	345065	350	1			350		miss	0
s2502	66	Sound	ga	347765	350	1			350		miss	0
s2502	67	Sound	di	350465	350	1			350		miss	0
s2502	68	Sound	za	353165	350	1			350		hit	78
s2502	68	Response	1	354804	1989	1
s2502	69	Sound	be	355865	350	1			350		miss	0
s2502	70	Sound	tu	358665	350	1			350		miss	0
s2502	71	Sound	nu	361365	350	1			350		miss	0
s2502	72	Sound	ga	364065	350	1			350		miss	0
s2502	73	Sound	di	366766	350	1			350		miss	0
s2502	74	Sound	ro	369466	350	1			350		miss	0
s2502	75	Sound	ki	372165	350	1			350		hit	86
s2502	75	Response	1	374483	2668	1
s2502	76	Sound	se	374866	350	1			350		miss	0
s2502	77	Sound	za	377566	350	1			350		miss	0
s2502	78	Sound	be	380266	350	1			350		hit	90
s2502	78	Response	1	382083	2167	1
s2502	79	Sound	tu	383066	350	1			350		miss	0
s2502	80	Sound	mi	385767	350	1			350		miss	0
s2502	81	Sound	po	388466	350	1			350		miss	0
s2502	82	Sound	la	391167	350	1			350		miss	0
s2502	83	Sound	nu	393866	350	1			350		miss	0
s2502	84	Sound	ga	396567	350	1			350		miss	0
s2502	85	Sound	di	399267	350	1			350		miss	0
s2502	86	Sound	ro	401967	350	1			350		hit	99
s2502	86	Response	1	402963	1346	1
s2502	87	Sound	ki	404667	350	1			350		miss	0
s2502	88	Sound	se	407367	350	1			350		miss	0
s2502	89	Sound	nu	410067	350	1			350		miss	0
s2502	90	Sound	ga	412767	350	1			350		miss	0
s2502	91	Sound	di	415467	350	1			350		miss	0
s2502	92	Sound	mi	418167	350	1			350		miss	0
s2502	93	Sound	po	420868	350	1			350		hit	107
s2502	93	Response	1	420882	364	1
s2502	94	Sound	la	423568	350	1			350		miss	0
s2502	95	Sound	za	426268	350	1			350		miss	0
s2502	96	Sound	be	428968	350	1			350		miss	0
s2502	97	Sound	tu	431768	350	1			350		miss	0
s2502	98	Sound	mi	434468	350	1			350		miss	0
s2502	99	Sound	po	437168	350	1			350		miss	0
s2502	100	Sound	la	439868	350	1			350		miss	0
s2502	101	Sound	ro	442568	350	1			350		miss	0
s2502	102	Sound	ki	445269	350	1			350		miss	0
s2502	103	Sound	se	447968	350	1			350		miss	0
s2502	104	Sound	za	450669	350	1			350		miss	0
s2502	105	Sound	be	453369	350	1			350		miss	0
s2502	106	Sound	tu	456169	350	1			350		miss	0
s2502	107	Sound	mi	458869	350	1			350		miss	0
s2502	108	Sound	po	461569	350	1			350		miss	0
s2502	109	Sound	la	464269	350	1			350		miss	0
s2502	110	Sound	nu	466969	350	1			350		miss	0
s2502	111	Sound	ga	469669	350	1			350		miss	0
s2502	112	Sound	di	472369	350	1			350		miss	0
s2502	113	Sound	mi	475070	350	1			350		miss	0
s2502	114	Sound	po	477769	350	1			350		miss	0
s2502	115	Sound	la	480470	350	1			350		miss	0
s2502	116	Sound	nu	483170	350	1			350		miss	0
s2502	117	Sound	ga	485870	350	1			350		miss	0
s2502	118	Sound	di	488570	350	1			350		miss	0
s2502	119	Sound	ro	491271	350	1			350		hit	134
s2502	119	Response	1	493441	2520	1
s2502	120	Sound	ki	493971	350	1			350		miss	0
s2502	121	Sound	se	496671	350	1			350		miss	0
s2502	122	Sound	nu	499371	350	1			350		miss	0
s2502	123	Sound	ga	502071	350	1			350		miss	0
s2502	124	Sound	di	504771	350	1			350		miss	0
s2502	125	Sound	za	507471	350	1			350		miss	0
s2502	126	Sound	be	510171	350	1			350		miss	0
s2502	127	Sound	tu	512971	350	1			350		miss	0
s2502	128	Sound	nu	515671	350	1			350		miss	0
s2502	129	Sound	ga	518371	350	1			350		miss	0
s2502	130	Sound	di	521071	350	1			350		miss	0
s2502	131	Sound	ro	523771	350	1			350		hit	147
s2502	131	Response	1	524561	1140	1
s2502	132	Sound	ki	526472	350	1			350		miss	0
s2502	133	Sound	se	529171	350	1			350		miss	0
s2502	134	Sound	za	531872	350	1			350		miss	0
s2502	135	Sound	be	534572	350	1			350		miss	0
s2502	136	Sound	tu	537372	350	1			350		miss	0
s2502	137	Sound	mi	540072	350	1			350		miss	0
s2502	138	Sound	po	542772	350	1			350		miss	0
s2502	139	Sound	la	545472	350	1			350		miss	0
s2502	140	Sound	nu	548172	350	1			350		miss	0
s2502	141	Sound	ga	550873	350	1			350		miss	0
s2502	142	Sound	di	553573	350	1			350		miss	0
s2502	143	Sound	za	556273	350	1			350		hit	160
s2502	143	Response	1	557440	1517	1
s2502	144	Sound	be	558973	350	1			350		miss	0
s2502	145	Sound	tu	561773	350	1			350		miss	0
s2502	146	Sound	nu	564473	350	1			350		miss	0
s2502	147	Sound	ga	567173	350	1			350		miss	0
s2502	148	Sound	di	569874	350	1			350		miss	0
s2502	149	Sound	za	572573	350	1			350		miss	0
s2502	150	Sound	be	575274	350	1			350		miss	0
s2502	151	Sound	tu	578073	350	1			350		miss	0
s2502	152	Sound	mi	580774	350	1			350		miss	0
s2502	153	Sound	po	583474	350	1			350		miss	0
s2502	154	Sound	la	586174	350	1			350		miss	0
s2502	155	Sound	ro	588874	350	1			350		miss	0
s2502	156	Sound	ki	591574	350	1			350		miss	0
s2502	157	Sound	se	594274	350	1			350		miss	0
s2502	158	Sound	za	596974	350	1			350		miss	0
s2502	159	Sound	be	599675	350	1			350		miss	0
s2502	160	Sound	tu	602475	350	1			350		miss	0
s2502	161	Sound	nu	605175	350	1			350		miss	0
s2502	162	Sound	ga	607875	350	1			350		miss	0
s2502	163	Sound	di	610575	350	1			350		miss	0
s2502	164	Sound	ro	613275	350	1			350		miss	0
s2502	165	Sound	ki	615975	350	1			350		hit	183
s2502	165	Response	1	616798	1173	1
s2502	166	Sound	se	618675	350	1			350		miss	0
s2502	167	Sound	mi	621375	350	1			350		miss	0
s2502	168	Sound	po	624075	350	1			350		miss	0
s2502	169	Sound	la	626775	350	1			350		miss	0
s2502	170	Sound	ro	629476	350	1			350		miss	0
s2502	171	Sound	ki	632176	350	1			350		miss	0
s2502	172	Sound	se	634876	350	1			350		miss	0
s2502	173	Sound	za	637576	350	1			350		miss	0
s2502	174	Sound	be	640277	350	1			350		miss	0
s2502	175	Sound	tu	643076	350	1			350		miss	0
s2502	176	Sound	ro	645776	350	1			350		miss	0
s2502	177	Sound	ki	648477	350	1			350		miss	0
s2502	178	Sound	se	651177	350	1			350		miss	0
s2502	179	Sound	mi	653876	350	1			350		miss	0
s2502	180	Sound	po	656577	350	1			350		miss	0
s2502	181	Sound	la	659277	350	1			350		miss	0
s2502	182	Sound	nu	661977	350	1			350		miss	0
s2502	183	Sound	ga	664677	350	1			350		miss	0
s2502	184	Sound	di	667377	350	1			350		miss	0
s2502	185	Sound	ro	670077	350	1			350		miss	0
s2502	186	Sound	ki	672777	350	1			350		hit	205
s2502	186	Response	1	672957	530	1
s2502	187	Sound	se	675477	350	1			350		miss	0
s2502	188	Sound	mi	678178	350	1			350		miss	0
s2502	189	Sound	po	680878	350	1			350		miss	0
s2502	190	Sound	la	683578	350	1			350		miss	0
s2502	191	Sound	nu	686278	350	1			350		miss	0
s2502	192	Sound	ga	688977	350	1			350		miss	0
s2502	193	Sound	di	691678	350	1			350		miss	0
s2502	194	Sound	za	694378	350	1			350		miss	0
s2502	195	Sound	be	697078	350	1			350		hit	215
s2502	195	Response	1	698796	2068	1
s2502	196	Sound	tu	699878	350	1			350		miss	0
s2502	197	Sound	mi	702578	350	1			350		miss	0
