Scenario - DJ_incidental
Logfile written - 03/12/2020 13:43:00

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

s2609	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	311844	2	0	next	other	0
s2609	1	Response	1	311860	311694	1
s2609	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	322010	10000	1			10000		other	0
s2609	2	Sound	Target: se	347010	35000	1			35000		other	0
s2609	3	Picture	fixation	349472	0	1	582398	2	0	next	other	0
s2609	4	Sound	se * 0.31	349825	350	1			350		miss	0
s2609	5	Sound	ki * 0.22	352574	350	1			350		miss	0
s2609	6	Sound	ga * 0.16	355274	350	1			350		miss	0
s2609	7	Sound	nu * 0.08	357974	350	1			350		miss	0
s2609	8	Sound	ro * 0.03	360674	350	1			350		miss	0
s2609	9	Sound	la	363375	350	1			350		miss	0
s2609	10	Sound	po	366074	350	1			350		miss	0
s2609	11	Sound	se	368774	350	1			350		miss	0
s2609	12	Sound	be	371476	350	1			350		hit	15
s2609	12	Response	1	372819	1693	1
s2609	13	Sound	mi	374275	350	1			350		miss	0
s2609	14	Sound	za	376975	350	1			350		miss	0
s2609	15	Sound	tu	379677	350	1			350		miss	0
s2609	16	Sound	di	382375	350	1			350		miss	0
s2609	17	Sound	po	385077	350	1			350		miss	0
s2609	18	Sound	tu	387775	350	1			350		miss	0
s2609	19	Sound	se	390478	350	1			350		miss	0
s2609	20	Sound	la	393176	350	1			350		hit	24
s2609	20	Response	1	393539	713	1
s2609	21	Sound	za	395878	350	1			350		miss	0
s2609	22	Sound	ro	398576	350	1			350		miss	0
s2609	23	Sound	di	401278	350	1			350		miss	0
s2609	24	Sound	ga	403976	350	1			350		miss	0
s2609	25	Sound	nu	406679	350	1			350		miss	0
s2609	26	Sound	mi	409376	350	1			350		miss	0
s2609	27	Sound	be	412079	350	1			350		miss	0
s2609	28	Sound	ki	414879	350	1			350		miss	0
s2609	29	Sound	nu	417577	350	1			350		miss	0
s2609	30	Sound	ro	420279	350	1			350		miss	0
s2609	31	Sound	po	422978	350	1			350		miss	0
s2609	32	Sound	ga	425679	350	1			350		miss	0
s2609	33	Sound	mi	428377	350	1			350		miss	0
s2609	34	Sound	la	431079	350	1			350		miss	0
s2609	35	Sound	be	433778	350	1			350		miss	0
s2609	36	Sound	se	436578	350	1			350		miss	0
s2609	37	Sound	tu	439277	350	1			350		hit	42
s2609	37	Response	1	440099	1172	1
s2609	38	Sound	za	441978	350	1			350		miss	0
s2609	39	Sound	di	444678	350	1			350		miss	0
s2609	40	Sound	ki	447378	350	1			350		miss	0
s2609	41	Sound	se	450078	350	1			350		miss	0
s2609	42	Sound	la	452779	350	1			350		miss	0
s2609	43	Sound	po	455481	350	1			350		hit	49
s2609	43	Response	1	456899	1768	1
s2609	44	Sound	be	458179	350	1			350		miss	0
s2609	45	Sound	ro	460979	350	1			350		miss	0
s2609	46	Sound	nu	463680	350	1			350		miss	0
s2609	47	Sound	za	466379	350	1			350		miss	0
s2609	48	Sound	tu	469079	350	1			350		miss	0
s2609	49	Sound	di	471780	350	1			350		miss	0
s2609	50	Sound	ga	474479	350	1			350		miss	0
s2609	51	Sound	ki	477180	350	1			350		miss	0
s2609	52	Sound	mi	479880	350	1			350		miss	0
s2609	53	Sound	be	482580	350	1			350		miss	0
s2609	54	Sound	la	485380	350	1			350		miss	0
s2609	55	Sound	mi	488080	350	1			350		miss	0
s2609	56	Sound	za	490780	350	1			350		miss	0
s2609	57	Sound	nu	493481	350	1			350		miss	0
s2609	58	Sound	ki	496181	350	1			350		hit	65
s2609	58	Response	1	496658	827	1
s2609	59	Sound	po	498881	350	1			350		miss	0
s2609	60	Sound	ro	501581	350	1			350		miss	0
s2609	61	Sound	ga	504281	350	1			350		miss	0
s2609	62	Sound	di	506981	350	1			350		miss	0
s2609	63	Sound	se	509681	350	1			350		miss	0
s2609	64	Sound	tu	512382	350	1			350		hit	72
s2609	64	Response	1	514658	2626	1
s2609	65	Sound	za	515082	350	1			350		miss	0
s2609	66	Sound	se	517782	350	1			350		miss	0
s2609	67	Sound	be	520482	350	1			350		miss	0
