Scenario - DJ_incidental
Logfile written - 03/13/2020 13:01:45

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

a2012	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	477339	2	0	next	other	0
a2012	1	Response	1	477363	477197	1
a2012	2	Sound	Trial #1 incidental_struct_seq_A_1.txt	487505	10000	1			10000		other	0
a2012	2	Sound	Target: di	512505	35000	1			35000		other	0
a2012	3	Picture	fixation	514966	0	1	587392	2	0	next	other	0
a2012	4	Sound	se * 0.31	515319	350	1			350		other	0
a2012	5	Sound	za * 0.22	517982	350	1			350		other	0
a2012	6	Sound	be * 0.16	520682	350	1			350		other	0
a2012	7	Sound	tu * 0.08	523482	350	1			350		other	0
a2012	8	Sound	mi * 0.03	526183	350	1			350		other	0
a2012	9	Sound	po	528882	350	1			350		other	0
a2012	10	Sound	la	531583	350	1			350		other	0
a2012	11	Sound	nu	534283	350	1			350		other	0
a2012	12	Sound	ga	536983	350	1			350		other	0
a2012	13	Sound	di	539684	350	1			350		miss	0
a2012	14	Sound	mi	542383	350	1			350		hit	17
a2012	14	Response	1	543683	1650	1
a2012	15	Sound	po	545083	350	1			350		miss	0
a2012	16	Sound	la	547784	350	1			350		miss	0
a2012	17	Sound	ro	550483	350	1			350		miss	0
a2012	18	Sound	ki	553183	350	1			350		miss	0
a2012	19	Sound	se	555883	350	1			350		miss	0
a2012	20	Sound	nu	558584	350	1			350		miss	0
a2012	21	Sound	ga	561283	350	1			350		miss	0
a2012	22	Sound	di	563985	350	1			350		miss	0
a2012	23	Sound	mi	566684	350	1			350		miss	0
a2012	24	Sound	po	569384	350	1			350		miss	0
a2012	25	Sound	la	572084	350	1			350		hit	29
a2012	25	Response	1	573522	1788	1
a2012	26	Sound	nu	574784	350	1			350		miss	0
a2012	27	Sound	ga	577484	350	1604			350		miss	0
a2012	28	Sound	di	581785	350	207			350		miss	0
a2012	29	Sound	ro	584685	350	1			350		hit	34
a2012	29	Response	1	586482	2147	1
a2012	30	Sound	ki	587385	350	2			350		miss	0
a2012	31	Sound	se	590085	350	1			350		miss	0
a2012	32	Sound	za	592785	350	1			350		miss	0
a2012	33	Sound	be	595485	350	634			350		miss	0
a2012	34	Sound	tu	598886	350	27			350		miss	0
a2012	35	Sound	ro	601586	350	1			350		miss	0
a2012	36	Sound	ki	604286	350	1			350		miss	0
a2012	37	Sound	se	606986	350	1			350		hit	43
a2012	37	Response	1	608641	2005	1
a2012	38	Sound	nu	609686	350	1			350		miss	0
a2012	39	Sound	ga	612386	350	1			350		miss	0
a2012	40	Sound	di	615086	350	1			350		miss	0
a2012	41	Sound	za	617786	350	1			350		miss	0
a2012	42	Response	1	620161	24	1
a2012	42	Sound	be	620487	350	1			350		miss	0
a2012	43	Sound	tu	623287	350	1			350		miss	0
a2012	44	Sound	mi	625987	350	1			350		miss	0
