Scenario - DJ_incidental
Logfile written - 03/10/2020 17:34:34

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

b2707	1	Picture	Instructions. Volume set to 0.845* system volume.	166	0	1	531775	2	0	next	other	0
b2707	1	Response	1	531666	531500	1
b2707	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	541941	10000	1			10000		other	0
b2707	2	Sound	Target: se	566941	35000	1			35000		other	0
b2707	3	Picture	fixation	569402	0	1	582388	2	0	next	other	0
b2707	4	Sound	se * 0.31	569755	350	1			350		miss	0
b2707	5	Sound	ki * 0.22	572476	350	1			350		miss	0
b2707	6	Sound	ga * 0.16	575176	350	1			350		miss	0
b2707	7	Response	1	577745	219	1
b2707	7	Sound	nu * 0.08	577876	350	1			350		miss	0
b2707	8	Sound	ro * 0.03	580577	350	1			350		miss	0
b2707	9	Sound	la	583276	350	1			350		miss	0
b2707	10	Sound	po	585976	350	1			350		miss	0
b2707	11	Sound	se	588676	350	1			350		miss	0
b2707	12	Sound	be	591376	350	1			350		hit	16
b2707	12	Response	1	592705	1679	1
b2707	13	Sound	mi	594177	350	1			350		miss	0
b2707	14	Sound	za	596877	350	1			350		miss	0
b2707	15	Sound	tu	599577	350	1			350		miss	0
b2707	16	Sound	di	602277	350	1			350		miss	0
b2707	17	Sound	po	604977	350	1			350		miss	0
b2707	18	Sound	tu	607677	350	1			350		miss	0
b2707	19	Sound	se	610377	350	1			350		miss	0
b2707	20	Sound	la	613077	350	1			350		hit	25
b2707	20	Response	1	613664	937	1
b2707	21	Sound	za	615777	350	1			350		miss	0
b2707	22	Sound	ro	618477	350	1			350		miss	0
b2707	23	Sound	di	621177	350	1			350		miss	0
b2707	24	Sound	ga	623877	350	1			350		miss	0
b2707	25	Sound	nu	626577	350	1			350		miss	0
b2707	26	Sound	mi	629278	350	1			350		miss	0
b2707	27	Sound	be	631978	350	1			350		miss	0
b2707	28	Sound	ki	634778	350	1			350		miss	0
b2707	29	Sound	nu	637478	350	1			350		miss	0
b2707	30	Sound	ro	640178	350	1			350		miss	0
b2707	31	Sound	po	642878	350	1			350		miss	0
b2707	32	Sound	ga	645578	350	1			350		miss	0
b2707	33	Sound	mi	648278	350	1			350		miss	0
b2707	34	Sound	la	650978	350	1			350		miss	0
b2707	35	Sound	be	653678	350	1			350		miss	0
b2707	36	Sound	se	656479	350	1			350		miss	0
b2707	37	Sound	tu	659178	350	1			350		hit	43
b2707	37	Response	1	660143	1315	1
b2707	38	Sound	za	661879	350	1			350		miss	0
b2707	39	Sound	di	664579	350	1			350		miss	0
b2707	40	Sound	ki	667279	350	1			350		miss	0
b2707	41	Sound	se	669979	350	1			350		miss	0
b2707	42	Sound	la	672679	350	1			350		hit	49
b2707	42	Response	1	675022	2693	1
b2707	43	Sound	po	675379	350	1			350		miss	0
b2707	44	Sound	be	678079	350	1			350		miss	0
b2707	45	Sound	ro	680879	350	1			350		miss	0
b2707	46	Sound	nu	683579	350	1			350		miss	0
b2707	47	Sound	za	686279	350	1			350		miss	0
b2707	48	Sound	tu	688979	350	1			350		miss	0
b2707	49	Sound	di	691679	350	1			350		miss	0
b2707	50	Sound	ga	694379	350	1			350		miss	0
b2707	51	Sound	ki	697079	350	1			350		miss	0
b2707	52	Sound	mi	699780	350	1			350		miss	0
b2707	53	Sound	be	702480	350	1			350		miss	0
b2707	54	Sound	la	705280	350	1			350		miss	0
b2707	55	Sound	mi	707980	350	1			350		miss	0
b2707	56	Sound	za	710680	350	1			350		miss	0
b2707	57	Sound	nu	713380	350	1			350		miss	0
b2707	58	Sound	ki	716080	350	1			350		miss	0
b2707	59	Sound	po	718781	350	1			350		miss	0
b2707	60	Sound	ro	721481	350	1			350		miss	0
b2707	61	Sound	ga	724180	350	1			350		miss	0
b2707	62	Sound	di	726881	350	1			350		miss	0
b2707	63	Sound	se	729581	350	1			350		miss	0
b2707	64	Sound	tu	732281	350	1			350		hit	72
b2707	64	Response	1	733741	1810	1
b2707	65	Sound	za	734981	350	1			350		miss	0
b2707	66	Sound	se	737681	350	1			350		miss	0
b2707	67	Sound	be	740381	350	1			350		miss	0
b2707	68	Sound	po	743182	350	1			350		hit	77
b2707	68	Response	1	743901	1069	1
b2707	69	Sound	di	745882	350	1			350		miss	0
b2707	70	Sound	ga	748582	350	1			350		miss	0
b2707	71	Sound	la	751282	350	1			350		miss	0
b2707	72	Sound	ro	753982	350	1			350		miss	0
b2707	73	Sound	tu	756682	350	1			350		miss	0
b2707	74	Sound	mi	759382	350	1			350		miss	0
b2707	75	Sound	ki	762082	350	1			350		miss	0
b2707	76	Sound	nu	764782	350	1			350		miss	0
b2707	77	Sound	tu	767482	350	1			350		miss	0
b2707	78	Sound	ki	770182	350	1			350		miss	0
b2707	79	Sound	po	772883	350	1			350		miss	0
b2707	80	Sound	se	775583	350	1			350		miss	0
b2707	81	Sound	za	778283	350	1			350		miss	0
b2707	82	Sound	ro	780983	350	1			350		hit	92
