Scenario - DJ_incidental
Logfile written - 03/06/2020 14:21:30

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

f0511	1	Picture	instruct	166	0	1	205952	2	0	next	other	0
f0511	1	Response	1	205987	205821	1
f0511	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	216118	10000	1			10000		other	0
f0511	2	Sound	Target: se	241118	35000	2			35000		other	0
f0511	3	Picture	fixation	243579	0	1	582394	2	0	next	other	0
f0511	4	Sound	se * 0.31	243934	350	1			350		hit	7
f0511	4	Response	1	245665	2081	1
f0511	5	Sound	ki * 0.22	246668	350	1			350		miss	0
f0511	6	Sound	ga * 0.16	249369	350	1			350		miss	0
f0511	7	Sound	nu * 0.08	252068	350	1			350		miss	0
f0511	8	Sound	ro * 0.03	254771	350	1			350		miss	0
f0511	9	Sound	la	257468	350	1			350		miss	0
f0511	10	Sound	po	260169	350	1			350		miss	0
f0511	11	Sound	se	262868	350	1			350		miss	0
f0511	12	Sound	be	265570	350	1			350		hit	16
f0511	12	Response	1	267265	2045	1
f0511	13	Sound	mi	268371	350	1			350		miss	0
f0511	14	Sound	za	271069	350	1			350		miss	0
f0511	15	Sound	tu	273771	350	1			350		miss	0
f0511	16	Sound	di	276468	350	1			350		miss	0
f0511	17	Sound	po	279171	350	1			350		miss	0
f0511	18	Sound	tu	281869	350	1			350		miss	0
f0511	19	Sound	se	284570	350	1			350		miss	0
f0511	20	Sound	la	287269	350	1			350		hit	25
f0511	20	Response	1	288305	1386	1
f0511	21	Sound	za	289972	350	1			350		miss	0
f0511	22	Sound	ro	292669	350	1			350		miss	0
f0511	23	Sound	di	295371	350	1			350		miss	0
f0511	24	Sound	ga	298069	350	1			350		miss	0
f0511	25	Sound	nu	300770	350	1			350		miss	0
f0511	26	Sound	mi	303470	350	1			350		miss	0
f0511	27	Sound	be	306172	350	1			350		miss	0
f0511	28	Sound	ki	308970	350	1			350		miss	0
f0511	29	Sound	nu	311670	350	1			350		miss	0
f0511	30	Sound	ro	314372	350	1			350		miss	0
f0511	31	Sound	po	317072	350	1			350		miss	0
f0511	32	Sound	ga	319771	350	1			350		miss	0
f0511	33	Sound	mi	322471	350	1			350		miss	0
f0511	34	Sound	la	325171	350	1			350		miss	0
f0511	35	Sound	be	327871	350	1			350		miss	0
f0511	36	Sound	se	330671	350	1			350		miss	0
f0511	37	Sound	tu	333371	350	1			350		hit	43
f0511	37	Response	1	334624	1603	1
f0511	38	Sound	za	336071	350	1			350		miss	0
f0511	39	Sound	di	338771	350	1			350		miss	0
f0511	40	Sound	ki	341472	350	1			350		miss	0
f0511	41	Sound	se	344172	350	1			350		miss	0
f0511	42	Sound	la	346872	350	1			350		hit	49
f0511	42	Response	1	348944	2422	1
f0511	43	Sound	po	349572	350	1			350		miss	0
f0511	44	Sound	be	352272	350	1			350		miss	0
f0511	45	Sound	ro	355072	350	1			350		miss	0
f0511	46	Sound	nu	357772	350	1			350		miss	0
f0511	47	Sound	za	360472	350	1			350		miss	0
f0511	48	Sound	tu	363172	350	1			350		miss	0
f0511	49	Sound	di	365872	350	1			350		miss	0
f0511	50	Sound	ga	368573	350	1			350		miss	0
f0511	51	Sound	ki	371273	350	1			350		miss	0
f0511	52	Sound	mi	373973	350	1			350		miss	0
f0511	53	Sound	be	376673	350	1			350		miss	0
f0511	54	Sound	la	379473	350	1			350		miss	0
f0511	55	Sound	mi	382173	350	1			350		miss	0
f0511	56	Sound	za	384873	350	1			350		miss	0
f0511	57	Sound	nu	387573	350	1			350		miss	0
f0511	58	Sound	ki	390273	350	1			350		miss	0
f0511	59	Sound	po	392973	350	1			350		miss	0
f0511	60	Sound	ro	395674	350	1			350		miss	0
f0511	61	Sound	ga	398373	350	1			350		miss	0
f0511	62	Sound	di	401074	350	1			350		miss	0
f0511	63	Sound	se	403774	350	1			350		miss	0
f0511	64	Sound	tu	406474	350	1			350		hit	72
f0511	64	Response	1	407743	1619	1
f0511	65	Sound	za	409174	350	1			350		miss	0
f0511	66	Sound	se	411875	350	1			350		miss	0
f0511	67	Sound	be	414575	350	1			350		hit	76
f0511	67	Response	1	416703	2478	1
f0511	68	Sound	po	417375	350	1			350		miss	0
f0511	69	Sound	di	420075	350	1			350		miss	0
f0511	70	Sound	ga	422775	350	1			350		miss	0
f0511	71	Sound	la	425475	350	1			350		miss	0
f0511	72	Sound	ro	428175	350	1			350		miss	0
f0511	73	Sound	tu	430875	350	1			350		miss	0
f0511	74	Sound	mi	433575	350	1			350		miss	0
f0511	75	Sound	ki	436275	350	1			350		miss	0
f0511	76	Sound	nu	438976	350	1			350		miss	0
f0511	77	Sound	tu	441675	350	1			350		miss	0
f0511	78	Sound	ki	444376	350	1			350		miss	0
f0511	79	Sound	po	447076	350	1			350		miss	0
f0511	80	Sound	se	449776	350	1			350		miss	0
f0511	81	Sound	za	452476	350	1			350		hit	91
f0511	81	Response	1	454542	2416	1
f0511	82	Sound	ro	455177	350	1			350		miss	0
f0511	83	Sound	nu	457876	350	1			350		miss	0
f0511	84	Sound	di	460576	350	1			350		miss	0
f0511	85	Sound	mi	463276	350	1			350		miss	0
f0511	86	Sound	la	465977	350	1			350		miss	0
f0511	87	Sound	be	468677	350	1			350		miss	0
