Scenario - DJ_incidental
Logfile written - 03/12/2020 11:23:53

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h0502	1	Picture	instruct	166	0	1	39958	2	0	next	other	0
h0502	1	Response	1	39945	39779	1
h0502	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	50124	10000	1			10000		other	0
h0502	2	Sound	Target: se	75124	35000	1			35000		other	0
h0502	3	Picture	fixation	77584	0	2	582389	3	0	next	other	0
h0502	4	Sound	se * 0.31	77938	350	1			350		miss	0
h0502	5	Sound	ki * 0.22	80660	350	1			350		miss	0
h0502	6	Sound	ga * 0.16	83363	350	1			350		miss	0
h0502	7	Sound	nu * 0.08	86060	350	1			350		miss	0
h0502	8	Sound	ro * 0.03	88763	350	1			350		miss	0
h0502	9	Sound	la	91461	350	1			350		miss	0
h0502	10	Sound	po	94163	350	1			350		miss	0
h0502	11	Sound	se	96860	350	1			350		miss	0
h0502	12	Sound	be	99563	350	1			350		miss	0
h0502	13	Response	1	102024	11	1
h0502	13	Sound	mi	102363	350	1			350		miss	0
h0502	14	Sound	za	105060	350	1			350		miss	0
h0502	15	Sound	tu	107763	350	1			350		miss	0
h0502	16	Sound	di	110461	350	1			350		miss	0
h0502	17	Sound	po	113164	350	1			350		miss	0
h0502	18	Sound	tu	115861	350	1			350		miss	0
h0502	19	Sound	se	118563	350	1			350		miss	0
h0502	20	Sound	la	121261	350	1			350		miss	0
h0502	21	Response	1	123703	89	1
h0502	21	Sound	za	123964	350	1			350		miss	0
h0502	22	Sound	ro	126661	350	1			350		miss	0
h0502	23	Sound	di	129364	350	1			350		miss	0
h0502	24	Sound	ga	132062	350	1			350		miss	0
h0502	25	Sound	nu	134764	350	1			350		miss	0
h0502	26	Sound	mi	137462	350	1			350		miss	0
h0502	27	Sound	be	140164	350	1			350		miss	0
h0502	28	Sound	ki	142964	350	1			350		miss	0
h0502	29	Sound	nu	145662	350	1			350		miss	0
h0502	30	Sound	ro	148365	350	1			350		miss	0
h0502	31	Sound	po	151062	350	1			350		miss	0
h0502	32	Sound	ga	153763	350	1			350		miss	0
h0502	33	Sound	mi	156463	350	1			350		miss	0
h0502	34	Sound	la	159163	350	1			350		miss	0
h0502	35	Sound	be	161863	350	1			350		miss	0
h0502	36	Sound	se	164663	350	1			350		miss	0
h0502	37	Sound	tu	167363	350	1			350		hit	42
h0502	37	Response	1	168742	1729	1
h0502	38	Sound	za	170063	350	1			350		miss	0
h0502	39	Sound	di	172763	350	1			350		miss	0
h0502	40	Sound	ki	175463	350	1			350		miss	0
h0502	41	Sound	se	178163	350	1			350		miss	0
h0502	42	Sound	la	180863	350	1			350		miss	0
h0502	43	Sound	po	183563	350	1			350		hit	49
h0502	43	Response	1	184181	968	1
h0502	44	Sound	be	186264	350	1			350		miss	0
h0502	45	Sound	ro	189064	350	1			350		miss	0
h0502	46	Sound	nu	191764	350	1			350		miss	0
h0502	47	Sound	za	194464	350	1			350		miss	0
h0502	48	Sound	tu	197164	350	1			350		miss	0
h0502	49	Sound	di	199864	350	1			350		miss	0
