Scenario - DJ_incidental
Logfile written - 03/11/2020 17:11:56

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h1209	1	Picture	Instructions. Volume set to 0.865* system volume.	166	0	1	245245	2	0	next	other	0
h1209	1	Response	1	245245	245079	1
h1209	2	Sound	Trial #1 incidental_struct_seq_A_1.txt	255411	10000	1			10000		other	0
h1209	2	Sound	Target: di	280411	35000	1			35000		other	0
h1209	3	Picture	fixation	282872	0	1	582396	2	0	next	other	0
h1209	4	Sound	se * 0.31	283226	350	1			350		other	0
h1209	5	Sound	za * 0.22	285949	350	1			350		other	0
h1209	6	Sound	be * 0.16	288649	350	1			350		other	0
h1209	7	Sound	tu * 0.08	291449	350	1			350		other	0
h1209	8	Sound	mi * 0.03	294149	350	1			350		other	0
h1209	9	Sound	po	296849	350	1			350		other	0
h1209	10	Sound	la	299550	350	1			350		other	0
h1209	11	Sound	nu	302250	350	1			350		other	0
h1209	12	Sound	ga	304949	350	1			350		other	0
h1209	13	Sound	di	307650	350	1			350		miss	0
h1209	14	Sound	mi	310350	350	1			350		hit	17
h1209	14	Response	1	312124	2124	1
h1209	15	Sound	po	313050	350	1			350		miss	0
h1209	16	Sound	la	315750	350	1			350		miss	0
h1209	17	Sound	ro	318450	350	1			350		miss	0
h1209	18	Sound	ki	321151	350	1			350		miss	0
h1209	19	Sound	se	323851	350	1			350		miss	0
h1209	20	Sound	nu	326551	350	1			350		miss	0
h1209	21	Sound	ga	329251	350	1			350		miss	0
h1209	22	Sound	di	331951	350	1			350		miss	0
h1209	23	Sound	mi	334651	350	1			350		hit	27
h1209	23	Response	1	335804	1503	1
h1209	24	Sound	po	337351	350	1			350		miss	0
h1209	25	Sound	la	340052	350	1			350		miss	0
h1209	26	Sound	nu	342751	350	1			350		miss	0
h1209	27	Sound	ga	345452	350	1			350		miss	0
h1209	28	Sound	di	348151	350	1			350		miss	0
h1209	29	Sound	ro	350854	350	1			350		hit	34
h1209	29	Response	1	352684	2180	1
h1209	30	Sound	ki	353552	350	1			350		miss	0
h1209	31	Sound	se	356253	350	1			350		miss	0
h1209	32	Sound	za	358952	350	1			350		miss	0
h1209	33	Sound	be	361653	350	1			350		miss	0
h1209	34	Sound	tu	364453	350	1			350		miss	0
h1209	35	Sound	ro	367153	350	1			350		miss	0
h1209	36	Sound	ki	369854	350	1			350		miss	0
h1209	37	Sound	se	372553	350	1			350		hit	43
h1209	37	Response	1	373563	1360	1
h1209	38	Sound	nu	375253	350	1			350		miss	0
h1209	39	Sound	ga	377953	350	1			350		miss	0
h1209	40	Sound	di	380653	350	1			350		miss	0
h1209	41	Sound	za	383353	350	1			350		hit	48
h1209	41	Response	1	385483	2480	1
h1209	42	Sound	be	386054	350	1			350		miss	0
h1209	43	Sound	tu	388854	350	1			350		miss	0
h1209	44	Sound	mi	391554	350	1			350		miss	0
h1209	45	Sound	po	394254	350	1			350		miss	0
h1209	46	Sound	la	396954	350	1			350		miss	0
h1209	47	Sound	ro	399654	350	1			350		miss	0
h1209	48	Sound	ki	402354	350	1			350		miss	0
h1209	49	Sound	se	405054	350	1			350		miss	0
h1209	50	Sound	za	407754	350	1			350		miss	0
h1209	51	Sound	be	410455	350	1			350		miss	0
h1209	52	Sound	tu	413255	350	1			350		miss	0
h1209	53	Sound	nu	415955	350	1			350		miss	0
h1209	54	Sound	ga	418655	350	1			350		miss	0
h1209	55	Sound	di	421355	350	1			350		miss	0
h1209	56	Sound	za	424055	350	1			350		hit	64
h1209	56	Response	1	425643	1938	1
h1209	57	Sound	be	426755	350	1			350		miss	0
h1209	58	Sound	tu	429556	350	1			350		miss	0
h1209	59	Sound	ro	432255	350	1			350		miss	0
h1209	60	Sound	ki	434956	350	1			350		miss	0
h1209	61	Sound	se	437656	350	1			350		miss	0
h1209	62	Sound	mi	440357	350	1			350		miss	0
h1209	63	Sound	po	443056	350	1			350		miss	0
h1209	64	Sound	la	445756	350	1			350		miss	0
h1209	65	Sound	nu	448456	350	1			350		miss	0
h1209	66	Sound	ga	451156	350	1			350		miss	0
h1209	67	Sound	di	453856	350	1			350		miss	0
h1209	68	Sound	za	456557	350	1			350		hit	77
h1209	68	Response	1	457562	1355	1
h1209	69	Sound	be	459257	350	1			350		miss	0
h1209	70	Sound	tu	462057	350	1			350		miss	0
h1209	71	Sound	nu	464757	350	1			350		miss	0
h1209	72	Sound	ga	467457	350	1			350		miss	0
h1209	73	Sound	di	470157	350	1			350		miss	0
h1209	74	Sound	ro	472858	350	1			350		miss	0
h1209	75	Response	1	475322	115	1
h1209	75	Sound	ki	475557	350	1			350		miss	0
h1209	76	Sound	se	478258	350	1			350		miss	0
h1209	77	Sound	za	480958	350	1			350		miss	0
h1209	78	Sound	be	483658	350	1			350		miss	0
h1209	79	Sound	tu	486458	350	1			350		miss	0
h1209	80	Sound	mi	489158	350	1			350		miss	0
h1209	81	Sound	po	491858	350	1			350		miss	0
h1209	82	Sound	la	494558	350	1			350		miss	0
h1209	83	Sound	nu	497259	350	1			350		miss	0
h1209	84	Sound	ga	499959	350	1			350		miss	0
h1209	85	Sound	di	502659	350	1			350		miss	0
h1209	86	Sound	ro	505360	350	1			350		hit	97
h1209	86	Response	1	506281	1271	1
h1209	87	Sound	ki	508059	350	1			350		miss	0
h1209	88	Sound	se	510759	350	1			350		miss	0
h1209	89	Sound	nu	513459	350	1			350		miss	0
h1209	90	Sound	ga	516159	350	1			350		miss	0
h1209	91	Sound	di	518860	350	1			350		miss	0
h1209	92	Sound	mi	521560	350	1			350		hit	104
h1209	92	Response	1	522761	1551	1
h1209	93	Sound	po	524260	350	1			350		miss	0
h1209	94	Sound	la	526960	350	1			350		miss	0
h1209	95	Sound	za	529660	350	1			350		miss	0
h1209	96	Sound	be	532360	350	1			350		miss	0
h1209	97	Sound	tu	535160	350	1			350		miss	0
h1209	98	Sound	mi	537860	350	1			350		miss	0
h1209	99	Sound	po	540561	350	1			350		miss	0
h1209	100	Sound	la	543261	350	1			350		miss	0
h1209	101	Sound	ro	545961	350	1			350		miss	0
h1209	102	Sound	ki	548661	350	1			350		miss	0
h1209	103	Sound	se	551361	350	1			350		miss	0
h1209	104	Sound	za	554061	350	1			350		miss	0
h1209	105	Sound	be	556762	350	1			350		miss	0
h1209	106	Sound	tu	559561	350	1			350		miss	0
h1209	107	Sound	mi	562262	350	1			350		miss	0
h1209	108	Sound	po	564962	350	1			350		miss	0
h1209	109	Sound	la	567662	350	1			350		miss	0
h1209	110	Sound	nu	570362	350	1			350		miss	0
h1209	111	Sound	ga	573062	350	1			350		miss	0
h1209	112	Sound	di	575762	350	1			350		miss	0
h1209	113	Sound	mi	578462	350	1			350		hit	126
h1209	113	Response	1	579881	1769	1
h1209	114	Sound	po	581163	350	1			350		miss	0
h1209	115	Sound	la	583862	350	1			350		miss	0
h1209	116	Sound	nu	586562	350	1			350		miss	0
h1209	117	Sound	ga	589263	350	1			350		miss	0
h1209	118	Sound	di	591963	350	1			350		miss	0
h1209	119	Sound	ro	594663	350	1			350		hit	133
h1209	119	Response	1	595160	847	1
h1209	120	Sound	ki	597363	350	1			350		miss	0
h1209	121	Sound	se	600063	350	1			350		miss	0
h1209	122	Sound	nu	602763	350	1			350		miss	0
h1209	123	Sound	ga	605463	350	1			350		miss	0
h1209	124	Sound	di	608164	350	1			350		miss	0
h1209	125	Sound	za	610864	350	1			350		hit	140
h1209	125	Response	1	612360	1846	1
h1209	126	Sound	be	613564	350	1			350		miss	0
h1209	127	Sound	tu	616364	350	1			350		miss	0
h1209	128	Sound	nu	619064	350	1			350		miss	0
h1209	129	Sound	ga	621764	350	1			350		miss	0
h1209	130	Sound	di	624464	350	1			350		miss	0
h1209	131	Sound	ro	627165	350	1			350		hit	147
h1209	131	Response	1	627800	985	1
h1209	132	Sound	ki	629864	350	1			350		miss	0
h1209	133	Sound	se	632565	350	1			350		miss	0
h1209	134	Sound	za	635266	350	1			350		miss	0
h1209	135	Sound	be	637965	350	1			350		miss	0
h1209	136	Sound	tu	640765	350	1			350		miss	0
h1209	137	Sound	mi	643465	350	1			350		miss	0
h1209	138	Sound	po	646165	350	1			350		miss	0
h1209	139	Sound	la	648865	350	1			350		miss	0
h1209	140	Sound	nu	651566	350	1			350		miss	0
h1209	141	Sound	ga	654266	350	1			350		miss	0
h1209	142	Sound	di	656967	350	1			350		miss	0
h1209	143	Sound	za	659666	350	1			350		hit	160
h1209	143	Response	1	660439	1123	1
h1209	144	Sound	be	662366	350	1			350		miss	0
h1209	145	Sound	tu	665166	350	1			350		miss	0
h1209	146	Sound	nu	667866	350	1			350		miss	0
h1209	147	Sound	ga	670566	350	1			350		miss	0
h1209	148	Sound	di	673267	350	1			350		miss	0
h1209	149	Sound	za	675966	350	1			350		hit	167
h1209	149	Response	1	677639	2023	1
h1209	150	Sound	be	678667	350	1			350		miss	0
h1209	151	Sound	tu	681467	350	1			350		miss	0
h1209	152	Sound	mi	684167	350	1			350		miss	0
h1209	153	Sound	po	686867	350	1			350		miss	0
h1209	154	Sound	la	689567	350	1			350		miss	0
h1209	155	Sound	ro	692267	350	1			350		miss	0
h1209	156	Sound	ki	694967	350	1			350		miss	0
h1209	157	Sound	se	697668	350	1			350		miss	0
h1209	158	Sound	za	700368	350	1			350		hit	177
h1209	158	Response	1	700758	740	1
h1209	159	Sound	be	703068	350	1			350		miss	0
h1209	160	Sound	tu	705868	350	1			350		miss	0
h1209	161	Sound	nu	708568	350	1			350		miss	0
h1209	162	Sound	ga	711268	350	1			350		miss	0
h1209	163	Sound	di	713968	350	1			350		miss	0
h1209	164	Sound	ro	716669	350	1			350		miss	0
h1209	165	Sound	ki	719368	350	1			350		miss	0
h1209	166	Sound	se	722069	350	1			350		miss	0
h1209	167	Sound	mi	724769	350	1			350		miss	0
h1209	168	Sound	po	727469	350	1			350		miss	0
h1209	169	Sound	la	730169	350	1			350		miss	0
h1209	170	Sound	ro	732869	350	1			350		miss	0
h1209	171	Sound	ki	735569	350	1			350		miss	0
h1209	172	Sound	se	738270	350	1			350		miss	0
h1209	173	Sound	za	740969	350	1			350		miss	0
