Scenario - DJ_incidental
Logfile written - 03/11/2020 17:38:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h1209	1	Picture	Instructions. Volume set to 0.865* system volume.	166	0	1	257899	2	0	next	other	0
h1209	1	Response	1	257837	257671	1
h1209	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	268065	10000	1			10000		other	0
h1209	2	Sound	Target: se	293065	35000	1			35000		other	0
h1209	3	Picture	fixation	295526	0	1	582562	2	0	next	other	0
h1209	4	Sound	se * 0.31	295879	350	1			350		miss	0
h1209	5	Sound	ki * 0.22	298633	350	1			350		hit	8
h1209	5	Response	1	298796	513	1
h1209	6	Sound	ga * 0.16	301332	350	1			350		miss	0
h1209	7	Sound	nu * 0.08	304032	350	1			350		miss	0
h1209	8	Sound	ro * 0.03	306732	350	1			350		miss	0
h1209	9	Sound	la	309432	350	1			350		miss	0
h1209	10	Sound	po	312133	350	1			350		miss	0
h1209	11	Sound	se	314833	350	1			350		miss	0
h1209	12	Sound	be	317533	350	1			350		hit	16
h1209	12	Response	1	319436	2253	1
h1209	13	Sound	mi	320333	350	1			350		miss	0
h1209	14	Sound	za	323033	350	1			350		miss	0
h1209	15	Sound	tu	325733	350	1			350		miss	0
h1209	16	Sound	di	328434	350	1			350		miss	0
h1209	17	Sound	po	331134	350	1			350		miss	0
h1209	18	Sound	tu	333833	350	1			350		miss	0
h1209	19	Sound	se	336536	350	1			350		miss	0
h1209	20	Sound	la	339234	350	1			350		hit	25
h1209	20	Response	1	341196	2312	1
h1209	21	Sound	za	341936	350	1			350		miss	0
h1209	22	Sound	ro	344634	350	1			350		miss	0
h1209	23	Sound	di	347335	350	1			350		miss	0
h1209	24	Sound	ga	350034	350	1			350		miss	0
h1209	25	Sound	nu	352737	350	1			350		miss	0
h1209	26	Sound	mi	355434	350	1			350		miss	0
h1209	27	Sound	be	358138	350	1			350		miss	0
h1209	28	Sound	ki	360937	350	1			350		miss	0
h1209	29	Sound	nu	363635	350	1			350		miss	0
h1209	30	Sound	ro	366337	350	1			350		miss	0
h1209	31	Sound	po	369035	350	1			350		miss	0
h1209	32	Sound	ga	371737	350	1			350		miss	0
h1209	33	Sound	mi	374435	350	1			350		miss	0
h1209	34	Sound	la	377135	350	1			350		miss	0
h1209	35	Sound	be	379838	350	1			350		miss	0
h1209	36	Sound	se	382636	350	1			350		miss	0
h1209	37	Sound	tu	385336	350	1			350		hit	43
h1209	37	Response	1	386715	1729	1
h1209	38	Sound	za	388036	350	1			350		miss	0
h1209	39	Sound	di	390736	350	1			350		miss	0
h1209	40	Sound	ki	393436	350	1			350		miss	0
h1209	41	Sound	se	396136	350	1			350		miss	0
h1209	42	Sound	la	398836	350	1			350		hit	49
h1209	42	Response	1	400635	2149	1
h1209	43	Sound	po	401537	350	1			350		miss	0
h1209	44	Sound	be	404237	350	1			350		miss	0
h1209	45	Sound	ro	407037	350	1			350		miss	0
h1209	46	Sound	nu	409737	350	1			350		miss	0
h1209	47	Sound	za	412437	350	1			350		miss	0
h1209	48	Sound	tu	415137	350	1			350		miss	0
h1209	49	Sound	di	417837	350	1			350		miss	0
h1209	50	Sound	ga	420538	350	1			350		miss	0
h1209	51	Sound	ki	423237	350	1			350		miss	0
h1209	52	Sound	mi	425938	350	1			350		miss	0
h1209	53	Sound	be	428638	350	1			350		miss	0
h1209	54	Sound	la	431438	350	1			350		miss	0
h1209	55	Sound	mi	434138	350	1			350		miss	0
h1209	56	Sound	za	436838	350	1			350		miss	0
h1209	57	Sound	nu	439538	350	1			350		miss	0
h1209	58	Sound	ki	442238	350	1			350		miss	0
h1209	59	Sound	po	444938	350	1			350		miss	0
h1209	60	Sound	ro	447639	350	1			350		miss	0
h1209	61	Sound	ga	450339	350	1			350		miss	0
h1209	62	Sound	di	453039	350	1			350		miss	0
h1209	63	Sound	se	455739	350	1			350		miss	0
h1209	64	Sound	tu	458439	350	1			350		hit	72
h1209	64	Response	1	460714	2625	1
h1209	65	Sound	za	461139	350	1			350		miss	0
h1209	66	Sound	se	463839	350	1			350		miss	0
h1209	67	Sound	be	466539	350	1			350		miss	0
h1209	68	Sound	po	469340	350	1			350		miss	0
h1209	69	Sound	di	472040	350	1			350		hit	78
h1209	69	Response	1	473274	1584	1
h1209	70	Sound	ga	474740	350	1			350		miss	0
h1209	71	Sound	la	477440	350	1			350		miss	0
h1209	72	Sound	ro	480141	350	1			350		miss	0
h1209	73	Sound	tu	482840	350	1			350		miss	0
h1209	74	Sound	mi	485540	350	1			350		miss	0
h1209	75	Sound	ki	488240	350	1			350		miss	0
h1209	76	Sound	nu	490941	350	1			350		miss	0
h1209	77	Sound	tu	493641	350	1			350		miss	0
h1209	78	Sound	ki	496342	350	1			350		miss	0
h1209	79	Sound	po	499042	350	2			350		miss	0
h1209	80	Sound	se	501742	350	1			350		miss	0
h1209	81	Sound	za	504443	350	1			350		hit	91
h1209	81	Response	1	505593	1500	1
h1209	82	Sound	ro	507142	350	1			350		miss	0
h1209	83	Sound	nu	509844	350	1			350		miss	0
h1209	84	Sound	di	512542	350	1			350		miss	0
h1209	85	Sound	mi	515242	350	1			350		miss	0
h1209	86	Sound	la	517942	350	1			350		miss	0
h1209	87	Sound	be	520642	350	1			350		miss	0
h1209	88	Sound	ga	523442	350	1			350		miss	0
