Scenario - DJ_incidental
Logfile written - 03/12/2020 13:43:49

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

m1105	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	431218	2	0	next	other	0
m1105	1	Response	1	431195	431029	1
m1105	2	Sound	Trial #1 incidental_rand_seq_A_6.txt	441384	10000	2			10000		other	0
m1105	2	Sound	Target: za	466384	35000	1			35000		other	0
m1105	3	Picture	fixation	468845	0	1	582393	2	0	next	other	0
m1105	4	Sound	po * 0.31	469198	350	1			350		other	0
m1105	5	Sound	ki * 0.22	471943	350	1			350		other	0
m1105	6	Sound	di * 0.16	474641	350	1			350		other	0
m1105	7	Sound	be * 0.08	477341	350	1			350		other	0
m1105	8	Sound	ro * 0.03	480142	350	1			350		other	0
m1105	9	Sound	tu	482842	350	1			350		other	0
m1105	10	Sound	za	485541	350	1			350		miss	0
m1105	11	Sound	ga	488242	350	1			350		miss	0
m1105	12	Sound	la	490942	350	1			350		hit	15
m1105	12	Response	1	490954	362	1
m1105	13	Sound	nu	493642	350	1			350		miss	0
m1105	14	Sound	mi	496342	350	1			350		miss	0
m1105	15	Sound	se	499042	350	1			350		miss	0
m1105	16	Sound	po	501742	350	1			350		hit	20
m1105	16	Response	1	502553	1161	1
m1105	17	Sound	la	504443	350	1			350		miss	0
m1105	18	Sound	tu	507142	350	1			350		miss	0
m1105	19	Sound	nu	509842	350	1			350		miss	0
m1105	20	Sound	za	512543	350	1			350		miss	0
m1105	21	Sound	se	515243	350	1			350		miss	0
m1105	22	Response	1	517913	320	1
m1105	22	Sound	ki	517943	350	1			350		miss	0
m1105	23	Sound	ro	520643	350	1			350		miss	0
m1105	24	Sound	di	523343	350	1			350		miss	0
m1105	25	Sound	ga	526043	350	1			350		miss	0
m1105	26	Sound	mi	528743	350	1			350		miss	0
m1105	27	Sound	be	531444	350	1			350		miss	0
m1105	28	Sound	ki	534244	350	1			350		miss	0
m1105	29	Sound	tu	536946	350	1			350		miss	0
m1105	30	Sound	za	539644	350	1			350		miss	0
m1105	31	Sound	di	542344	350	1			350		hit	37
m1105	31	Response	1	544313	2319	1
