Scenario - DJ_incidental
Logfile written - 03/12/2020 14:29:31

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

m1105	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	123871	2	0	next	other	0
m1105	1	Response	1	123929	123763	1
m1105	2	Sound	Trial #1 incidental_struct_seq_A_4.txt	134037	10000	1			10000		other	0
m1105	2	Sound	Target: ga	159037	35000	1			35000		other	0
m1105	3	Picture	fixation	161498	0	1	582394	2	0	next	other	0
m1105	4	Sound	ro * 0.31	161851	350	1			350		other	0
m1105	5	Sound	ki * 0.22	164563	350	1			350		other	0
m1105	6	Sound	se * 0.16	167264	350	1			350		other	0
m1105	7	Sound	za * 0.08	169963	350	1			350		other	0
m1105	8	Sound	be * 0.03	172663	350	1			350		other	0
m1105	9	Sound	tu	175463	350	1			350		other	0
m1105	10	Sound	mi	178163	350	1			350		other	0
m1105	11	Sound	po	180865	350	1			350		other	0
m1105	12	Sound	la	183563	350	1			350		other	0
m1105	13	Sound	ro	186263	350	1			350		other	0
m1105	14	Sound	ki	188963	350	1			350		other	0
m1105	15	Sound	se	191663	350	1			350		other	0
m1105	16	Sound	nu	194364	350	1			350		other	0
m1105	17	Sound	ga	197064	350	1			350		miss	0
m1105	18	Sound	di	199763	350	1			350		miss	0
m1105	19	Sound	ro	202464	350	1			350		hit	22
m1105	19	Response	1	203047	933	1
m1105	20	Sound	ki	205164	350	1			350		miss	0
m1105	21	Sound	se	207866	350	1			350		miss	0
m1105	22	Sound	nu	210564	350	1			350		miss	0
m1105	23	Sound	ga	213264	350	1			350		miss	0
m1105	24	Sound	di	215964	350	1			350		miss	0
m1105	25	Sound	ro	218667	350	1			350		miss	0
m1105	26	Sound	ki	221364	350	1			350		miss	0
m1105	27	Sound	se	224065	350	1			350		miss	0
m1105	28	Sound	za	226765	350	1			350		miss	0
m1105	29	Sound	be	229465	350	1			350		miss	0
m1105	30	Sound	tu	232265	350	1			350		miss	0
m1105	31	Sound	nu	234965	350	1			350		miss	0
m1105	32	Sound	ga	237666	350	1			350		miss	0
m1105	33	Sound	di	240365	350	1			350		hit	37
m1105	33	Response	1	242007	1992	1
m1105	34	Sound	za	243066	350	1			350		miss	0
m1105	35	Sound	be	245765	350	1			350		miss	0
m1105	36	Sound	tu	248566	350	1			350		miss	0
m1105	37	Sound	nu	251266	350	1			350		miss	0
m1105	38	Sound	ga	253966	350	1			350		miss	0
m1105	39	Sound	di	256666	350	1			350		miss	0
m1105	40	Sound	mi	259368	350	1			350		miss	0
m1105	41	Sound	po	262066	350	1			350		miss	0
m1105	42	Sound	la	264767	350	1			350		miss	0
m1105	43	Sound	ro	267466	350	1			350		miss	0
m1105	44	Sound	ki	270167	350	1			350		miss	0
m1105	45	Sound	se	272867	350	1			350		miss	0
m1105	46	Sound	mi	275567	350	1			350		miss	0
m1105	47	Sound	po	278267	350	1			350		miss	0
m1105	48	Sound	la	280967	350	1			350		miss	0
m1105	49	Sound	za	283667	350	1			350		miss	0
m1105	50	Sound	be	286369	350	1			350		miss	0
m1105	51	Sound	tu	289167	350	1			350		miss	0
m1105	52	Sound	ro	291867	350	1			350		miss	0
m1105	53	Sound	ki	294568	350	1			350		miss	0
m1105	54	Sound	se	297268	350	1			350		miss	0
m1105	55	Sound	za	299968	350	1			350		miss	0
m1105	56	Sound	be	302668	350	1			350		miss	0
m1105	57	Sound	tu	305468	350	1			350		miss	0
m1105	58	Sound	nu	308168	350	1			350		miss	0
m1105	59	Sound	ga	310868	350	1			350		miss	0
m1105	60	Sound	di	313568	350	1			350		miss	0
m1105	61	Sound	mi	316269	350	1			350		hit	66
m1105	61	Response	1	316405	486	1
m1105	62	Sound	po	318969	350	1			350		miss	0
m1105	63	Sound	la	321669	350	1			350		miss	0
m1105	64	Sound	nu	324369	350	1			350		miss	0
