Scenario - DJ_incidental
Logfile written - 03/13/2020 11:41:10

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

mm2208	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	167659	2	0	next	other	0
mm2208	1	Response	1	167556	167390	1
mm2208	2	Sound	Trial #1 incidental_struct_seq_A_11.txt	177825	10000	1			10000		other	0
mm2208	2	Sound	Target: tu	202825	35000	1			35000		other	0
mm2208	3	Picture	fixation	205286	0	1	582393	2	0	next	other	0
mm2208	4	Sound	se * 0.31	205639	350	1			350		other	0
mm2208	5	Sound	nu * 0.22	208346	350	1			350		other	0
mm2208	6	Sound	ga * 0.16	211047	350	1			350		other	0
mm2208	6	Response	1	212115	1418	1
mm2208	7	Sound	di * 0.08	213747	350	1			350		other	0
mm2208	8	Sound	za * 0.03	216449	350	1			350		other	0
mm2208	9	Sound	be	219147	350	1			350		other	0
mm2208	10	Sound	tu	221950	350	1			350		miss	0
mm2208	11	Sound	nu	224647	350	1			350		miss	0
mm2208	12	Sound	ga	227350	350	1			350		hit	16
mm2208	12	Response	1	227395	395	1
mm2208	13	Sound	di	230048	350	1			350		miss	0
mm2208	14	Sound	mi	232749	350	1			350		miss	0
mm2208	15	Sound	po	235448	350	1			350		miss	0
mm2208	16	Sound	la	238148	350	1			350		miss	0
mm2208	17	Sound	nu	240848	350	1			350		miss	0
mm2208	18	Sound	ga	243550	350	1			350		miss	0
mm2208	19	Sound	di	246248	350	1			350		miss	0
mm2208	20	Sound	za	248951	350	1			350		miss	0
mm2208	21	Sound	be	251648	350	1			350		miss	0
mm2208	22	Sound	tu	254450	350	1			350		miss	0
mm2208	23	Sound	ro	257148	350	1			350		hit	28
mm2208	23	Response	1	258994	2196	1
mm2208	24	Sound	ki	259851	350	1			350		miss	0
mm2208	25	Sound	se	262549	350	1			350		miss	0
mm2208	26	Sound	za	265252	350	1			350		miss	0
mm2208	27	Sound	be	267949	350	1			350		miss	0
