Scenario - DJ_incidental
Logfile written - 03/13/2020 10:12:03

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

n1906	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	291530	2	0	next	other	0
n1906	1	Response	1	291323	291157	1
n1906	2	Sound	Trial #1 incidental_struct_seq_A_9.txt	301696	10000	1			10000		other	0
n1906	2	Sound	Target: se	326696	35000	1			35000		other	0
n1906	3	Picture	fixation	329158	0	1	583560	2	0	next	other	0
n1906	4	Sound	nu * 0.31	329624	350	1			350		other	0
n1906	5	Sound	ga * 0.22	332352	350	1			350		other	0
n1906	6	Sound	di * 0.16	335098	350	1			350		other	0
n1906	7	Sound	ro * 0.08	337916	350	1			350		other	0
n1906	8	Sound	ki * 0.03	340738	350	1			350		other	0
n1906	9	Sound	se	343421	350	1			350		miss	0
n1906	10	Sound	za	346299	350	1			350		miss	0
n1906	11	Sound	be	349021	350	1			350		miss	0
n1906	12	Response	1	351962	287	1
n1906	12	Sound	tu	352025	350	1			350		miss	0
n1906	13	Sound	nu	354722	350	1			350		miss	0
n1906	14	Sound	ga	357422	350	1			350		miss	0
n1906	15	Sound	di	360122	350	1			350		miss	0
n1906	16	Sound	mi	362951	350	1			350		miss	0
n1906	17	Sound	po	365738	350	1			350		miss	0
n1906	18	Sound	la	368542	350	1			350		miss	0
n1906	19	Sound	ro	371222	350	1			350		miss	0
n1906	20	Sound	ki	373922	350	1			350		miss	0
n1906	21	Sound	se	376623	350	1			350		miss	0
n1906	22	Sound	za	379323	350	1			350		hit	26
n1906	22	Response	1	381081	2108	1
n1906	23	Sound	be	382023	350	1			350		miss	0
n1906	24	Sound	tu	384823	350	1			350		miss	0
n1906	25	Sound	mi	387523	350	1			350		miss	0
n1906	26	Sound	po	390223	350	1			350		miss	0
n1906	27	Sound	la	392923	350	1			350		miss	0
n1906	28	Sound	ro	395623	350	1			350		miss	0
n1906	29	Sound	ki	398323	350	1			350		miss	0
n1906	30	Sound	se	401023	350	1			350		miss	0
n1906	31	Sound	za	403724	350	1			350		hit	36
n1906	31	Response	1	405321	1947	1
n1906	32	Sound	be	406424	350	1			350		miss	0
