Scenario - DJ_incidental
Logfile written - 03/13/2020 11:00:48

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

n1906	1	Picture	Instructions. Volume set to 0.79* system volume.	166	0	1	161499	2	0	next	other	0
n1906	1	Response	1	161455	161289	1
n1906	2	Sound	Trial #1 incidental_rand_seq_A_11.txt	171665	10000	1			10000		other	0
n1906	2	Sound	Target: tu	196665	35000	1			35000		other	0
n1906	3	Picture	fixation	199126	0	1	582395	2	0	next	other	0
n1906	4	Sound	ga * 0.31	199481	350	1			350		other	0
n1906	5	Sound	za * 0.22	202186	350	1			350		other	0
n1906	6	Sound	ro * 0.16	204883	350	1			350		other	0
n1906	7	Sound	po * 0.08	207583	350	1			350		other	0
n1906	8	Sound	mi * 0.03	210286	350	1			350		other	0
n1906	9	Sound	la	212983	350	1			350		other	0
n1906	10	Sound	di	215686	350	1			350		other	0
n1906	11	Sound	tu	218384	350	1			350		miss	0
n1906	12	Sound	ki	221086	350	1			350		miss	0
n1906	13	Sound	nu	223784	350	1			350		miss	0
n1906	14	Sound	se	226486	350	1			350		miss	0
n1906	15	Sound	be	229184	350	1			350		miss	0
n1906	16	Sound	ro	231984	350	1			350		miss	0
n1906	17	Sound	mi	234684	350	1			350		miss	0
n1906	18	Sound	za	237387	350	1			350		miss	0
n1906	19	Sound	ga	240085	350	1			350		miss	0
n1906	20	Sound	po	242787	350	1			350		miss	0
n1906	21	Sound	tu	245485	350	1			350		miss	0
n1906	22	Sound	di	248188	350	1			350		hit	25
n1906	22	Response	1	250333	2495	1
n1906	23	Sound	be	250885	350	1			350		miss	0
n1906	24	Sound	la	253685	350	1			350		miss	0
n1906	25	Sound	se	256385	350	1			350		miss	0
n1906	26	Sound	ki	259088	350	1			350		miss	0
n1906	27	Sound	nu	261785	350	1			350		miss	0
n1906	28	Sound	ki	264487	350	1			350		miss	0
n1906	29	Sound	di	267186	350	1			350		miss	0
n1906	30	Sound	za	269888	350	1			350		miss	0
n1906	31	Sound	nu	272586	350	1			350		miss	0
n1906	32	Sound	ga	275289	350	1			350		miss	0
n1906	33	Sound	po	277986	350	1			350		miss	0
n1906	34	Sound	mi	280688	350	1			350		miss	0
n1906	35	Sound	ro	283386	350	1			350		miss	0
n1906	36	Sound	tu	286087	350	1			350		miss	0
n1906	37	Sound	be	288787	350	1			350		miss	0
n1906	38	Sound	se	291587	350	1			350		hit	42
n1906	38	Response	1	293133	1896	1
n1906	39	Sound	la	294287	350	1			350		miss	0
n1906	40	Sound	nu	296987	350	1			350		miss	0
n1906	41	Sound	la	299687	350	1			350		miss	0
n1906	42	Sound	tu	302387	350	1			350		miss	0
n1906	43	Sound	ro	305087	350	1			350		hit	48
n1906	43	Response	1	307133	2396	1
n1906	44	Sound	za	307788	350	1			350		miss	0
n1906	45	Sound	mi	310488	350	1			350		miss	0
n1906	46	Sound	be	313188	350	1			350		miss	0
n1906	47	Sound	se	315988	350	1			350		miss	0
n1906	48	Sound	di	318689	350	1			350		miss	0
n1906	49	Sound	po	321389	350	1			350		miss	0
n1906	50	Sound	ga	324088	350	1			350		miss	0
n1906	51	Sound	ki	326788	350	1			350		hit	57
n1906	51	Response	1	328092	1654	1
n1906	52	Sound	mi	329489	350	1			350		miss	0
n1906	53	Sound	la	332188	350	1			350		miss	0
n1906	54	Sound	ki	334889	350	1			350		miss	0
n1906	55	Sound	ro	337589	350	1			350		miss	0
n1906	56	Sound	se	340289	350	1			350		miss	0
n1906	57	Sound	ga	342989	350	1			350		miss	0
n1906	58	Sound	di	345690	350	1			350		hit	65
n1906	58	Response	1	347052	1712	1
n1906	59	Sound	po	348390	350	1			350		miss	0
n1906	60	Sound	be	351090	350	1			350		miss	0
n1906	61	Sound	za	353890	350	1			350		miss	0
n1906	62	Sound	nu	356590	350	1			350		miss	0
n1906	63	Sound	tu	359290	350	1			350		miss	0
n1906	64	Sound	se	361990	350	1			350		hit	72
n1906	64	Response	1	362652	1012	1
n1906	65	Sound	za	364690	350	1			350		miss	0
n1906	66	Sound	ga	367391	350	1			350		miss	0
n1906	67	Sound	mi	370091	350	1			350		miss	0
n1906	68	Sound	ki	372791	350	1			350		miss	0
n1906	69	Sound	tu	375491	350	1			350		miss	0
n1906	70	Sound	la	378191	350	1			350		hit	79
n1906	70	Response	1	378332	491	1
n1906	71	Sound	be	380891	350	1			350		miss	0
n1906	72	Sound	nu	383691	350	1			350		miss	0
n1906	73	Sound	ro	386391	350	1			350		miss	0
n1906	74	Sound	di	389091	350	1			350		miss	0
n1906	75	Sound	po	391791	350	1			350		miss	0
n1906	76	Sound	di	394492	350	1			350		miss	0
n1906	77	Sound	po	397192	350	1			350		hit	87
n1906	77	Response	1	398811	1969	1
n1906	78	Sound	nu	399892	350	1			350		miss	0
n1906	79	Sound	ro	402591	350	1			350		miss	0
n1906	80	Sound	tu	405292	350	1			350		miss	0
n1906	81	Sound	se	407993	350	1			350		miss	0
n1906	82	Sound	za	410692	350	1			350		miss	0
n1906	83	Sound	ga	413392	350	1			350		miss	0
n1906	84	Sound	la	416093	350	1			350		miss	0
n1906	85	Sound	ki	418793	350	1			350		miss	0
n1906	86	Sound	mi	421493	350	1			350		miss	0
n1906	87	Sound	be	424193	350	1			350		miss	0
n1906	88	Sound	di	426993	350	1			350		miss	0
n1906	89	Sound	ga	429693	350	1			350		miss	0
n1906	90	Sound	ki	432394	350	1			350		miss	0
n1906	91	Sound	mi	435093	350	1			350		hit	102
n1906	91	Response	1	435531	788	1
n1906	92	Sound	po	437793	350	1			350		miss	0
n1906	93	Sound	nu	440494	350	1			350		miss	0
n1906	94	Sound	tu	443194	350	1			350		miss	0
n1906	95	Sound	be	445894	350	1			350		miss	0
n1906	96	Sound	se	448694	350	1			350		miss	0
n1906	97	Sound	ro	451394	350	1			350		miss	0
n1906	98	Sound	la	454094	350	1			350		miss	0
n1906	99	Sound	za	456794	350	1			350		miss	0
n1906	100	Sound	mi	459495	350	1			350		miss	0
n1906	101	Sound	di	462195	350	1			350		miss	0
n1906	102	Sound	za	464895	350	1			350		miss	0
n1906	103	Sound	nu	467595	350	1			350		hit	115
n1906	103	Response	1	469690	2445	1
n1906	104	Sound	la	470295	350	1			350		miss	0
n1906	105	Sound	tu	472995	350	1			350		miss	0
n1906	106	Sound	ga	475695	350	1			350		miss	0
n1906	107	Sound	ro	478395	350	1			350		miss	0
n1906	108	Sound	ki	481096	350	1			350		miss	0
n1906	109	Sound	be	483796	350	1			350		miss	0
n1906	110	Sound	se	486596	350	1			350		miss	0
n1906	111	Sound	po	489296	350	1			350		miss	0
n1906	112	Sound	se	491996	350	1			350		miss	0
n1906	113	Sound	po	494696	350	1			350		miss	0
n1906	114	Sound	ro	497397	350	1			350		miss	0
n1906	115	Sound	ki	500096	350	1			350		miss	0
n1906	116	Sound	nu	502797	350	1			350		hit	129
n1906	116	Response	1	502970	523	1
n1906	117	Sound	ga	505497	350	1			350		miss	0
n1906	118	Sound	za	508197	350	1			350		miss	0
n1906	119	Sound	di	510897	350	1			350		miss	0
n1906	120	Sound	be	513597	350	1			350		miss	0
n1906	121	Sound	mi	516397	350	1			350		miss	0
n1906	122	Sound	tu	519097	350	1			350		miss	0
n1906	123	Sound	la	521797	350	1			350		miss	0
n1906	124	Sound	za	524498	350	1			350		miss	0
n1906	125	Sound	mi	527197	350	1			350		miss	0
n1906	126	Sound	po	529898	350	1			350		miss	0
n1906	127	Sound	nu	532598	350	1			350		miss	0
n1906	128	Sound	ga	535298	350	1			350		miss	0
n1906	129	Sound	ki	537998	350	1			350		miss	0
n1906	130	Sound	tu	540698	350	1			350		miss	0
n1906	131	Sound	se	543398	350	1			350		hit	145
n1906	131	Response	1	545369	2321	1
n1906	132	Sound	ro	546099	350	1			350		miss	0
n1906	133	Sound	be	548798	350	1			350		miss	0
n1906	134	Sound	di	551599	350	1			350		miss	0
n1906	135	Sound	la	554299	350	1			350		miss	0
n1906	136	Sound	ga	557000	350	1			350		miss	0
n1906	137	Sound	di	559699	350	1			350		miss	0
n1906	138	Sound	ki	562402	350	1			350		miss	0
n1906	139	Sound	tu	565099	350	1			350		miss	0
n1906	140	Sound	po	567802	350	1			350		miss	0
n1906	141	Sound	mi	570499	350	1			350		hit	156
n1906	141	Response	1	571769	1620	1
n1906	142	Sound	se	573201	350	1			350		miss	0
n1906	143	Sound	za	575900	350	1			350		miss	0
n1906	144	Sound	be	578599	350	1			350		miss	0
n1906	145	Sound	la	581400	350	1			350		miss	0
n1906	146	Sound	nu	584100	350	1			350		miss	0
n1906	147	Sound	ro	586800	350	1			350		miss	0
n1906	148	Sound	ga	589500	350	1			350		miss	0
n1906	149	Sound	nu	592200	350	1			350		miss	0
n1906	150	Sound	se	594900	350	1			350		miss	0
n1906	151	Sound	ro	597601	350	1			350		miss	0
n1906	152	Sound	po	600301	350	1			350		miss	0
n1906	153	Sound	be	603001	350	1			350		hit	169
n1906	153	Response	1	604408	1757	1
n1906	154	Sound	mi	605801	350	1			350		miss	0
n1906	155	Sound	za	608501	350	1			350		miss	0
n1906	156	Sound	tu	611202	350	1			350		miss	0
n1906	157	Sound	di	613901	350	1			350		miss	0
n1906	158	Sound	la	616602	350	1			350		miss	0
n1906	159	Sound	ki	619302	350	1			350		miss	0
n1906	160	Sound	za	622002	350	1			350		miss	0
n1906	161	Sound	mi	624702	350	1			350		miss	0
n1906	162	Sound	tu	627402	350	1			350		miss	0
n1906	163	Sound	di	630102	350	1			350		miss	0
n1906	164	Sound	la	632804	350	1			350		hit	181
n1906	164	Response	1	633128	674	1
n1906	165	Sound	nu	635503	350	1			350		miss	0
n1906	166	Sound	be	638203	350	1			350		miss	0
n1906	167	Sound	se	641002	350	1			350		miss	0
n1906	168	Sound	ro	643703	350	1			350		miss	0
n1906	169	Sound	ki	646403	350	1			350		miss	0
n1906	170	Sound	ga	649103	350	1			350		miss	0
n1906	171	Sound	po	651803	350	1			350		miss	0
n1906	172	Sound	ki	654503	350	1			350		miss	0
n1906	173	Sound	ro	657203	350	1			350		hit	191
n1906	173	Response	1	658647	1794	1
n1906	174	Sound	se	659904	350	1			350		miss	0
n1906	175	Sound	po	662604	350	1			350		miss	0
n1906	176	Sound	mi	665304	350	1			350		miss	0
n1906	177	Sound	tu	668004	350	1			350		miss	0
n1906	178	Sound	ga	670704	350	1			350		miss	0
n1906	179	Sound	be	673404	350	1			350		hit	198
n1906	179	Response	1	675367	2313	1
n1906	180	Sound	nu	676204	350	1			350		miss	0
n1906	181	Sound	za	678905	350	1			350		miss	0
n1906	182	Sound	la	681604	350	1			350		miss	0
n1906	183	Sound	di	684304	350	1			350		miss	0
n1906	184	Sound	se	687006	350	1			350		miss	0
n1906	185	Sound	za	689705	350	1			350		miss	0
n1906	186	Sound	la	692405	350	1			350		miss	0
n1906	187	Sound	ro	695105	350	1			350		miss	0
n1906	188	Sound	di	697805	350	1			350		miss	0
n1906	189	Sound	tu	700505	350	1			350		hit	209
n1906	189	Response	1	701207	1052	1
n1906	190	Sound	mi	703205	350	1			350		miss	0
n1906	191	Sound	be	705907	350	1			350		miss	0
n1906	192	Sound	po	708706	350	1			350		miss	0
n1906	193	Sound	nu	711405	350	1			350		miss	0
n1906	194	Sound	ki	714106	350	1			350		miss	0
n1906	195	Sound	ga	716806	350	1			350		hit	216
n1906	195	Response	1	717447	991	1
n1906	196	Sound	mi	719506	350	1			350		miss	0
n1906	197	Sound	ki	722206	350	1			350		miss	0
n1906	198	Sound	nu	724906	350	1			350		miss	0
n1906	199	Sound	di	727606	350	1			350		miss	0
n1906	200	Sound	tu	730307	350	1			350		miss	0
n1906	201	Sound	po	733007	350	1			350		miss	0
n1906	202	Sound	se	735707	350	1			350		miss	0
n1906	203	Sound	ro	738407	350	1			350		miss	0
n1906	204	Sound	be	741108	350	1			350		miss	0
n1906	205	Sound	za	743907	350	1			350		miss	0
n1906	206	Sound	ga	746607	350	1			350		hit	228
n1906	206	Response	1	748726	2469	1
n1906	207	Sound	la	749308	350	1			350		miss	0
n1906	208	Sound	za	752007	350	1			350		miss	0
n1906	209	Sound	ro	754708	350	1			350		miss	0
n1906	210	Sound	mi	757408	350	1			350		miss	0
n1906	211	Sound	ga	760108	350	1			350		miss	0
n1906	212	Sound	tu	762808	350	1			350		miss	0
n1906	213	Sound	se	765508	350	1			350		miss	0
n1906	214	Sound	po * 0.03	768208	350	1			350		miss	0
n1906	215	Sound	ki * 0.08	770908	350	1			350		miss	0
n1906	216	Sound	di * 0.16	773609	350	1			350		miss	0
n1906	217	Sound	nu * 0.22	776308	350	1			350		miss	0
n1906	218	Sound	la * 0.31	779009	350	1			350		hit	241
n1906	218	Response	1	779046	387	1
n1906	219	Picture	break	781521	0	1	19480	2	0	next	other	0
n1906	219	Response	1	800805	19284	1
n1906	220	Sound	Trial #2 incidental_rand_seq_A_2.txt	811001	10000	1			10000		other	0
n1906	220	Sound	Target: ro	836001	35000	1			35000		other	0
n1906	221	Picture	fixation	838462	0	1	582396	2	0	next	other	0
n1906	222	Sound	nu * 0.31	838815	350	1			350		miss	0
n1906	223	Sound	po * 0.22	841512	350	1			350		miss	0
n1906	224	Sound	ki * 0.16	844211	350	1			350		miss	0
n1906	225	Sound	se * 0.08	846912	350	1			350		miss	0
n1906	226	Sound	mi * 0.03	849612	350	1			350		miss	0
n1906	227	Sound	za	852312	350	1			350		miss	0
n1906	228	Sound	be	855012	350	1			350		miss	0
n1906	229	Sound	tu	857812	350	1			350		miss	0
n1906	230	Sound	la	860512	350	1			350		hit	256
n1906	230	Response	1	862404	2242	1
n1906	231	Sound	ga	863213	350	1			350		miss	0
n1906	232	Sound	ro	865913	350	1			350		miss	0
n1906	233	Sound	di	868614	350	1			350		miss	0
n1906	234	Sound	la	871312	350	1			350		miss	0
n1906	235	Sound	ga	874013	350	1			350		miss	0
n1906	236	Sound	ki	876713	350	1			350		miss	0
n1906	237	Sound	po	879414	350	1			350		miss	0
n1906	238	Sound	be	882113	350	1			350		miss	0
n1906	239	Sound	di	884914	350	1			350		miss	0
n1906	240	Sound	ro	887614	350	1			350		miss	0
n1906	241	Sound	se	890315	350	1			350		miss	0
n1906	242	Sound	za	893014	350	1			350		miss	0
n1906	243	Sound	mi	895714	350	1			350		miss	0
n1906	244	Sound	nu	898414	350	1			350		miss	0
n1906	245	Sound	tu	901115	350	1			350		miss	0
n1906	246	Sound	se	903815	350	1			350		miss	0
n1906	247	Sound	nu	906516	350	1			350		miss	0
n1906	248	Sound	ga	909214	350	1			350		miss	0
n1906	249	Sound	za	911914	350	1			350		miss	0
n1906	250	Sound	la	914614	350	1			350		miss	0
n1906	251	Sound	be	917315	350	1			350		hit	278
n1906	251	Response	1	918483	1518	1
n1906	252	Sound	di	920115	350	1			350		miss	0
n1906	253	Sound	ro	922815	350	1			350		miss	0
n1906	254	Sound	ki	925515	350	1			350		miss	0
n1906	255	Sound	mi	928215	350	1			350		miss	0
