Scenario - DJ_incidental
Logfile written - 03/06/2020 13:28:31

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

s2205	1	Picture	instruct	166	0	1	144349	2	0	next	other	0
s2205	1	Response	1	144370	144204	1
s2205	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	154515	10000	1			10000		other	0
s2205	2	Sound	Target: se	179515	35000	1			35000		other	0
s2205	3	Picture	fixation	181975	0	1	587219	2	0	next	other	0
s2205	4	Sound	se * 0.31	182329	350	1			350		miss	0
s2205	5	Sound	ki * 0.22	185080	350	1			350		hit	8
s2205	5	Response	1	187089	2359	1
s2205	6	Sound	ga * 0.16	187778	350	1			350		miss	0
s2205	7	Sound	nu * 0.08	190478	350	1			350		miss	0
s2205	8	Sound	ro * 0.03	193178	350	1			350		miss	0
s2205	9	Sound	la	195878	350	1			350		miss	0
s2205	10	Sound	po	198579	350	1			350		miss	0
s2205	11	Sound	se	201278	350	1			350		miss	0
s2205	12	Sound	be	203978	350	1			350		hit	16
s2205	12	Response	1	205169	1541	1
s2205	13	Sound	mi	206779	350	1			350		miss	0
s2205	14	Sound	za	209479	350	1			350		miss	0
s2205	15	Sound	tu	212179	350	1			350		miss	0
s2205	16	Sound	di	214879	350	1			350		miss	0
s2205	17	Sound	po	217579	350	1			350		miss	0
s2205	18	Sound	tu	220279	350	1			350		miss	0
s2205	19	Sound	se	222979	350	1			350		miss	0
s2205	20	Sound	la	225679	350	1			350		hit	25
s2205	20	Response	1	227408	2079	1
s2205	21	Sound	za	228380	350	1			350		miss	0
s2205	22	Sound	ro	231079	350	1			350		miss	0
s2205	23	Sound	di	233780	350	1			350		miss	0
s2205	24	Sound	ga	236481	350	1			350		miss	0
s2205	25	Sound	nu	239180	350	1			350		miss	0
s2205	26	Sound	mi	241880	350	1			350		miss	0
s2205	27	Sound	be	244580	350	1			350		miss	0
s2205	28	Sound	ki	247380	350	1			350		miss	0
s2205	29	Sound	nu	250081	350	1			350		miss	0
s2205	30	Sound	ro	252780	350	1			350		miss	0
s2205	31	Sound	po	255480	350	1			350		miss	0
s2205	32	Sound	ga	258181	350	1			350		miss	0
s2205	33	Sound	mi	260881	350	1			350		miss	0
s2205	34	Sound	la	263581	350	1			350		miss	0
s2205	35	Sound	be	266281	350	1			350		miss	0
s2205	36	Sound	se	269081	350	1			350		miss	0
s2205	37	Sound	tu	271781	350	1			350		hit	43
s2205	37	Response	1	272367	936	1
s2205	38	Sound	za	274481	350	1			350		miss	0
s2205	39	Sound	di	277181	350	1			350		miss	0
s2205	40	Sound	ki	279882	350	1			350		miss	0
s2205	41	Sound	se	282581	350	1			350		miss	0
s2205	42	Sound	la	285283	350	1			350		miss	0
s2205	43	Sound	po	287982	350	1			350		hit	50
s2205	43	Response	1	289087	1455	1
s2205	44	Sound	be	290685	350	1			350		miss	0
s2205	45	Sound	ro	293482	350	1			350		miss	0
s2205	46	Sound	nu	296182	350	1			350		miss	0
s2205	47	Sound	za	298882	350	1			350		miss	0
s2205	48	Sound	tu	301582	350	1			350		miss	0
s2205	49	Sound	di	304282	350	1			350		miss	0
s2205	50	Sound	ga	306982	350	1			350		miss	0
s2205	51	Sound	ki	309682	350	1			350		miss	0
s2205	52	Sound	mi	312383	350	1			350		miss	0
s2205	53	Sound	be	315083	350	1			350		miss	0
s2205	54	Sound	la	317883	350	1			350		miss	0
s2205	55	Sound	mi	320583	350	1			350		miss	0
s2205	56	Sound	za	323283	350	1			350		miss	0
s2205	57	Sound	nu	325983	350	1			350		miss	0
s2205	58	Sound	ki	328683	350	1			350		miss	0
s2205	59	Sound	po	331383	350	1			350		miss	0
s2205	60	Sound	ro	334084	350	1			350		miss	0
s2205	61	Sound	ga	336783	350	1			350		miss	0
s2205	62	Sound	di	339484	350	1			350		miss	0
s2205	63	Sound	se	342183	350	1			350		miss	0
s2205	64	Sound	tu	344884	350	1			350		hit	72
s2205	64	Response	1	346205	1671	1
s2205	65	Sound	za	347584	350	1			350		miss	0
s2205	66	Sound	se	350284	350	1			350		miss	0
s2205	67	Sound	be	352984	350	1			350		miss	0
s2205	68	Sound	po	355784	350	1			350		hit	77
s2205	68	Response	1	355885	451	1
s2205	69	Sound	di	358485	350	1			350		miss	0
s2205	70	Sound	ga	361185	350	1			350		miss	0
s2205	71	Sound	la	363884	350	1			350		miss	0
s2205	72	Sound	ro	366585	350	1			350		miss	0
s2205	73	Sound	tu	369285	350	1			350		miss	0
s2205	74	Sound	mi	371985	350	1			350		miss	0
s2205	75	Sound	ki	374685	350	1			350		miss	0
s2205	76	Sound	nu	377385	350	1			350		miss	0
s2205	77	Sound	tu	380085	350	1			350		miss	0
s2205	78	Sound	ki	382785	350	1			350		miss	0
s2205	79	Sound	po	385485	350	1			350		miss	0
s2205	80	Sound	se	388186	350	1			350		miss	0
s2205	81	Sound	za	390885	350	1			350		hit	91
s2205	81	Response	1	393164	2629	1
