Scenario - DJ_incidental
Logfile written - 03/09/2020 10:30:31

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

s2502	1	Picture	Instructions. Volume set to 0.835* system volume.	166	0	1	291529	2	0	next	other	0
s2502	1	Response	1	291588	291422	1
s2502	2	Sound	Trial #1 incidental_rand_seq_A_1.txt	301695	10000	1			10000		other	0
s2502	2	Sound	Target: se	326695	35000	1			35000		other	0
s2502	3	Picture	fixation	329156	0	1	582392	2	0	next	other	0
s2502	4	Sound	se * 0.31	329509	350	1			350		miss	0
s2502	5	Sound	ki * 0.22	332250	350	1			350		miss	0
s2502	6	Sound	ga * 0.16	334950	350	1			350		miss	0
s2502	7	Sound	nu * 0.08	337650	350	1			350		miss	0
s2502	8	Sound	ro * 0.03	340351	350	1			350		miss	0
s2502	9	Sound	la	343050	350	1			350		miss	0
s2502	10	Sound	po	345751	350	1			350		miss	0
s2502	11	Sound	se	348451	350	1			350		miss	0
s2502	12	Sound	be	351151	350	1			350		hit	15
s2502	12	Response	1	352866	2065	1
s2502	13	Sound	mi	353951	350	1			350		miss	0
s2502	14	Sound	za	356651	350	1			350		miss	0
s2502	15	Sound	tu	359351	350	1			350		miss	0
s2502	16	Sound	di	362051	350	1			350		miss	0
s2502	17	Sound	po	364751	350	1			350		miss	0
s2502	18	Sound	tu	367451	350	1			350		miss	0
s2502	19	Sound	se	370152	350	1			350		miss	0
s2502	20	Sound	la	372852	350	1			350		hit	24
s2502	20	Response	1	373746	1244	1
s2502	21	Sound	za	375552	350	1			350		miss	0
s2502	22	Sound	ro	378252	350	1			350		miss	0
s2502	23	Sound	di	380952	350	1			350		miss	0
s2502	24	Sound	ga	383652	350	1			350		miss	0
s2502	25	Sound	nu	386352	350	1			350		miss	0
s2502	26	Sound	mi	389052	350	1			350		miss	0
s2502	27	Sound	be	391752	350	1			350		miss	0
s2502	28	Sound	ki	394552	350	1			350		miss	0
s2502	29	Sound	nu	397252	350	1			350		miss	0
s2502	30	Sound	ro	399956	350	1			350		miss	0
s2502	31	Sound	po	402653	350	1			350		miss	0
s2502	32	Sound	ga	405353	350	1			350		miss	0
s2502	33	Sound	mi	408053	350	1			350		miss	0
s2502	34	Sound	la	410753	350	1			350		miss	0
s2502	35	Sound	be	413454	350	1			350		miss	0
s2502	36	Sound	se	416253	350	1			350		miss	0
s2502	37	Sound	tu	418953	350	1			350		hit	42
s2502	37	Response	1	419425	822	1
s2502	38	Sound	za	421653	350	1			350		miss	0
s2502	39	Sound	di	424353	350	1			350		miss	0
s2502	40	Sound	ki	427054	350	1			350		miss	0
s2502	41	Sound	se	429753	350	1			350		miss	0
s2502	42	Sound	la	432454	350	1			350		miss	0
s2502	43	Sound	po	435154	350	1			350		hit	49
s2502	43	Response	1	436624	1820	1
s2502	44	Sound	be	437855	350	1			350		miss	0
s2502	45	Sound	ro	440654	350	1			350		miss	0
s2502	46	Sound	nu	443354	350	1			350		miss	0
s2502	47	Sound	za	446054	350	1			350		miss	0
s2502	48	Sound	tu	448754	350	1			350		miss	0
s2502	49	Sound	di	451455	350	1			350		miss	0
s2502	50	Sound	ga	454155	350	1			350		miss	0
s2502	51	Sound	ki	456855	350	1			350		miss	0
s2502	52	Sound	mi	459555	350	1			350		miss	0
s2502	53	Sound	be	462255	350	1			350		miss	0
s2502	54	Sound	la	465055	350	1			350		miss	0
s2502	55	Sound	mi	467755	350	1			350		miss	0
s2502	56	Sound	za	470455	350	1			350		miss	0
s2502	57	Sound	nu	473155	350	1			350		miss	0
s2502	58	Sound	ki	475855	350	1			350		miss	0
s2502	59	Sound	po	478555	350	1			350		miss	0
s2502	60	Sound	ro	481256	350	1			350		miss	0
s2502	61	Sound	ga	483955	350	1			350		miss	0
s2502	62	Sound	di	486656	350	1			350		miss	0
s2502	63	Sound	se	489356	350	1			350		miss	0
s2502	64	Sound	tu	492056	350	1			350		hit	71
s2502	64	Response	1	494223	2517	1
s2502	65	Sound	za	494756	350	1			350		miss	0
s2502	66	Sound	se	497456	350	1			350		miss	0
s2502	67	Sound	be	500156	350	1			350		miss	0
s2502	68	Sound	po	502957	350	1			350		miss	0
s2502	69	Sound	di	505657	350	1			350		miss	0
s2502	70	Sound	ga	508357	350	1			350		miss	0
s2502	71	Sound	la	511057	350	1			350		miss	0
s2502	72	Sound	ro	513757	350	1			350		miss	0
s2502	73	Sound	tu	516457	350	1			350		miss	0
s2502	74	Sound	mi	519157	350	1			350		miss	0
s2502	75	Sound	ki	521857	350	1			350		miss	0
s2502	76	Sound	nu	524557	350	1			350		miss	0
s2502	77	Sound	tu	527257	350	1			350		miss	0
s2502	78	Sound	ki	529957	350	1			350		miss	0
s2502	79	Sound	po	532658	350	1			350		miss	0
s2502	80	Sound	se	535357	350	1			350		miss	0
s2502	81	Sound	za	538058	350	1			350		miss	0
s2502	82	Sound	ro	540758	350	1			350		hit	90
s2502	82	Response	1	540782	374	1
s2502	83	Sound	nu	543458	350	1			350		miss	0
s2502	84	Sound	di	546158	350	1			350		miss	0
s2502	85	Sound	mi	548858	350	1			350		miss	0
s2502	86	Sound	la	551558	350	1			350		miss	0
