Scenario - DJ_incidental
Logfile written - 03/10/2020 10:13:43

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

t0506	1	Picture	Instructions. Volume set to 0.8625* system volume.	665	0	1	320999	3	0	next	other	0
t0506	1	Response	1	320875	320210	1
t0506	2	Sound	Trial #1 incidental_struct_seq_A_1.txt	331664	10000	1			10000		other	0
t0506	2	Sound	Target: di	356664	35000	1			35000		other	0
t0506	3	Picture	fixation	359125	0	1	588721	2	0	next	other	0
t0506	4	Sound	se * 0.31	359660	350	1			350		other	0
t0506	5	Sound	za * 0.22	362650	350	1			350		other	0
t0506	6	Sound	be * 0.16	365346	350	1			350		other	0
t0506	7	Sound	tu * 0.08	368307	350	1			350		other	0
t0506	8	Sound	mi * 0.03	371647	350	1			350		other	0
t0506	9	Sound	po	374633	350	1			350		other	0
t0506	10	Sound	la	377666	350	1			350		other	0
t0506	11	Sound	nu	380686	350	1			350		other	0
t0506	12	Sound	ga	383872	350	3			350		other	0
t0506	13	Sound	di	386545	350	1			350		miss	0
t0506	14	Sound	mi	389245	350	1			350		hit	17
t0506	14	Response	1	390713	1818	1
t0506	15	Sound	po	391945	350	1			350		miss	0
t0506	16	Sound	la	394645	350	1			350		miss	0
t0506	17	Sound	ro	397637	350	1			350		miss	0
t0506	18	Sound	ki	401011	350	3			350		miss	0
t0506	19	Sound	se	403746	350	1			350		miss	0
t0506	20	Sound	nu	406446	350	1			350		miss	0
t0506	21	Sound	ga	409146	350	1			350		miss	0
t0506	22	Sound	di	411846	350	1			350		miss	0
t0506	23	Sound	mi	414546	350	1			350		hit	27
t0506	23	Response	1	414793	597	1
t0506	24	Sound	po	417246	350	1			350		miss	0
t0506	25	Sound	la	419946	350	1			350		miss	0
t0506	26	Sound	nu	422647	350	1			350		miss	0
t0506	27	Sound	ga	425346	350	1			350		miss	0
t0506	28	Sound	di	428046	350	1			350		miss	0
t0506	29	Sound	ro	430747	350	1			350		hit	34
t0506	29	Response	1	432792	2395	1
t0506	30	Sound	ki	433447	350	1			350		miss	0
t0506	31	Sound	se	436147	350	1			350		miss	0
t0506	32	Sound	za	438847	350	1			350		miss	0
t0506	33	Sound	be	441547	350	1			350		miss	0
t0506	34	Sound	tu	444347	350	1			350		miss	0
t0506	35	Sound	ro	447049	350	1			350		miss	0
t0506	36	Sound	ki	449747	350	1			350		miss	0
t0506	37	Sound	se	452447	350	1			350		miss	0
t0506	38	Sound	nu	455147	350	1			350		miss	0
t0506	39	Sound	ga	457848	350	1			350		miss	0
t0506	40	Sound	di	460548	350	1			350		miss	0
t0506	41	Sound	za	463248	350	1			350		hit	47
t0506	41	Response	1	465192	2294	1
t0506	42	Sound	be	465949	350	1			350		miss	0
t0506	43	Sound	tu	468748	350	1			350		miss	0
t0506	44	Sound	mi	471448	350	1			350		miss	0
t0506	45	Sound	po	474148	350	1			350		miss	0
t0506	46	Sound	la	476848	350	1			350		miss	0
t0506	47	Sound	ro	479549	350	1			350		miss	0
t0506	48	Sound	ki	482249	350	1			350		miss	0
t0506	49	Sound	se	484949	350	1			350		miss	0
t0506	50	Sound	za	487649	350	1			350		miss	0
t0506	51	Sound	be	490349	350	1			350		miss	0
t0506	52	Sound	tu	493149	350	1			350		miss	0
t0506	53	Sound	nu	495849	350	1			350		miss	0
t0506	54	Sound	ga	498550	350	1			350		miss	0
t0506	55	Sound	di	501250	350	1			350		miss	0
t0506	56	Sound	za	503949	350	1			350		miss	0
t0506	57	Sound	be	506650	350	1			350		hit	64
t0506	57	Response	1	508151	1851	1
t0506	58	Sound	tu	509450	350	1			350		miss	0
t0506	59	Sound	ro	512150	350	1			350		miss	0
t0506	60	Sound	ki	514850	350	1			350		miss	0
t0506	61	Sound	se	517550	350	1			350		miss	0
t0506	62	Sound	mi	520250	350	1			350		miss	0
t0506	63	Sound	po	522951	350	1			350		miss	0
t0506	64	Sound	la	525651	350	1			350		miss	0
t0506	65	Sound	nu	528351	350	1			350		miss	0
t0506	66	Sound	ga	531050	350	1			350		miss	0
t0506	67	Sound	di	533751	350	1			350		miss	0
t0506	68	Sound	za	536451	350	1			350		hit	76
t0506	68	Response	1	537511	1410	1
t0506	69	Sound	be	539152	350	1			350		miss	0
t0506	70	Sound	tu	541951	350	1			350		miss	0
t0506	71	Sound	nu	544651	350	1			350		miss	0
t0506	72	Sound	ga	547351	350	1			350		miss	0
t0506	73	Sound	di	550053	350	1			350		miss	0
t0506	74	Sound	ro	552752	350	1			350		hit	83
t0506	74	Response	1	554790	2388	1
t0506	75	Sound	ki	555452	350	1			350		miss	0
t0506	76	Sound	se	558152	350	1			350		miss	0
t0506	77	Sound	za	560852	350	1			350		miss	0
t0506	78	Sound	be	563552	350	1			350		miss	0
t0506	79	Sound	tu	566353	350	1			350		miss	0
t0506	80	Sound	mi	569052	350	1			350		miss	0
t0506	81	Sound	po	571752	350	1			350		miss	0
t0506	82	Sound	la	574453	350	1			350		miss	0
t0506	83	Sound	nu	577152	350	1			350		miss	0
t0506	84	Sound	ga	579853	350	1			350		miss	0
t0506	85	Sound	di	582553	350	1			350		miss	0
t0506	86	Sound	ro	585253	350	1			350		hit	96
t0506	86	Response	1	587349	2446	1
t0506	87	Sound	ki	587954	350	1			350		miss	0
t0506	88	Sound	se	590653	350	1			350		miss	0
t0506	89	Sound	nu	593353	350	1			350		miss	0
t0506	90	Sound	ga	596053	350	1			350		miss	0
t0506	91	Sound	di	598754	350	1			350		miss	0
t0506	92	Sound	mi	601453	350	1			350		hit	103
t0506	92	Response	1	602709	1606	1
t0506	93	Sound	po	604153	350	1			350		miss	0
t0506	94	Sound	la	606854	350	1			350		miss	0
t0506	95	Sound	za	609554	350	1			350		miss	0
t0506	96	Sound	be	612254	350	1			350		miss	0
t0506	97	Sound	tu	615055	350	1			350		miss	0
t0506	98	Sound	mi	617754	350	1			350		miss	0
t0506	99	Sound	po	620454	350	1			350		miss	0
t0506	100	Sound	la	623154	350	1			350		miss	0
t0506	101	Sound	ro	625855	350	1			350		miss	0
t0506	102	Sound	ki	628555	350	1			350		miss	0
t0506	103	Sound	se	631255	350	1			350		miss	0
t0506	104	Sound	za	633955	350	1			350		hit	116
t0506	104	Response	1	633988	383	1
t0506	105	Sound	be	636655	350	1			350		miss	0
t0506	106	Sound	tu	639455	350	1			350		miss	0
t0506	107	Sound	mi	642155	350	1			350		miss	0
t0506	108	Sound	po	644856	350	1			350		miss	0
t0506	109	Sound	la	647556	350	1			350		miss	0
t0506	110	Sound	nu	650256	350	1			350		miss	0
t0506	111	Sound	ga	652957	350	1			350		miss	0
t0506	112	Sound	di	655658	350	1			350		miss	0
t0506	113	Sound	mi	658356	350	1			350		hit	126
t0506	113	Response	1	660548	2542	1
t0506	114	Sound	po	661056	350	1			350		miss	0
t0506	115	Sound	la	663756	350	1			350		miss	0
t0506	116	Sound	nu	666456	350	1			350		miss	0
t0506	117	Sound	ga	669157	350	1			350		miss	0
t0506	118	Sound	di	671856	350	1			350		miss	0
t0506	119	Sound	ro	674559	350	1			350		miss	0
t0506	120	Sound	ki	677257	350	1			350		hit	134
t0506	120	Response	1	678307	1400	1
t0506	121	Sound	se	679957	350	1			350		miss	0
t0506	122	Sound	nu	682657	350	1			350		miss	0
t0506	123	Sound	ga	685357	350	1			350		miss	0
t0506	124	Sound	di	688057	350	1			350		miss	0
t0506	125	Sound	za	690758	350	1			350		hit	140
t0506	125	Response	1	692387	1979	1
t0506	126	Sound	be	693458	350	1			350		miss	0
t0506	127	Sound	tu	696257	350	2600			350		miss	0
t0506	128	Sound	nu	701558	350	1			350		miss	0
t0506	129	Sound	ga	704266	350	2			350		miss	0
t0506	130	Sound	di	706959	350	4			350		miss	0
t0506	131	Sound	ro	709661	350	1			350		hit	147
t0506	131	Response	1	710387	1076	1
t0506	132	Sound	ki	712363	350	1			350		miss	0
t0506	133	Sound	se	715061	350	2			350		miss	0
t0506	134	Sound	za	717760	350	1			350		miss	0
t0506	135	Sound	be	720459	350	1			350		miss	0
t0506	136	Sound	tu	723259	350	1			350		miss	0
t0506	137	Sound	mi	725959	350	1			350		miss	0
t0506	138	Sound	po	728659	350	1			350		miss	0
t0506	139	Sound	la	731360	350	1			350		miss	0
