"rt","tgt_pos"
495.800000000003,"3"
387.699999999997,"3"
377.699999999997,"3"
447.5,"3"
427.5,"3"
439.599999999977,"3"
393.400000000023,"3"
391.200000000012,"3"
623.299999999988,"3"
387.099999999977,"3"
556.900000000023,"3"
442.800000000017,"3"
418.700000000012,"3"
454.700000000012,"3"
406.600000000006,"3"
518.5,"3"
444.5,"3"
391.5,"1"
137.200000000012,"1"
879.100000000006,"1"
756.900000000023,"1"
540.400000000023,"2"
462.200000000012,"2"
482.200000000012,"2"
524.100000000035,"2"
618.100000000035,"2"
418,"2"
426,"2"
475.799999999988,"2"
473.600000000035,"2"
501.600000000035,"2"
549.400000000023,"2"
427.299999999988,"2"
609.299999999988,"2"
403.100000000035,"2"
519.100000000035,"2"
453,"2"
539,"2"
390.5,"3"
596.400000000023,"3"
514.400000000023,"3"
438.400000000023,"3"
372.200000000012,"3"
328.200000000012,"3"
552.099999999977,"3"
404,"3"
382,"3"
667.799999999988,"3"
311.700000000012,"3"
491.799999999988,"3"
417.699999999953,"3"
419.5,"3"
817.299999999988,"3"
863.299999999988,"3"
619.200000000012,"3"
660.799999999988,"1"
760.799999999988,"1"
606.799999999988,"1"
852.700000000012,"1"
488.599999999977,"1"
808.599999999977,"1"
598.299999999988,"1"
572.199999999953,"1"
700.200000000012,"1"
630,"1"
545.900000000023,"1"
509.900000000023,"1"
615.799999999988,"1"
685.700000000012,"1"
647.599999999977,"1"
469.099999999977,"3"
713,"3"
405.099999999977,"3"
562.899999999965,"3"
738.700000000012,"3"
618.400000000023,"3"
496.299999999988,"3"
652.299999999988,"3"
584.200000000012,"3"
648,"3"
625.799999999988,"3"
527.599999999977,"2"
785.399999999965,"2"
845,"2"
341.099999999977,"2"
513,"2"
416.900000000023,"2"
386.599999999977,"2"
466.5,"2"
702.29999999993,"2"
452.29999999993,"2"
336.099999999977,"2"
528.199999999953,"2"
879.599999999977,"1"
761.29999999993,"1"
343.199999999953,"1"
691.099999999977,"1"
502.20000000007,"1"
436.099999999977,"1"
872.099999999977,"1"
469.899999999907,"1"
421.79999999993,"1"
569.79999999993,"1"
513.900000000023,"1"
399.5,"1"
459.5,"1"
729.399999999907,"1"
509.29999999993,"1"
499.29999999993,"1"
551.29999999993,"1"
475.199999999953,"1"
510.899999999907,"1"
574.899999999907,"1"
326.399999999907,"3"
350.29999999993,"3"
332.400000000023,"3"
396.199999999953,"3"
626,"3"
462,"3"
347.899999999907,"3"
309.899999999907,"3"
529.900000000023,"3"
393.800000000047,"3"
757.79999999993,"3"
433.599999999977,"3"
693.599999999977,"3"
633.599999999977,"3"
381.099999999977,"3"
379.099999999977,"3"
414.699999999953,"2"
426.900000000023,"2"
496.699999999953,"2"
430.599999999977,"2"
634.599999999977,"2"
524.5,"2"
586.300000000047,"2"
450.20000000007,"2"
780.100000000093,"2"
669.900000000023,"2"
609.79999999993,"2"
637.699999999953,"2"
737.599999999977,"2"
585.600000000093,"2"
629.5,"2"
608.900000000023,"1"
836.79999999993,"1"
758.800000000047,"1"
654.300000000047,"1"
643.900000000023,"1"
617.600000000093,"3"
659.5,"3"
535.29999999993,"3"
381.400000000023,"3"
581.20000000007,"3"
323.100000000093,"3"
431.100000000093,"3"
400.900000000023,"3"
396.800000000047,"3"
566.70000000007,"3"
602.800000000047,"3"
422.600000000093,"3"
534.400000000023,"3"
644.300000000047,"3"
450.300000000047,"3"
392.300000000047,"3"
326.100000000093,"3"
431.20000000007,"2"
413,"2"
488,"2"
587.900000000023,"2"
391.800000000047,"2"
599.70000000007,"2"
423.599999999977,"2"
427.5,"2"
407.400000000023,"2"
559.300000000047,"2"
663.20000000007,"2"
423.100000000093,"2"
576.90000000014,"2"
452.90000000014,"2"
470.699999999953,"2"
466.699999999953,"2"
374.699999999953,"2"
748.600000000093,"2"
480.5,"2"
696.299999999814,"3"
696.299999999814,"3"
462.199999999953,"3"
348.100000000093,"3"
422,"3"
581.90000000014,"3"
379.90000000014,"3"
487.699999999953,"3"
395.699999999953,"3"
497.399999999907,"3"
341.199999999953,"3"
525.199999999953,"3"
321.199999999953,"3"
619.199999999953,"3"
459.100000000093,"3"
385.09999999986,"3"
430.899999999907,"3"
518.59999999986,"1"
558.59999999986,"1"
418.40000000014,"1"
488.399999999907,"1"
906.299999999814,"1"
490.100000000093,"1"
716.199999999953,"1"
472,"1"
557.699999999953,"1"
611.699999999953,"1"
527.699999999953,"1"
539.5,"1"
619.5,"1"
495.40000000014,"1"
437.09999999986,"3"
377.09999999986,"3"
392.799999999814,"3"
488.699999999953,"3"
410.59999999986,"3"
314.5,"3"
746.399999999907,"3"
434.399999999907,"3"
564.09999999986,"3"
506.09999999986,"3"
336,"3"
471.799999999814,"3"
385.699999999953,"3"
479.40000000014,"2"
563.300000000047,"2"
557.199999999953,"2"
761.100000000093,"2"
509,"2"
594.90000000014,"2"
734.800000000047,"2"
610.700000000186,"2"
766.600000000093,"2"
612.700000000186,"2"
480.5,"2"
438.5,"2"
546.300000000047,"2"
508.200000000186,"2"
512.300000000047,"2"
408.100000000093,"2"
495.800000000047,"1"
475.800000000047,"1"
347.700000000186,"1"
457.600000000093,"1"
521.40000000014,"1"
329.300000000047,"1"
575.300000000047,"1"
503.200000000186,"1"
473,"1"
479,"1"
432.800000000047,"1"
476.700000000186,"1"
412.600000000093,"1"
652.600000000093,"1"
448.5,"1"
444.600000000093,"1"
644,"3"
512,"3"
773.800000000047,"3"
541.600000000093,"3"
673.59999999986,"3"
503.5,"3"
415.5,"3"
644.300000000047,"1"
65.8000000000466,"1"
753.40000000014,"1"
725.699999999953,"1"
434.800000000047,"2"
248.699999999953,"2"
438.59999999986,"2"
738.399999999907,"2"
646.399999999907,"2"
536.300000000047,"2"
366.300000000047,"2"
618.09999999986,"2"
386,"2"
500,"2"
282,"2"
603.899999999907,"2"
407.800000000047,"2"
407.699999999953,"2"
495.5,"2"
523.299999999999,"3"
527.299999999999,"3"
471.099999999999,"3"
392.900000000001,"3"
848.699999999997,"3"
312.699999999997,"3"
458.599999999999,"3"
360.5,"3"
288.399999999994,"3"
334.199999999997,"3"
306.199999999997,"3"
526,"3"
533.699999999997,"2"
747.199999999997,"2"
539,"2"
559,"2"
358.899999999994,"2"
472.5,"2"
614,"2"
587.899999999994,"1"
847.699999999983,"1"
667.700000000012,"1"
687.5,"1"
393.399999999994,"1"
613,"1"
557,"1"
552.599999999977,"1"
636.5,"1"
640.199999999983,"2"
540.100000000006,"2"
784,"2"
880,"2"
679.899999999994,"2"
711.699999999983,"2"
563.699999999983,"2"
487.699999999983,"2"
711.5,"2"
463.399999999994,"2"
569.299999999988,"2"
535.100000000006,"2"
559,"2"
676.899999999994,"2"
544.899999999994,"2"
667.700000000012,"3"
657.400000000023,"3"
685.299999999988,"3"
825.200000000012,"3"
633,"3"
530.799999999988,"3"
712.5,"3"
608.300000000047,"1"
662.099999999977,"1"
618,"1"
576,"1"
423.899999999965,"1"
723.700000000012,"1"
579.700000000012,"1"
547.399999999965,"1"
592.700000000012,"1"
388.5,"3"
476.400000000023,"3"
634.200000000012,"3"
674.200000000012,"3"
524,"3"
395.900000000023,"3"
419.700000000012,"3"
491.599999999977,"3"
639.600000000035,"3"
431.5,"3"
432.800000000047,"2"
436.600000000035,"2"
504.5,"2"
538.400000000023,"2"
750.300000000047,"2"
746.200000000012,"2"
624.200000000012,"2"
336.200000000012,"2"
698,"2"
563.700000000012,"2"
535.799999999988,"2"
515.700000000012,"2"
551.600000000035,"2"
747.400000000023,"2"
573.099999999977,"1"
622.800000000047,"1"
636.599999999977,"1"
538.400000000023,"1"
512.300000000047,"1"
350.099999999977,"1"
494,"1"
515.800000000047,"1"
823.300000000047,"2"
787.199999999953,"2"
395,"2"
659,"2"
686.599999999977,"2"
458.29999999993,"2"
534.29999999993,"2"
564.099999999977,"2"
615.599999999977,"3"
667.599999999977,"3"
633.5,"3"
595.199999999953,"3"
533.099999999977,"3"
585,"3"
538.79999999993,"3"
498.79999999993,"3"
486.599999999977,"3"
602.599999999977,"3"
750.399999999907,"3"
596.399999999907,"3"
540,"1"
125.100000000093,"1"
96.6000000000931,"1"
465.5,"2"
369.400000000009,"2"
353.300000000003,"2"
431.199999999997,"2"
317,"2"
375.100000000006,"2"
355,"2"
356.700000000012,"2"
368.700000000012,"2"
596.600000000006,"2"
346.600000000006,"2"
576.5,"2"
258.400000000009,"2"
240.400000000009,"2"
522.100000000006,"2"
410,"2"
693.900000000009,"2"
341.5,"1"
347.300000000017,"1"
319.400000000023,"1"
325.200000000012,"1"
321,"1"
399,"1"
370.800000000017,"1"
320.800000000017,"1"
460.600000000006,"1"
594.600000000006,"1"
290.5,"1"
336.399999999994,"1"
334.300000000017,"1"
414.300000000017,"1"
387.800000000017,"3"
391.800000000017,"3"
323.800000000017,"3"
