subject,test,n.with,n.accr,mean.with,mean.accr,median.with,median.accr,mean.sub,median.sub
1,triplet position,15,40,0.08130274448753055,0.04380199279005356,0.08721277506302297,0.056991085706340074,0.03750075169747699,0.030221689356682895
1,transitional probability,21,6,0.032418846509593036,0.11441567746132396,0.08102857543217017,0.16324320545425186,-0.08199683095173092,-0.0822146300220817
1,word grouping,10,30,-0.11610949772286787,0.09710582296102738,-0.12229288417627926,0.07272955081374588,-0.21321532068389526,-0.19502243499002514
1,duplet pairing,6,12,-0.04295398046211169,0.10243097270882179,0.0030428204964624422,0.10670313516436192,-0.14538495317093347,-0.10366031466789948
2,triplet position,12,33,-0.03488068028658301,-0.09011949087281086,0.06460011863799518,0.020482401493812266,0.05523881058622785,0.044117717144182916
2,transitional probability,21,3,-0.01808257689900831,-0.27255635917007154,0.07687761366906706,-0.4018923434828477,0.2544737822710632,0.4787699571519147
2,word grouping,8,25,0.02877128433698216,-0.12816453893994462,0.09092218193025711,-0.005784498500906296,0.1569358232769268,0.09670668043116341
2,duplet pairing,5,9,-0.23419324779775916,-0.2665268865412071,-0.4509587050607646,-0.13507460841429306,0.03233363874344794,-0.31588409664647155
3,triplet position,18,48,-0.005118975225424276,-0.029485283788893625,-0.0539088261935709,-0.012372802439201398,0.02436630856346935,-0.0415360237543695
3,transitional probability,28,6,-0.005469346135021147,0.012775819991297422,-0.038881276898063165,-0.02342516816315787,-0.018245166126318567,-0.015456108734905296
3,word grouping,12,36,-0.016940318308138216,-0.03366693894914543,0.014543170221871182,-0.012372802439201398,0.016726620641007214,0.026915972661072582
3,duplet pairing,8,12,0.028172987720297516,-0.07869881260349589,0.10249772817229205,-0.06102891597357157,0.1068718003237934,0.16352664414586363
4,triplet position,18,48,0.05847323024180227,-0.050769646899808535,-0.02936569536964702,-0.02791212176657475,0.1092428771416108,-0.0014535736030722689
4,transitional probability,28,6,0.015296720168121277,-0.20813510568287744,0.015402605321339328,-0.24164488832681136,0.22343182585099872,0.25704749364815066
4,word grouping,12,36,-0.08444695153422989,-0.03954387868833475,-0.06537759772992027,-0.0068632093114508455,-0.04490307284589514,-0.058514388418469426
4,duplet pairing,8,12,-0.044324873956351096,0.012495734764794353,0.11424430393155782,-0.02591824225566833,-0.05682060872114545,0.14016254618722615
5,triplet position,18,48,-0.13156732352190545,-0.01525182727239792,-0.12163433372641219,-0.025517721918346344,-0.11631549624950753,-0.09611661180806585
5,transitional probability,28,6,-0.024122006364233832,-0.19926249441843413,-0.021121080739401048,-0.2751586315407593,0.1751404880542003,0.25403755080135826
5,word grouping,12,36,-0.039310524871410006,-0.007232261406060557,0.01564356482496622,-0.052327781974784666,-0.03207826346534945,0.06797134679975089
5,duplet pairing,8,12,-0.061882189544631226,-0.061587066454029,0.01564356482496622,-0.09178468211248622,-2.951230906022284e-4,0.10742824693745244
6,triplet position,18,48,0.03701659672206421,-0.06304699085662457,-0.030173579833079205,-0.011018126875735189,0.10006358757868879,-0.019155452957344016
6,transitional probability,28,6,0.009692411857851798,0.04498764003886668,0.00716138029725579,-0.054598860068500454,-0.03529522818101488,0.061760240365756246
6,word grouping,12,36,-0.055668445096294886,-0.06550650611006781,-0.011018126875735189,-0.006779791278346108,0.009838061013772922,-0.004238335597389081
6,duplet pairing,8,12,-0.07108953979837021,-0.06707791120201062,-0.06061460998746739,-0.006779791278346108,-0.00401162859635959,-0.05383481870912128
