anal,run,test,length,nNAs
diss_z,1,within.OP,954,502
diss_z,1,across.OP,636,359
diss_z,1,within.TP,318,143
diss_z,1,across.TP,636,359
diss_z,1,within.WI,636,359
diss_z,1,within.OP,954,502
diss_z,1,across.OP,636,359
diss_z,1,within.TP,318,143
diss_z,1,across.TP,636,359
diss_z,1,within.WI,636,359
diss_z,1,across.WI,1908,1077
diss_z,1,within.di,424,241
diss_z,1,across.di,212,118
diss_z,2,within.OP,954,502
diss_z,2,across.OP,636,359
diss_z,2,within.TP,318,143
diss_z,2,across.TP,636,359
diss_z,2,within.WI,636,359
diss_z,2,across.WI,1908,1077
diss_z,2,within.di,424,241
diss_z,2,across.di,212,118
diss_z,3,within.OP,954,502
diss_z,3,across.OP,636,359
diss_z,3,within.TP,318,143
diss_z,3,across.TP,636,359
diss_z,3,within.WI,636,359
diss_z,3,across.WI,1908,1077
diss_z,3,within.di,424,241
diss_z,3,across.di,212,118
diss_z,4,within.OP,954,502
diss_z,4,across.OP,636,359
diss_z,4,within.TP,318,143
diss_z,4,across.TP,636,359
diss_z,4,within.WI,636,359
diss_z,4,across.WI,1908,1077
diss_z,4,within.di,424,241
diss_z,4,across.di,212,118
diss_z,5,within.OP,954,502
diss_z,5,across.OP,636,359
diss_z,5,within.TP,318,143
diss_z,5,across.TP,636,359
diss_z,5,within.WI,636,359
diss_z,5,across.WI,1908,1077
diss_z,5,within.di,424,241
diss_z,5,across.di,212,118
diss_z,6,within.OP,954,502
diss_z,6,across.OP,636,359
diss_z,6,within.TP,318,143
diss_z,6,across.TP,636,359
diss_z,6,within.WI,636,359
diss_z,6,across.WI,1908,1077
diss_z,6,within.di,424,241
diss_z,6,across.di,212,118
diss_z,7,within.OP,954,502
diss_z,7,across.OP,636,359
diss_z,7,within.TP,318,143
diss_z,7,across.TP,636,359
diss_z,7,within.WI,636,359
diss_z,7,across.WI,1908,1077
diss_z,7,within.di,424,241
diss_z,7,across.di,212,118
diss_z,8,within.OP,954,502
diss_z,8,across.OP,636,359
diss_z,8,within.TP,318,143
diss_z,8,across.TP,636,359
diss_z,8,within.WI,636,359
diss_z,8,across.WI,1908,1077
diss_z,8,within.di,424,241
diss_z,8,across.di,212,118
diss_z,9,within.OP,954,502
diss_z,9,across.OP,636,359
diss_z,9,within.TP,318,143
diss_z,9,across.TP,636,359
diss_z,9,within.WI,636,359
diss_z,9,across.WI,1908,1077
diss_z,9,within.di,424,241
diss_z,9,across.di,212,118
diss_z,10,within.OP,954,502
diss_z,10,across.OP,636,359
diss_z,10,within.TP,318,143
diss_z,10,across.TP,636,359
diss_z,10,within.WI,636,359
diss_z,10,across.WI,1908,1077
diss_z,10,within.di,424,241
diss_z,10,across.di,212,118
diss_z,11,within.OP,954,502
diss_z,11,across.OP,636,359
diss_z,11,within.TP,318,143
diss_z,11,across.TP,636,359
diss_z,11,within.WI,636,359
diss_z,11,across.WI,1908,1077
diss_z,11,within.di,424,241
diss_z,11,across.di,212,118
diss_z,12,within.OP,954,502
diss_z,12,across.OP,636,359
diss_z,12,within.TP,318,143
diss_z,12,across.TP,636,359
diss_z,12,within.WI,636,359
diss_z,12,across.WI,1908,1077
diss_z,12,within.di,424,241
diss_z,12,across.di,212,118
diss_z,13,within.OP,954,502
diss_z,13,across.OP,636,359
diss_z,13,within.TP,318,143
diss_z,13,across.TP,636,359
diss_z,13,within.WI,636,359
diss_z,13,across.WI,1908,1077
diss_z,13,within.di,424,241
diss_z,13,across.di,212,118
diss_z,14,within.OP,954,502
diss_z,14,across.OP,636,359
diss_z,14,within.TP,318,143
diss_z,14,across.TP,636,359
diss_z,14,within.WI,636,359
diss_z,14,across.WI,1908,1077
diss_z,14,within.di,424,241
diss_z,14,across.di,212,118
diss_z,15,within.OP,954,502
diss_z,15,across.OP,636,359
diss_z,15,within.TP,318,143
diss_z,15,across.TP,636,359
diss_z,15,within.WI,636,359
diss_z,15,across.WI,1908,1077
diss_z,15,within.di,424,241
diss_z,15,across.di,212,118
diss_z,16,within.OP,954,502
diss_z,16,across.OP,636,359
diss_z,16,within.TP,318,143
diss_z,16,across.TP,636,359
diss_z,16,within.WI,636,359
diss_z,16,across.WI,1908,1077
diss_z,16,within.di,424,241
diss_z,16,across.di,212,118
diss_z,17,within.OP,954,502
diss_z,17,across.OP,636,359
diss_z,17,within.TP,318,143
diss_z,17,across.TP,636,359
diss_z,17,within.WI,636,359
diss_z,17,across.WI,1908,1077
diss_z,17,within.di,424,241
diss_z,17,across.di,212,118
diss_z,18,within.OP,954,502
diss_z,18,across.OP,636,359
diss_z,18,within.TP,318,143
diss_z,18,across.TP,636,359
diss_z,18,within.WI,636,359
diss_z,18,across.WI,1908,1077
diss_z,18,within.di,424,241
diss_z,18,across.di,212,118
diss_z,19,within.OP,954,502
diss_z,19,across.OP,636,359
diss_z,19,within.TP,318,143
diss_z,19,across.TP,636,359
diss_z,19,within.WI,636,359
diss_z,19,across.WI,1908,1077
diss_z,19,within.di,424,241
