"subject","test","n.with","n.accr","mean.with","mean.accr","score"
"m0085","ordinal position",15,10,0.0820604588861358,-0.165029952367946,-0.497245849669617
"m0085","transitional probability",3,12,0.151698791458929,0.0646508757429374,2.34643057368795
"m0085","word identity",10,30,-0.165029952367946,-0.0162423081394576,10.1604988004776
"m0085","duplets",7,3,-0.185908310946516,-0.116313782351284,1.59833432623699
"s7540","ordinal position",12,8,-0.0406571585358508,-0.081819836176434,0.496910779046035
"s7540","transitional probability",6,6,-0.228407184241233,0.147092867169532,-1.55280938251059
"s7540","word identity",8,25,-0.081819836176434,0.039704236721085,-2.06073313412882
"s7540","duplets",5,3,0.183504120179359,-0.524026430102756,-0.350181039806286
"r6335","ordinal position",18,12,0.0530468784442764,-0.0275569994954526,-1.92498745928526
"r6335","transitional probability",6,12,0.25512844149312,-0.0479939030801452,-5.31585107939814
"r6335","word identity",12,36,-0.0275569994954526,-0.052950802852864,0.520426471568828
"r6335","duplets",8,4,0.066424610413977,-0.215520219314312,-0.308205933648871
"o9926","ordinal position",18,12,0.0153423269866409,0.0207993226414881,0.737635895701616
"o9926","transitional probability",6,12,-0.148854593501821,0.0974407872308721,-1.52764153217617
"o9926","word identity",12,36,0.0207993226414881,0.0596296286623841,0.348808522005921
"o9926","duplets",8,4,-0.0139449699774555,0.0902879078793751,-0.15445002885753
"a0467","ordinal position",18,12,-0.0484416725834137,-0.0796415626895685,0.608246133645475
"a0467","transitional probability",6,12,-0.0973391328362812,-0.0239929424569799,4.05699021746971
"a0467","word identity",12,36,-0.0796415626895685,-0.0156461286248048,5.0901769120898
"a0467","duplets",8,4,-0.0780406806268918,-0.0828433268149219,0.942027362098102
"z7714","ordinal position",18,12,-0.101906772235896,0.00214010141030679,-47.6177305173999
"z7714","transitional probability",6,12,-0.0411257176343148,-0.132297299536687,0.310858330278391
"z7714","word identity",12,36,0.00214010141030679,-0.013847802938814,-0.154544473210858
"z7714","duplets",8,4,-0.0179365287353516,0.0422933617016236,-0.42409796747519
"h7583","ordinal position",18,12,0.0781533053705772,-0.0466181711316595,-1.6764558427197
"h7583","transitional probability",6,12,0.17610408328916,0.0291779164112857,6.035526348312
