subject,test,n.with,n.accr,mean.with,mean.accr,score
1,ordinal position,15,10,0.05751279571837713,-0.05375541525260894,-1.0698977107350283
1,transitional probability,3,12,-0.005023001743696132,0.07314674508389545,-0.06867020176953895
1,word identity,10,30,-0.05375541525260894,0.14634858092274933,-0.3673108062522584
1,duplets,7,3,0.08238435311891822,-0.3714148747861723,-0.22181220708068788
2,ordinal position,12,8,-0.26697961498820055,-0.0500412620371092,5.335189484034514
2,transitional probability,6,6,-0.23409880964297064,-0.2998604203334305,0.780692594850177
2,word identity,8,25,-0.0500412620371092,-0.01859481641168551,2.6911404194161257
2,duplets,5,3,0.15472105411834564,-0.3913117889628673,-0.39539073056914104
3,ordinal position,18,12,-0.16443842875971695,-0.06278334959314592,2.6191407407429685
3,transitional probability,6,12,-0.05532063489472667,-0.2189973256922121,0.2526087235077773
3,word identity,12,36,-0.06278334959314592,0.01529627938732446,-4.10448501909376
3,duplets,8,4,-0.06947446446664847,-0.04940111984614082,1.4063337973516763
4,ordinal position,18,12,-0.10304912663712096,0.017845959381796762,-5.774367431444069
4,transitional probability,6,12,0.020134167472986342,-0.1646407736921746,-0.12229150180398674
4,word identity,12,36,0.017845959381796762,0.034280534842879844,0.5205857920126183
4,duplets,8,4,0.029674399690257182,-0.005810921235124077,-5.106660112838987
5,ordinal position,18,12,0.02708133922776926,-0.0787371858898,-0.3439459884389583
5,transitional probability,6,12,-0.02731176867913132,0.054277893181219554,-0.5031840235203039
5,word identity,12,36,-0.0787371858898,0.03231732095639413,-2.4363772602326894
5,duplets,8,4,-0.06063262305959506,-0.11494631155020987,0.5274864607822586
6,ordinal position,18,12,0.005891598109501954,0.1682271269793109,0.035021688923133794
6,transitional probability,6,12,-0.08702937937570807,0.05235208685210696,-1.6623860596343254
6,word identity,12,36,0.1682271269793109,-0.025776140081300004,-6.5264669748344435
6,duplets,8,4,0.05783808860912183,0.389005203719689,0.14868204346900984
7,ordinal position,18,12,0.06775760831728525,-0.0939052886534439,-0.7215526333915411
7,transitional probability,6,12,-0.11926270949469858,0.16126776722327718,-0.7395322174305168
7,word identity,12,36,-0.0939052886534439,-0.02946820195782558,3.18666502923523
7,duplets,8,4,-0.032081798446428486,-0.2175522690674747,0.14746708266452596
8,ordinal position,15,10,0.17998434364230165,-0.128620527909547,-1.3993438416679216
8,transitional probability,6,9,0.12901646719280474,0.21396292794196625,0.6029851452948813
8,word identity,10,30,-0.128620527909547,0.17469906648199027,-0.7362404991603461
8,duplets,7,3,-0.012372155550205155,-0.39986673008134466,0.030940697536122334
9,ordinal position,18,12,-0.01441488205561777,-0.10704846849444094,0.1346575271776666
9,transitional probability,6,12,-0.015181614416947469,-0.014031515874952919,1.0819653808073255
9,word identity,12,36,-0.10704846849444094,-0.05001974118327092,2.140124398129498
9,duplets,8,4,-0.016384609497151172,-0.28837618648902047,0.056816790930741413
10,ordinal position,18,12,-0.17997334786799382,0.17175632404538857,-1.0478411718943974
10,transitional probability,6,12,-0.17177541527375387,-0.1840723141651138,0.9331952828042921
10,word identity,12,36,0.17175632404538857,-0.09786883702206571,-1.754964391848899
10,duplets,8,4,0.039409649475709206,0.43644967318474726,0.09029597659711679
11,ordinal position,15,10,0.047643382348074886,0.28873533808919744,0.16500710534211324
11,transitional probability,6,9,0.025687517965497803,0.062280625269792944,0.41244797807058375
11,word identity,10,30,0.28873533808919744,0.21812288824829557,1.323727832544202
11,duplets,7,3,0.32439910136275885,0.20551989045088748,1.5784316576418165
12,ordinal position,18,12,0.005071657275578144,-0.026751114640895326,-0.18958676465110472
12,transitional probability,6,12,0.3059658596680869,-0.14537544392067625,-2.104659847745926
12,word identity,12,36,-0.026751114640895326,0.004697556166837388,-5.694687554721759
12,duplets,8,4,-0.018260432827628334,-0.04373247826742931,0.4175485486087391
13,ordinal position,18,12,0.9287441934721197,0.15791589471821912,5.88125847071535
13,transitional probability,6,12,0.11186058727096371,1.3371859965726978,0.0836537232349653
13,word identity,12,36,0.15791589471821912,-0.1551274201290463,-1.0179753817013986
13,duplets,8,4,0.5064599072489424,-0.5391721303432275,-0.9393287945475574
14,ordinal position,18,12,-0.004132261593563347,-0.09944882804676694,0.041551636904359535
14,transitional probability,6,12,-0.03256179645380258,0.010082505836556272,-3.2295341040857974
14,word identity,12,36,-0.09944882804676694,-0.06241614824261086,1.5933188901726276
14,duplets,8,4,-0.06932023485874028,-0.15970601442282026,0.43404899376685696
15,ordinal position,18,12,-0.08744709497896844,-0.024291863420265812,3.599851253321906
