subject,test,n.with,n.accr,mean.with,mean.accr,score
1,ordinal position,15,10,0.08206045888613578,-0.1650299523679462,-0.49724584966961666
1,transitional probability,3,12,0.1516987914589292,0.06465087574293743,2.3464305736879525
1,word identity,10,30,-0.1650299523679462,-0.016242308139457602,10.16049880047758
1,duplets,7,3,-0.1859083109465157,-0.11631378235128408,1.5983343262369913
2,ordinal position,12,8,-0.04065715853585076,-0.08181983617643397,0.496910779046035
2,transitional probability,6,6,-0.22840718424123313,0.14709286716953163,-1.5528093825105933
2,word identity,8,25,-0.08181983617643397,0.039704236721085015,-2.0607331341288164
2,duplets,5,3,0.18350412017935946,-0.5240264301027564,-0.35018103980628634
3,ordinal position,18,12,0.05304687844427642,-0.027556999495452605,-1.924987459285257
3,transitional probability,6,12,0.2551284414931197,-0.047993903080145214,-5.315851079398141
3,word identity,12,36,-0.027556999495452605,-0.05295080285286397,0.5204264715688276
3,duplets,8,4,0.06642461041397696,-0.21552021931431173,-0.30820593364887133
4,ordinal position,18,12,0.015342326986640948,0.020799322641488066,0.7376358957016158
4,transitional probability,6,12,-0.14885459350182143,0.09744078723087213,-1.5276415321761674
4,word identity,12,36,0.020799322641488066,0.05962962866238407,0.3488085220059206
4,duplets,8,4,-0.013944969977455458,0.09028790787937511,-0.15445002885752956
5,ordinal position,18,12,-0.04844167258341371,-0.07964156268956848,0.6082461336454745
5,transitional probability,6,12,-0.09733913283628123,-0.023992942456979947,4.056990217469707
5,word identity,12,36,-0.07964156268956848,-0.015646128624804762,5.090176912089797
5,duplets,8,4,-0.07804068062689179,-0.08284332681492186,0.9420273620981019
6,ordinal position,18,12,-0.10190677223589636,0.0021401014103067926,-47.61773051739992
6,transitional probability,6,12,-0.04112571763431478,-0.13229729953668715,0.3108583302783915
6,word identity,12,36,0.0021401014103067926,-0.013847802938814031,-0.15454447321085849
6,duplets,8,4,-0.017936528735351627,0.04229336170162363,-0.4240979674751901
7,ordinal position,18,12,0.07815330537057724,-0.046618171131659523,-1.6764558427196954
7,transitional probability,6,12,0.17610408328916022,0.029177916411285747,6.035526348312
7,word identity,12,36,-0.046618171131659523,-0.02484881795288041,1.8760719813738935
7,duplets,8,4,0.01263710707451651,-0.1651287275440116,-0.07652882246760094
8,ordinal position,15,10,0.04316923190702146,0.40490391975837986,0.10661598912843825
8,transitional probability,6,9,0.048989587025227425,0.03928899516155082,1.24690353682473
8,word identity,10,30,0.40490391975837986,0.11540854397130965,3.5084397205378335
8,duplets,7,3,0.3036180468362036,0.6412376232434579,0.4734875743885185
9,ordinal position,18,12,0.025847216722203914,0.05321279505234672,0.48573311544295655
9,transitional probability,6,12,0.0629529764358931,0.007294336865359325,8.630390616432269
9,word identity,12,36,0.05321279505234672,0.05354304836068263,0.993832003995902
9,duplets,8,4,0.08465457323939594,-0.00967076132175175,-8.753661725575677
10,ordinal position,18,12,-0.11376411246572,0.07296066273156089,-1.559252728888777
10,transitional probability,6,12,0.28187505958834713,-0.3115836984927536,-0.9046527817465477
10,word identity,12,36,0.07296066273156089,0.08542930383104219,0.8540472584894153
10,duplets,8,4,0.014768961260747875,0.18934406567318693,0.0780006556225507
11,ordinal position,15,10,-0.017389709128750156,-0.13495554842413418,0.12885508844807408
11,transitional probability,6,9,-0.17754191159949023,0.08937842585174322,-1.9864067856150043
11,word identity,10,30,-0.13495554842413418,-0.07876128574905017,1.7134756897459829
11,duplets,7,3,-0.12490584487676835,-0.15840485670132115,0.7885228235917251
12,ordinal position,18,12,-0.03364211719632045,0.09549903784766234,-0.3522770276490692
12,transitional probability,6,12,0.0950060877366376,-0.09796621966279948,-0.9697841568619197
12,word identity,12,36,0.09549903784766234,-0.03927174526691073,-2.431749269063607
12,duplets,8,4,0.05873325065942585,0.16903061222413532,0.3474710875539237
13,ordinal position,18,12,-0.18507091466038444,-0.2816386669049946,0.6571218245498036
13,transitional probability,6,12,-0.09114321778687377,-0.23203476309713977,0.39279983986156974
13,word identity,12,36,-0.2816386669049946,-0.30321145624660784,0.9288523276506161
13,duplets,8,4,-0.5601336333961155,0.27535126607724725,-2.034251163526429
14,ordinal position,18,12,-0.013051677267597626,0.07511310203130514,-0.17376032828677523
14,transitional probability,6,12,-0.07484650057173847,0.017845734384472792,-4.194083524904466
14,word identity,12,36,0.07511310203130514,0.11780445620169795,0.637608325297142
14,duplets,8,4,-0.07061804538250041,0.36657539685891627,-0.19264262137504867
15,ordinal position,18,12,-0.0029691310986168524,0.06701201190170282,-0.04430744599896731
15,transitional probability,6,12,-0.09574744978955964,0.04342002824685454,-2.205144806567366
15,word identity,12,36,0.06701201190170282,-0.006472391588753911,-10.353516313527658
15,duplets,8,4,0.041336843597695884,0.11836234850971668,0.34923980571661634
16,ordinal position,18,12,0.20509986844657505,-0.01773792873429286,-11.562785684782579
16,transitional probability,6,12,0.3213516750330044,0.14697396515336036,2.186453054441915
16,word identity,12,36,-0.01773792873429286,-0.044748015852562245,0.39639587133285586
16,duplets,8,4,-0.12321226180016613,0.1932107373974537,-0.6377091845920875
17,ordinal position,18,12,-0.0046916435965965305,0.03355295591832628,-0.1398280261213589
17,transitional probability,6,12,0.044501889941442885,-0.02928841036561624,-1.5194368484295357
17,word identity,12,36,0.03355295591832628,0.006350191902628803,5.28377038565343
17,duplets,8,4,0.08207488470802791,-0.06349090166107699,-1.292703089115898
18,ordinal position,18,12,0.3960199302513605,0.09199019819054856,4.3050231224749025
18,transitional probability,6,12,0.1188788983728652,0.5345904461906081,0.22237378019000165
18,word identity,12,36,0.09199019819054856,-0.03787745329371098,-2.428626800150322
18,duplets,8,4,0.2717976005610621,-0.2676246065504786,-1.0155927142289751
19,ordinal position,18,12,0.04683643635652743,0.04978308786187167,0.9408101901288238
19,transitional probability,6,12,0.045203819262620584,0.04765274490348085,0.9486089280728637
19,word identity,12,36,0.04978308786187167,0.14104497123729054,0.35295897064006515
19,duplets,8,4,0.04555747975846973,0.05823430406867556,0.7823134574553156
20,ordinal position,18,12,-0.06689108350018647,-0.06699788985579057,0.9984058250814466
20,transitional probability,6,12,0.0020202140065989685,-0.10134673225357918,-0.01993368667816739
20,word identity,12,36,-0.06699788985579057,0.022966063741840435,-2.91725611358168
20,duplets,8,4,-0.04169759874102625,-0.11759847208531919,0.3545760246848625
21,ordinal position,15,10,0.07823149723729612,0.17650585001919417,0.4432232542365526
21,transitional probability,3,12,-0.034767386672242113,0.10648121821468069,-0.32651191689173115
21,word identity,10,30,0.17650585001919417,-0.04135933933181941,-4.267617734488353
21,duplets,7,3,0.19138280414093897,0.1417929570684563,1.3497342047005987
22,ordinal position,18,12,-0.05778586459224299,0.0863710820701666,-0.669041804354131
22,transitional probability,6,12,-0.10272429809936887,-0.035316647838680056,2.908665017376353
22,word identity,12,36,0.0863710820701666,0.45830533091233444,0.18845751128015534
22,duplets,8,4,0.05709412283271919,0.1449250005450614,0.3939563403000779
23,ordinal position,18,12,-0.07554269641297198,0.06817942054704337,-1.107998510501391
23,transitional probability,6,12,0.05866542333652425,-0.1426467562877201,-0.4112636337709315
23,word identity,12,36,0.06817942054704337,-0.04673225167300166,-1.4589372030287224
23,duplets,8,4,-0.0026404266630208253,0.20981911496717176,-0.012584299878654743
24,ordinal position,18,12,0.04668326852890506,0.04348100500717931,1.0736474127310767
24,transitional probability,6,12,-0.017154830843783515,0.07860231821524935,-0.21824840835871642
24,word identity,12,36,0.04348100500717931,0.005120207996121342,8.492038807821288
24,duplets,8,4,-0.002330089830456154,0.13510319468245022,-0.017246741173906753
25,ordinal position,18,12,0.11009511327734171,-0.03610825452597953,-3.049028947055011
25,transitional probability,6,12,-0.016135036026631765,0.17321018792932846,-0.09315292720088166
25,word identity,12,36,-0.03610825452597953,0.0039191231263575365,-9.213350375020962
25,duplets,8,4,-0.08873470154413553,0.06914463951033245,-1.2833200400282032
26,ordinal position,12,8,0.13788075150989662,0.06790098922577242,2.0306147683863602
26,transitional probability,6,6,0.2189098477232806,0.056851655296512656,3.850544836057021
26,word identity,8,24,0.06790098922577242,0.1612985794960422,0.42096458281232735
26,duplets,5,3,0.024845975974800965,0.13965934464405821,0.17790414267032745
27,ordinal position,18,12,0.021965126198529528,-0.08720280333682108,-0.2518855513588154
27,transitional probability,6,12,0.0864908493293546,-0.010297735366883004,-8.399016506823898
27,word identity,12,36,-0.08720280333682108,-0.022216726244454196,3.925096901195733
27,duplets,8,4,-0.10291306863822802,-0.05578227273400717,1.844906340208831
28,ordinal position,18,12,-0.06387227653544657,-0.07444068334811971,0.8580291537189376
28,transitional probability,6,12,-0.10846375003617977,-0.04157653978507997,2.6087728944461785
28,word identity,12,36,-0.07444068334811971,0.03368260008696097,-2.210063449850381
28,duplets,8,4,-0.07255870502613501,-0.0782046399920891,0.9278056267949676
