data,test,n,w,CI.low,CI.hi,p
diss,ordinal position,468,2061991416,-0.029849107262923762,-0.022786029290425263,4.8647401837621487e-48
diss,transitional probability,239,501583713,-0.06519897518081583,-0.055048472574048025,9.815038074920942e-117
diss,word identity,468,2178920505.5,-0.0031166234602287186,0.003920158901936708,0.8235573911587699
diss,duplet identity,156,247367211,0.004057158336850707,0.01611598951679619,0.0010376187262229814
diss,ordinal position,468,2057794969.5,-0.031156516139177987,-0.024052932594744298,3.741092180728521e-52
diss,transitional probability,239,499754235,-0.06679127679630459,-0.056660704722108456,1.814598519774063e-123
diss,word identity,468,2184826314.5,-0.001514322403116589,0.0055007657796794455,0.268921912259623
diss,duplet identity,156,245934918.5,0.0013706877708286958,0.013609605975323184,0.016115249644147275
diss,ordinal position,468,2055159122.5,-0.03181256426057864,-0.024712592997768748,1.4978835896262084e-54
diss,transitional probability,239,499195439,-0.06700973807230745,-0.05690307377496602,4.402861036088385e-125
diss,word identity,468,2187655353.5,-0.0013771721123827102,0.005637793133726286,0.23720616567852967
diss,duplet identity,156,247509485,0.004378447530201361,0.016557399153334384,7.520009297603211e-4
diss,ordinal position,468,2053427669,-0.031652729482907975,-0.02458342122210645,1.6620288353195063e-54
diss,transitional probability,239,504117717,-0.06302431300838053,-0.05284901005084969,5.6145697394524625e-109
diss,word identity,468,2188293786.5,-8.355778654797578e-4,0.006193213719498734,0.13695159557166184
diss,duplet identity,156,244141811.5,-0.0019377225840771742,0.010275544926480197,0.17893521093183748
diss,ordinal position,468,2041825733,-0.034099287179505014,-0.02701966981914092,4.042165757746306e-64
diss,transitional probability,239,502553653,-0.06419080199727285,-0.05403933867977702,5.7181708271432104e-114
diss,word identity,468,2161229290,-0.007123241694042242,-4.942474259351514e-5,0.04548760621245427
diss,duplet identity,156,245859839.5,0.0012244439565762483,0.013436600189690022,0.01832815716215104
diss,ordinal position,468,2062125430.5,-0.030052204397761996,-0.022940359530827816,1.593450055590956e-48
diss,transitional probability,239,501038870,-0.06556376909562871,-0.055447769167819065,7.744431284694678e-119
diss,word identity,468,2177373354,-0.0035440814464376778,0.0034678071066356654,0.9826611186536655
diss,duplet identity,156,247270505.5,0.004151415930854448,0.016381555488904673,9.705883752762279e-4
diss,ordinal position,468,2059373885.5,-0.0303537603240372,-0.023258156002724302,7.834280250480554e-50
diss,transitional probability,239,502790879,-0.06382629203264595,-0.053698924147209885,2.8941005880068416e-113
diss,word identity,468,2162283693.5,-0.006883604532605473,1.168467766327324e-4,0.05966052171879716
diss,duplet identity,156,245803608.5,0.0014358994532845991,0.013683285019049569,0.01540245979212827
diss,ordinal position,468,2066057300.5,-0.02909948808284585,-0.022036828315093956,2.513219698450895e-45
diss,transitional probability,239,506964181,-0.06002176721040957,-0.04990237597010424,1.1667319346346805e-99
diss,word identity,468,2162967061,-0.006360711217348287,6.99255353608437e-4,0.1179904569944764
diss,duplet identity,156,245242269.5,4.828946997405282e-4,0.012752366344139171,0.03417400709558948
diss,ordinal position,468,2041091440.5,-0.034360055493689826,-0.027289947059459786,2.4428592257271826e-65
diss,transitional probability,239,497002099,-0.06871519858778971,-0.05864465950743318,1.004643834312729e-132
diss,word identity,468,2187732729,-0.0014148320589062752,0.005594393625423445,0.24484673570230922
diss,duplet identity,156,248511792,0.007051713237544062,0.01935383887991913,2.6389114811069906e-5
diss,ordinal position,468,2072352885,-0.02783090231874751,-0.020693843726476854,1.0347439811844468e-40
diss,transitional probability,239,498454943,-0.06810906938087186,-0.05792871301486862,1.0339083378421096e-127
diss,word identity,468,2178360008.5,-0.002955305870337476,0.004061000131957581,0.7580359328978881
diss,duplet identity,156,247289326.5,0.004260872601924692,0.016541318389389784,8.976818155001628e-4
diss,ordinal position,468,2059340162,-0.030611761718954363,-0.023491169870952427,8.665558024546321e-50
diss,transitional probability,239,504677519,-0.0626135544582694,-0.05241048758736442,5.505360015996545e-107
diss,word identity,468,2180202983.5,-0.0029429996491481675,0.004079852084350159,0.7517089726863937
diss,duplet identity,156,243059714.5,-0.004249819749444821,0.007990528080341177,0.5472245759846
diss,ordinal position,468,2065465770.5,-0.029110960666002203,-0.022066846739830406,1.0569913890722638e-45
diss,transitional probability,239,500097505,-0.06669265961105475,-0.05654840770514524,1.354913091146627e-122
diss,word identity,468,2184774295,-0.0017361434486423445,0.005297842418160288,0.32438865012291
diss,duplet identity,156,245386412,2.4840555595443564e-4,0.012509848761487662,0.04131446495287281
diss,ordinal position,468,2055148145.5,-0.03163127048237188,-0.024531215732348673,6.696037217765436e-54
diss,transitional probability,239,503006798,-0.0641057990768479,-0.05396433758813343,1.7209555527415077e-112
diss,word identity,468,2176194605.5,-0.003725233574773888,0.003337169434839197,0.9137793914542888
diss,duplet identity,156,244870143.5,-6.17035830222225e-4,0.01164177235526195,0.07770777085183882
diss,ordinal position,468,2079073233.5,-0.02639454624538503,-0.019259273580592647,3.6908149692222354e-36
diss,transitional probability,239,502797510,-0.063896453289146,-0.0538038862704524,5.846947489059738e-113
diss,word identity,468,2177554226,-0.003380056085307396,0.0036663411158097715,0.9365321306782511
diss,duplet identity,156,245718864,0.001056031088296619,0.01337691233808876,0.022031523242087743
diss,ordinal position,468,2056244528,-0.03112660434345116,-0.024037524422060266,3.535582951748889e-52
diss,transitional probability,239,499463484,-0.06723725148430602,-0.05707008405398626,3.646646320104379e-124
diss,word identity,468,2169367451.5,-0.005306904461536935,0.0017046065042234763,0.31726809961970187
diss,duplet identity,156,246982742,0.0036016944123099352,0.015797654775951075,0.0018878660942431584
diss,ordinal position,468,2069496851,-0.028449946279566353,-0.021329539208657565,7.991280604790176e-43
diss,transitional probability,239,503119907,-0.06437522346966812,-0.054108736753101745,7.687537632388447e-112
diss,word identity,468,2163429147.5,-0.006299126800987943,7.32521118022798e-4,0.123325280638342
diss,duplet identity,156,245124639,1.5614999838815813e-4,0.012368791630394886,0.045063250051457567
diss,ordinal position,468,2062591660.5,-0.030143285872865497,-0.023052115007961362,1.196039403682718e-48
diss,transitional probability,239,501120344,-0.06518456394350154,-0.05511481946783206,1.7129762263309468e-118
diss,word identity,468,2183597206,-0.002349329589980482,0.004614784304245945,0.5272516312653408
diss,duplet identity,156,249071594,0.00721201445760587,0.01951751498620759,2.0889340943677675e-5
diss,ordinal position,468,2060057295.5,-0.030415420471539653,-0.023354124937442124,4.542291657165661e-50
diss,transitional probability,239,498536123,-0.06742549946367328,-0.05732127326871507,6.602147467133459e-127
diss,word identity,468,2175592735.5,-0.0036475750173303387,0.0033626799702245556,0.9367266047949998
diss,duplet identity,156,245600827.5,0.0012217806008853868,0.013366748066915717,0.01855483687758579
diss,ordinal position,468,2064328189,-0.029358670392940264,-0.022297440456756485,2.529850798841181e-46
