subject,test,n.with,n.accr,median.with,median.accr
m0085,triplet position,15,40,0.10530910504729395,-0.03882017877979947
m0085,transitional probability,21,6,0.0441051893880818,0.14602901622547992
m0085,word grouping,10,30,0.04263530611113949,-0.04939482969722123
m0085,duplet pairing,6,12,-0.05034676360607174,-0.16851598752482536
s7540,triplet position,12,33,9.13124867225877e-4,0.05181878937236583
s7540,transitional probability,21,3,6.049437703769734e-4,-0.21527868291534322
s7540,word grouping,8,25,0.009704961763365405,0.13492590310094044
s7540,duplet pairing,5,9,0.044393810541074,0.4399864806889807
r6335,triplet position,18,48,0.061979583777235996,0.020027809912366086
r6335,transitional probability,28,6,0.037469126140116986,-0.14405485312697835
r6335,word grouping,12,36,0.024575339708704753,0.011903353471174037
r6335,duplet pairing,8,12,0.036626863227044774,0.056892360040814216
o9926,triplet position,18,48,0.007809799943545703,0.05063542402641128
o9926,transitional probability,28,6,0.06112568902957312,-0.24740681754218036
o9926,word grouping,12,36,0.05421060695208861,0.04649115625160273
o9926,duplet pairing,8,12,0.05421060695208861,-0.16149563762721797
a0467,triplet position,18,48,0.046707481070536384,-0.013760346737574227
a0467,transitional probability,28,6,0.007631864758630329,-0.0498943921397431
a0467,word grouping,12,36,0.06361456572974586,-0.020088331417482112
a0467,duplet pairing,8,12,0.06877114088839142,-0.11497198442478637
z7714,triplet position,18,48,5.723747594265872e-4,0.07128016400036798
z7714,transitional probability,28,6,0.11964986862084413,-0.15587649498703227
z7714,word grouping,12,36,0.11186434576210003,0.07128016400036798
z7714,duplet pairing,8,12,0.22966613508660538,0.05648403480096119
h7583,triplet position,18,48,-0.07018832530290456,-0.03947804900979411
h7583,transitional probability,28,6,0.004362219361165761,0.07209907248057873
h7583,word grouping,12,36,0.09549322890707879,-0.06973596550196146
h7583,duplet pairing,8,12,0.12355811729196046,-0.12640038220652228
s5965,triplet position,15,40,-0.008802194506845978,0.04882211700813983
s5965,transitional probability,21,6,0.10496776637278428,-0.1308940795890803
s5965,word grouping,10,30,0.28414059720857915,0.02469180571208694
s5965,duplet pairing,6,12,0.4950494742185837,-0.03430459939791103
m3012,triplet position,18,48,0.012405248207111912,-0.06446373128067535
m3012,transitional probability,28,6,-0.10426136145191459,0.0996086799711034
m3012,word grouping,12,36,0.06840318512799394,-0.08179517106160555
m3012,duplet pairing,8,12,0.00970001120625718,-0.15788033414739816
m6318,triplet position,18,48,-0.026929054800187157,-0.07223637532799666
m6318,transitional probability,28,6,-0.026929054800187157,0.16408939444124465
m6318,word grouping,12,36,0.11236155523390368,-0.2615550068687579
m6318,duplet pairing,8,12,0.12394382582188598,-0.43459835620007026
v7564,triplet position,15,40,-0.07551855544041511,0.23488338265880626
v7564,transitional probability,21,6,0.18678363672460982,-0.057660897553697965
v7564,word grouping,10,30,0.13237857981267837,0.25903166289655327
v7564,duplet pairing,7,9,0.08213794390058082,-0.0579036364493945
a5168,triplet position,18,48,0.10106376333560976,0.026271914012482772
a5168,transitional probability,28,6,0.0407143921908652,0.11302856097270642
a5168,word grouping,12,36,0.14690278983130878,-0.014125922529269586
a5168,duplet pairing,8,12,0.17913022537846954,-0.18853537771266993
t9318,triplet position,18,48,-0.3823274520064795,-0.35703605502092445
t9318,transitional probability,28,6,-0.5779756762894125,7.937876749494477e-4
t9318,word grouping,12,36,0.9078326160749937,-0.7578450312000753
t9318,duplet pairing,8,12,1.2982619499828307,-0.3843616510333988
j4050,triplet position,18,48,0.07135728142695683,-0.01591011587609711
j4050,transitional probability,28,6,0.13377536537983464,0.00758714561086701
j4050,word grouping,12,36,0.041153197699608464,-0.03816687294527067
j4050,duplet pairing,8,12,0.11924739369188014,-0.033248543340678435
d2018,triplet position,18,48,-0.012064355518228076,-0.02551681649108658
d2018,transitional probability,28,6,-0.027286687544895563,0.010833046605835863
d2018,word grouping,12,36,-0.0632992960807101,-0.007498774944777383
d2018,duplet pairing,8,12,0.03607968999960944,0.05770890259184257
