Block Trial Order WordSeq RandSeq    ITI     ISI 
1  1   2 tempo_seq_A_20.wav tempo_seq_rand_26.wav   1200     400 
1  2   2 tempo_seq_A_18.wav tempo_seq_rand_44.wav   1200     400 
1  3   1 tempo_seq_A_04.wav tempo_seq_rand_13.wav   1200     400 
1  4   1 tempo_seq_A_15.wav tempo_seq_rand_43.wav   1200     400 
1  5   2 tempo_seq_A_13.wav tempo_seq_rand_17.wav   1200     400 
1  6   1 tempo_seq_A_20.wav tempo_seq_rand_09.wav   1200     400 
1  7   1 tempo_seq_A_14.wav tempo_seq_rand_23.wav   1200     400 
1  8   2 tempo_seq_A_21.wav tempo_seq_rand_07.wav   1200     400 
1  9   1 tempo_seq_A_09.wav tempo_seq_rand_03.wav   1200     400 
1 10   2 tempo_seq_A_02.wav tempo_seq_rand_19.wav   1200     400 
1 11   2 tempo_seq_A_05.wav tempo_seq_rand_25.wav   1200     400 
1 12   1 tempo_seq_A_06.wav tempo_seq_rand_04.wav   1200     400 
2 13   2 tempo_seq_A_17.wav tempo_seq_rand_30.wav   1200     400 
2 14   1 tempo_seq_A_11.wav tempo_seq_rand_47.wav   1200     400 
2 15   1 tempo_seq_A_02.wav tempo_seq_rand_22.wav   1200     400 
2 16   1 tempo_seq_A_18.wav tempo_seq_rand_42.wav   1200     400 
2 17   2 tempo_seq_A_11.wav tempo_seq_rand_40.wav   1200     400 
2 18   1 tempo_seq_A_01.wav tempo_seq_rand_20.wav   1200     400 
2 19   1 tempo_seq_A_17.wav tempo_seq_rand_16.wav   1200     400 
2 20   2 tempo_seq_A_12.wav tempo_seq_rand_39.wav   1200     400 
2 21   2 tempo_seq_A_23.wav tempo_seq_rand_31.wav   1200     400 
2 22   2 tempo_seq_A_08.wav tempo_seq_rand_05.wav   1200     400 
2 23   2 tempo_seq_A_15.wav tempo_seq_rand_29.wav   1200     400 
2 24   1 tempo_seq_A_07.wav tempo_seq_rand_02.wav   1200     400 
3 25   2 tempo_seq_A_07.wav tempo_seq_rand_32.wav   1200     400 
3 26   1 tempo_seq_A_22.wav tempo_seq_rand_48.wav   1200     400 
3 27   2 tempo_seq_A_10.wav tempo_seq_rand_21.wav   1200     400 
3 28   1 tempo_seq_A_10.wav tempo_seq_rand_38.wav   1200     400 
3 29   1 tempo_seq_A_05.wav tempo_seq_rand_24.wav   1200     400 
3 30   2 tempo_seq_A_16.wav tempo_seq_rand_28.wav   1200     400 
3 31   1 tempo_seq_A_13.wav tempo_seq_rand_37.wav   1200     400 
3 32   2 tempo_seq_A_04.wav tempo_seq_rand_41.wav   1200     400 
3 33   1 tempo_seq_A_21.wav tempo_seq_rand_36.wav   1200     400 
3 34   2 tempo_seq_A_14.wav tempo_seq_rand_08.wav   1200     400 
3 35   2 tempo_seq_A_01.wav tempo_seq_rand_10.wav   1200     400 
3 36   1 tempo_seq_A_12.wav tempo_seq_rand_11.wav   1200     400 
4 37   2 tempo_seq_A_22.wav tempo_seq_rand_45.wav   1200     400 
4 38   2 tempo_seq_A_06.wav tempo_seq_rand_06.wav   1200     400 
4 39   1 tempo_seq_A_24.wav tempo_seq_rand_18.wav   1200     400 
4 40   2 tempo_seq_A_24.wav tempo_seq_rand_15.wav   1200     400 
4 41   2 tempo_seq_A_03.wav tempo_seq_rand_27.wav   1200     400 
4 42   1 tempo_seq_A_23.wav tempo_seq_rand_33.wav   1200     400 
4 43   2 tempo_seq_A_09.wav tempo_seq_rand_12.wav   1200     400 
4 44   1 tempo_seq_A_19.wav tempo_seq_rand_46.wav   1200     400 
4 45   1 tempo_seq_A_08.wav tempo_seq_rand_01.wav   1200     400 
4 46   1 tempo_seq_A_03.wav tempo_seq_rand_34.wav   1200     400 
4 47   1 tempo_seq_A_16.wav tempo_seq_rand_35.wav   1200     400 
4 48   2 tempo_seq_A_19.wav tempo_seq_rand_14.wav   1200     400 
